call_id	energy_index	row_id	family	branch	orbital_l	legacy_l	state_index	form_selector	dispatch	dispatch_branch	formula_title	dispatch_title	previous_title	pre_reset_energy	post_reset_energy	input_energy	effective_energy	dither_before	z	qb	qk	zr	zb	born	ter	tei	der	dei	hadronic_real	hadronic_imag
133	1	1	1	1	4	5	3	25	F	0	____	____	____	8.4995721435546875E+002	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	5.1513892412185669E-001	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000
133	1	2	1	1	5	6	3	25	T	7	SP00	M05_	____	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995819091796875E+002	1.0000000474974513E-003	5.1513892412185669E-001	5.5361883544921875E+002	9.7970426082611084E-001	0.0000000000000000E+000	0.0000000000000000E+000	-1.5204024314880371E-001	-1.4165281318128109E-003	9.9192489869892597E-004	-1.5188942849636078E-001	2.1536927670240402E-004	-1.4165281318128109E-003	9.9192489869892597E-004
133	1	3	1	2	1	2	4	21	T	7	SP00	SP00	M05_	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995623779296875E+002	-1.0000000474974513E-003	6.2941145896911621E+000	5.5361883544921875E+002	9.7970426082611084E-001	2.2296469211578369E+000	9.0407109260559082E-001	-2.5902547836303711E+000	-6.7707888782024384E-002	1.1722826957702637E-001	-1.6394799947738647E+000	3.7554559111595154E-001	-6.7707888782024384E-002	1.1722826957702637E-001
133	1	4	1	2	4	5	4	25	T	7	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	5.1513892412185669E-001	5.5361883544921875E+002	9.7970426082611084E-001	0.0000000000000000E+000	0.0000000000000000E+000	-1.3810855150222778E-001	-1.2319184606894851E-003	9.8886003252118826E-004	-1.3797198235988617E-001	1.7013847536873072E-004	-1.2319184606894851E-003	9.8886003252118826E-004
133	1	5	1	2	5	6	4	25	T	7	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	5.1513892412185669E-001	5.5361883544921875E+002	9.7970426082611084E-001	0.0000000000000000E+000	6.1630276031792164E-003	-7.5636297464370728E-002	9.8042581230401993E-003	7.5485056731849909E-004	-6.9420829415321350E-002	-6.8113382440060377E-004	9.8042581230401993E-003	7.5485056731849909E-004
133	1	6	2	1	4	5	3	25	T	7	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	5.1513892412185669E-001	5.5361883544921875E+002	9.7970426082611084E-001	0.0000000000000000E+000	-3.4472301602363586E-002	-2.4460047483444214E-002	-2.1399506367743015E-003	3.1386986374855042E-003	-5.8747377246618271E-002	1.2611231068149209E-004	-2.1399506367743015E-003	3.1386986374855042E-003
133	1	7	2	1	5	6	3	25	T	7	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	5.1513892412185669E-001	5.5361883544921875E+002	9.7970426082611084E-001	2.6244006156921387E+000	0.0000000000000000E+000	-4.1244797408580780E-002	-1.4165212633088231E-003	9.9191966000944376E-004	-4.4921405613422394E-002	2.6616188697516918E-003	-1.4165212633088231E-003	9.9191966000944376E-004
133	1	8	2	2	1	2	4	21	T	7	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	6.2941145896911621E+000	5.5361883544921875E+002	9.7970426082611084E-001	4.0090751647949219E+001	-3.8862926483154297E+001	4.3784339904785156E+001	-6.7707628011703491E-002	1.1722847074270248E-001	1.6300342082977295E+000	4.3665604591369629E+000	-6.7707628011703491E-002	1.1722847074270248E-001
133	1	9	2	2	4	5	4	25	T	7	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	5.1513892412185669E-001	5.5361883544921875E+002	9.7970426082611084E-001	0.0000000000000000E+000	0.0000000000000000E+000	1.0255144536495209E-001	-1.2319184606894851E-003	9.8886003252118826E-004	1.0245003551244736E-001	-1.2633501319214702E-004	-1.2319184606894851E-003	9.8886003252118826E-004
133	1	10	2	2	5	6	4	25	T	7	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	5.1513892412185669E-001	5.5361883544921875E+002	9.7970426082611084E-001	-1.2225941419601440E+000	0.0000000000000000E+000	7.3699571192264557E-002	9.8042581230401993E-003	7.5485056731849909E-004	6.1657309532165527E-002	-2.0030624000355601E-004	9.8042581230401993E-003	7.5485056731849909E-004
