metric	observed	reference	classification
cold_aligned_exact_rows	26	26	PASS
cold_aligned_first_difference	none	none	PASS
primed_aligned_exact_rows	0	0	EXPECTED_RED_BASELINE
primed_aligned_first_difference	1:post_reset_energy	1:post_reset_energy	EXPECTED_RED_BASELINE
typed_cold_go3	0.2036E+01	0.2036E+01	PASS
forced_legacy_primed_go3	0.2098E+01	0.2036E+01	CAPTURED
trace_alignment_validation	PASS	PASS	PASS
