row	angle	predicted_obs	measured_obs	error	dchi
84	150.000	0.11457E-01	0.29000E-01	0.40000E-02	-0.385E+01
85	170.000	0.11824E-01	0.21000E-01	0.40000E-02	-0.174E+01
86	5.000	0.54412E-02	0.00000E+00	0.10000E-01	0.571E+00
87	15.000	0.55722E-02	0.00000E+00	0.60000E-02	0.975E+00
88	25.000	0.58281E-02	0.40000E-02	0.50000E-02	0.423E+00
89	35.000	0.61985E-02	0.90000E-02	0.50000E-02	-0.499E+00
90	45.000	0.66692E-02	0.40000E-02	0.60000E-02	0.500E+00
91	55.000	0.72233E-02	0.14000E-01	0.60000E-02	-0.107E+01
92	65.000	0.78428E-02	0.15000E-01	0.60000E-02	-0.113E+01
93	75.000	0.85082E-02	0.90000E-02	0.50000E-02	-0.143E-01
94	85.000	0.91988E-02	0.15000E-01	0.50000E-02	-0.107E+01
95	95.000	0.98924E-02	0.24000E-01	0.50000E-02	-0.272E+01
96	105.000	0.10566E-01	0.18000E-01	0.60000E-02	-0.115E+01
97	115.000	0.11198E-01	0.31000E-01	0.60000E-02	-0.321E+01
98	125.000	0.11767E-01	0.29000E-01	0.60000E-02	-0.278E+01
99	135.000	0.12256E-01	0.26000E-01	0.50000E-02	-0.263E+01
100	145.000	0.12655E-01	0.26000E-01	0.50000E-02	-0.254E+01
101	155.000	0.12955E-01	0.38000E-01	0.50000E-02	-0.488E+01
102	165.000	0.13156E-01	0.22000E-01	0.50000E-02	-0.164E+01
103	175.000	0.13256E-01	0.33000E-01	0.90000E-02	-0.212E+01
104	10.000	0.63399E-02	0.20000E-02	0.20000E-02	0.264E+01
105	30.000	0.69084E-02	0.40000E-02	0.20000E-02	0.196E+01
106	50.000	0.79523E-02	0.10000E-01	0.20000E-02	-0.437E+00
107	70.000	0.93239E-02	0.16000E-01	0.20000E-02	-0.265E+01
108	90.000	0.10850E-01	0.16000E-01	0.20000E-02	-0.177E+01
109	110.000	0.12336E-01	0.15000E-01	0.20000E-02	-0.421E+00
110	130.000	0.13589E-01	0.25000E-01	0.30000E-02	-0.314E+01
111	150.000	0.14465E-01	0.26000E-01	0.30000E-02	-0.313E+01
112	170.000	0.14905E-01	0.18000E-01	0.50000E-02	-0.179E+00
113	10.000	0.91256E-02	0.14000E-01	0.30000E-02	-0.974E+00
114	30.000	0.98861E-02	0.90000E-02	0.20000E-02	0.150E+01
115	50.000	0.11273E-01	0.15000E-01	0.20000E-02	-0.657E+00
116	70.000	0.13081E-01	0.19000E-01	0.20000E-02	-0.156E+01
117	90.000	0.15079E-01	0.23000E-01	0.20000E-02	-0.235E+01
118	110.000	0.17013E-01	0.27000E-01	0.30000E-02	-0.212E+01
119	130.000	0.18629E-01	0.34000E-01	0.30000E-02	-0.379E+01
120	150.000	0.19748E-01	0.35000E-01	0.40000E-02	-0.276E+01
121	170.000	0.20304E-01	0.32000E-01	0.40000E-02	-0.184E+01
122	10.000	0.11352E-01	0.90000E-02	0.30000E-02	0.101E+01
123	30.000	0.12264E-01	0.10000E-01	0.20000E-02	0.151E+01
124	50.000	0.13921E-01	0.13000E-01	0.20000E-02	0.885E+00
125	70.000	0.16068E-01	0.23000E-01	0.30000E-02	-0.198E+01
126	90.000	0.18426E-01	0.21000E-01	0.30000E-02	-0.483E+00
127	110.000	0.20697E-01	0.29000E-01	0.40000E-02	-0.176E+01
128	130.000	0.22585E-01	0.24000E-01	0.40000E-02	-0.922E-02
129	150.000	0.23882E-01	0.33000E-01	0.50000E-02	-0.153E+01
130	170.000	0.24521E-01	0.35000E-01	0.60000E-02	-0.150E+01
131	8.440	0.11970E-01	0.14000E-01	0.70000E-02	0.100E+00
132	24.500	0.12612E-01	0.12000E-01	0.40000E-02	0.873E+00
133	40.500	0.13793E-01	0.20000E-01	0.40000E-02	-0.764E+00
134	56.500	0.15386E-01	0.19000E-01	0.40000E-02	-0.252E-01
135	72.500	0.17246E-01	0.36000E-01	0.50000E-02	-0.296E+01
136	88.400	0.19208E-01	0.40000E-01	0.50000E-02	-0.328E+01
137	104.500	0.21151E-01	0.35000E-01	0.50000E-02	-0.180E+01
138	120.500	0.22873E-01	0.43000E-01	0.60000E-02	-0.248E+01
139	136.500	0.24252E-01	0.35000E-01	0.70000E-02	-0.744E+00
140	152.500	0.25207E-01	0.35000E-01	0.90000E-02	-0.449E+00
141	168.500	0.25724E-01	0.20000E-01	0.10000E-01	0.116E+01
142	18.190	0.13620E-01	0.11100E-01	0.40000E-02	0.151E+01
143	31.790	0.14496E-01	0.92000E-02	0.48000E-02	0.189E+01
144	41.410	0.15352E-01	0.95000E-02	0.52000E-02	0.189E+01
145	49.460	0.16190E-01	0.17200E-01	0.46000E-02	0.692E+00
146	56.630	0.17014E-01	0.15500E-01	0.57000E-02	0.104E+01
147	63.260	0.17827E-01	0.18500E-01	0.59000E-02	0.668E+00
148	69.510	0.18627E-01	0.26900E-01	0.49000E-02	-0.704E+00
149	75.520	0.19418E-01	0.29500E-01	0.51000E-02	-0.991E+00
150	81.370	0.20201E-01	0.27200E-01	0.52000E-02	-0.340E+00
151	87.130	0.20975E-01	0.25900E-01	0.57000E-02	0.887E-01
152	92.870	0.21741E-01	0.29100E-01	0.53000E-02	-0.326E+00
153	98.630	0.22497E-01	0.27300E-01	0.43000E-02	0.238E+00
154	104.480	0.23242E-01	0.31600E-01	0.41000E-02	-0.571E+00
155	110.490	0.23975E-01	0.25200E-01	0.49000E-02	0.102E+01
156	116.740	0.24694E-01	0.33400E-01	0.38000E-02	-0.608E+00
157	123.370	0.25398E-01	0.33900E-01	0.42000E-02	-0.458E+00
158	130.540	0.26082E-01	0.35500E-01	0.38000E-02	-0.701E+00
159	138.590	0.26744E-01	0.39700E-01	0.34000E-02	-0.177E+01
160	148.210	0.27379E-01	0.42500E-01	0.35000E-02	-0.229E+01
161	161.810	0.27984E-01	0.47300E-01	0.35000E-02	-0.345E+01
162	10.000	0.14676E-01	0.12000E-01	0.30000E-02	0.171E+01
163	30.000	0.15816E-01	0.14000E-01	0.20000E-02	0.224E+01
164	50.000	0.17874E-01	0.23000E-01	0.20000E-02	-0.106E+01
165	70.000	0.20518E-01	0.27000E-01	0.20000E-02	-0.152E+01
166	90.000	0.23399E-01	0.30000E-01	0.30000E-02	-0.889E+00
167	110.000	0.26153E-01	0.35000E-01	0.30000E-02	-0.148E+01
168	130.000	0.28424E-01	0.46000E-01	0.40000E-02	-0.320E+01
169	150.000	0.29967E-01	0.45000E-01	0.40000E-02	-0.250E+01
170	170.000	0.30721E-01	0.47000E-01	0.70000E-02	-0.159E+01
171	10.000	0.16042E-01	0.10000E-01	0.50000E-02	0.158E+01
172	30.000	0.17278E-01	0.18000E-01	0.30000E-02	0.419E+00
173	50.000	0.19501E-01	0.26000E-01	0.30000E-02	-0.142E+01
174	70.000	0.22348E-01	0.31000E-01	0.30000E-02	-0.203E+01
175	90.000	0.25441E-01	0.36000E-01	0.40000E-02	-0.191E+01
176	110.000	0.28387E-01	0.20000E-01	0.30000E-02	0.388E+01
177	130.000	0.30809E-01	0.36000E-01	0.40000E-02	-0.416E+00
178	150.000	0.32448E-01	0.62000E-01	0.50000E-02	-0.517E+01
179	170.000	0.33245E-01	0.51000E-01	0.13000E-01	-0.107E+01
180	5.000	0.16269E-01	0.14000E-01	0.11000E-01	0.312E+00
181	15.000	0.16595E-01	0.90000E-02	0.70000E-02	0.125E+01
182	25.000	0.17229E-01	0.90000E-02	0.60000E-02	0.158E+01
183	35.000	0.18138E-01	0.16000E-01	0.60000E-02	0.572E+00
184	45.000	0.19276E-01	0.28000E-01	0.70000E-02	-0.105E+01
185	55.000	0.20598E-01	0.17000E-01	0.70000E-02	0.724E+00
186	65.000	0.22054E-01	0.31000E-01	0.70000E-02	-0.105E+01
187	75.000	0.23595E-01	0.40000E-01	0.70000E-02	-0.210E+01
188	85.000	0.25175E-01	0.31000E-01	0.60000E-02	-0.672E+00
189	95.000	0.26742E-01	0.43000E-01	0.60000E-02	-0.239E+01
190	105.000	0.28246E-01	0.37000E-01	0.70000E-02	-0.963E+00
191	115.000	0.29637E-01	0.52000E-01	0.70000E-02	-0.289E+01
192	125.000	0.30871E-01	0.61000E-01	0.70000E-02	-0.399E+01
193	135.000	0.31914E-01	0.45000E-01	0.70000E-02	-0.154E+01
194	145.000	0.32747E-01	0.44000E-01	0.70000E-02	-0.127E+01
195	155.000	0.33363E-01	0.41000E-01	0.70000E-02	-0.751E+00
196	165.000	0.33766E-01	0.59000E-01	0.80000E-02	-0.285E+01
197	175.000	0.33964E-01	0.47000E-01	0.14000E-01	-0.758E+00
198	10.000	0.22052E-01	0.22000E-01	0.40000E-02	0.624E+00
199	30.000	0.23709E-01	0.23000E-01	0.30000E-02	0.111E+01
200	50.000	0.26665E-01	0.29000E-01	0.30000E-02	0.207E+00
201	70.000	0.30401E-01	0.36000E-01	0.30000E-02	-0.743E+00
202	90.000	0.34403E-01	0.43000E-01	0.30000E-02	-0.159E+01
203	110.000	0.38169E-01	0.49000E-01	0.40000E-02	-0.165E+01
204	130.000	0.41222E-01	0.49000E-01	0.40000E-02	-0.802E+00
205	150.000	0.43254E-01	0.51000E-01	0.50000E-02	-0.590E+00
206	170.000	0.44226E-01	0.53000E-01	0.70000E-02	-0.553E+00
207	10.000	0.22524E-01	0.23000E-01	0.50000E-02	0.132E+00
208	30.000	0.24215E-01	0.30000E-01	0.30000E-02	-0.152E+01
209	50.000	0.27229E-01	0.28000E-01	0.30000E-02	0.200E+00
210	70.000	0.31034E-01	0.34000E-01	0.30000E-02	-0.467E+00
211	90.000	0.35107E-01	0.36000E-01	0.30000E-02	0.292E+00
212	110.000	0.38935E-01	0.43000E-01	0.40000E-02	-0.526E+00
213	130.000	0.42035E-01	0.43000E-01	0.40000E-02	0.288E+00
214	150.000	0.44097E-01	0.49000E-01	0.40000E-02	-0.670E+00
215	170.000	0.45081E-01	0.40000E-01	0.70000E-02	0.105E+01
216	8.440	0.26163E-01	0.30000E-01	0.16000E-01	0.945E-01
217	24.500	0.27482E-01	0.28000E-01	0.70000E-02	0.729E+00
218	40.500	0.29871E-01	0.28000E-01	0.50000E-02	0.160E+01
219	56.500	0.33020E-01	0.46000E-01	0.60000E-02	-0.104E+01
220	72.500	0.36601E-01	0.63000E-01	0.60000E-02	-0.315E+01
221	88.500	0.40307E-01	0.71000E-01	0.70000E-02	-0.321E+01
222	104.500	0.43842E-01	0.67000E-01	0.70000E-02	-0.203E+01
