row	angle	predicted_obs	measured_obs	error	dchi
84	150.000	0.11437E-01	0.29000E-01	0.40000E-02	-0.385E+01
85	170.000	0.11802E-01	0.21000E-01	0.40000E-02	-0.174E+01
86	5.000	0.54423E-02	0.00000E+00	0.10000E-01	0.571E+00
87	15.000	0.55706E-02	0.00000E+00	0.60000E-02	0.974E+00
88	25.000	0.58215E-02	0.40000E-02	0.50000E-02	0.422E+00
89	35.000	0.61853E-02	0.90000E-02	0.50000E-02	-0.502E+00
90	45.000	0.66486E-02	0.40000E-02	0.60000E-02	0.496E+00
91	55.000	0.71961E-02	0.14000E-01	0.60000E-02	-0.107E+01
92	65.000	0.78108E-02	0.15000E-01	0.60000E-02	-0.113E+01
93	75.000	0.84742E-02	0.90000E-02	0.50000E-02	-0.214E-01
94	85.000	0.91655E-02	0.15000E-01	0.50000E-02	-0.108E+01
95	95.000	0.98621E-02	0.24000E-01	0.50000E-02	-0.273E+01
96	105.000	0.10540E-01	0.18000E-01	0.60000E-02	-0.116E+01
97	115.000	0.11175E-01	0.31000E-01	0.60000E-02	-0.321E+01
98	125.000	0.11746E-01	0.29000E-01	0.60000E-02	-0.278E+01
99	135.000	0.12236E-01	0.26000E-01	0.50000E-02	-0.263E+01
100	145.000	0.12634E-01	0.26000E-01	0.50000E-02	-0.255E+01
101	155.000	0.12932E-01	0.38000E-01	0.50000E-02	-0.489E+01
102	165.000	0.13131E-01	0.22000E-01	0.50000E-02	-0.164E+01
103	175.000	0.13230E-01	0.33000E-01	0.90000E-02	-0.212E+01
104	10.000	0.63404E-02	0.20000E-02	0.20000E-02	0.264E+01
105	30.000	0.68973E-02	0.40000E-02	0.20000E-02	0.196E+01
106	50.000	0.79245E-02	0.10000E-01	0.20000E-02	-0.450E+00
107	70.000	0.92858E-02	0.16000E-01	0.20000E-02	-0.267E+01
108	90.000	0.10814E-01	0.16000E-01	0.20000E-02	-0.179E+01
109	110.000	0.12309E-01	0.15000E-01	0.20000E-02	-0.432E+00
110	130.000	0.13566E-01	0.25000E-01	0.30000E-02	-0.314E+01
111	150.000	0.14438E-01	0.26000E-01	0.30000E-02	-0.314E+01
112	170.000	0.14872E-01	0.18000E-01	0.50000E-02	-0.184E+00
113	10.000	0.91314E-02	0.14000E-01	0.30000E-02	-0.968E+00
114	30.000	0.98732E-02	0.90000E-02	0.20000E-02	0.150E+01
115	50.000	0.11234E-01	0.15000E-01	0.20000E-02	-0.675E+00
116	70.000	0.13028E-01	0.19000E-01	0.20000E-02	-0.159E+01
117	90.000	0.15032E-01	0.23000E-01	0.20000E-02	-0.237E+01
118	110.000	0.16980E-01	0.27000E-01	0.30000E-02	-0.212E+01
119	130.000	0.18601E-01	0.34000E-01	0.30000E-02	-0.380E+01
120	150.000	0.19709E-01	0.35000E-01	0.40000E-02	-0.276E+01
121	170.000	0.20253E-01	0.32000E-01	0.40000E-02	-0.185E+01
122	10.000	0.11363E-01	0.90000E-02	0.30000E-02	0.102E+01
123	30.000	0.12251E-01	0.10000E-01	0.20000E-02	0.151E+01
124	50.000	0.13873E-01	0.13000E-01	0.20000E-02	0.867E+00
125	70.000	0.16003E-01	0.23000E-01	0.30000E-02	-0.200E+01
126	90.000	0.18371E-01	0.21000E-01	0.30000E-02	-0.496E+00
127	110.000	0.20663E-01	0.29000E-01	0.40000E-02	-0.176E+01
128	130.000	0.22554E-01	0.24000E-01	0.40000E-02	-0.115E-01
129	150.000	0.23833E-01	0.33000E-01	0.50000E-02	-0.154E+01
130	170.000	0.24454E-01	0.35000E-01	0.60000E-02	-0.150E+01
131	8.440	0.11986E-01	0.14000E-01	0.70000E-02	0.104E+00
132	24.500	0.12610E-01	0.12000E-01	0.40000E-02	0.874E+00
133	40.500	0.13762E-01	0.20000E-01	0.40000E-02	-0.771E+00
