row	angle_equal	predicted_equal	measured_equal	error_equal	dchi_equal	exact	typed_predicted	legacy_predicted	typed_dchi	legacy_dchi
463	yes	no	yes	yes	no	no	0.82875E-01	0.82639E-01	-0.142E+01	-0.145E+01
464	yes	no	yes	yes	no	no	0.92964E-01	0.93219E-01	0.821E+00	0.858E+00
465	yes	no	yes	yes	no	no	0.10525E+00	0.10559E+00	0.964E+00	0.101E+01
466	yes	no	yes	yes	no	no	0.11767E+00	0.11763E+00	-0.329E+00	-0.335E+00
467	yes	no	yes	yes	no	no	0.12823E+00	0.12782E+00	-0.374E+00	-0.420E+00
468	yes	no	yes	yes	no	no	0.13541E+00	0.13515E+00	0.219E+01	0.216E+01
469	yes	no	yes	yes	no	no	0.13895E+00	0.13932E+00	-0.568E+00	-0.528E+00
470	yes	no	yes	yes	no	no	0.14007E+00	0.14099E+00	-0.828E+00	-0.788E+00
471	yes	no	yes	yes	no	no	0.87090E-01	0.86279E-01	0.235E+01	0.227E+01
472	yes	no	yes	yes	no	no	0.93760E-01	0.93476E-01	0.158E+01	0.155E+01
473	yes	no	yes	yes	no	no	0.10532E+00	0.10563E+00	-0.955E+00	-0.913E+00
474	yes	no	yes	yes	no	no	0.11930E+00	0.11972E+00	0.100E+00	0.156E+00
475	yes	no	yes	yes	no	no	0.13329E+00	0.13324E+00	-0.143E+01	-0.144E+01
476	yes	no	yes	yes	no	no	0.14500E+00	0.14450E+00	0.684E+00	0.631E+00
477	yes	no	yes	yes	no	no	0.15272E+00	0.15241E+00	-0.521E+00	-0.549E+00
478	yes	no	yes	yes	no	no	0.15633E+00	0.15677E+00	0.834E+00	0.881E+00
479	yes	no	yes	yes	no	no	0.15732E+00	0.15844E+00	0.410E+00	0.467E+00
480	yes	no	yes	yes	no	no	0.88604E-01	0.87769E-01	0.991E+00	0.888E+00
481	yes	no	yes	yes	no	no	0.95408E-01	0.95115E-01	-0.125E+01	-0.130E+01
482	yes	no	yes	yes	no	no	0.10720E+00	0.10752E+00	-0.134E+01	-0.129E+01
483	yes	no	yes	yes	no	no	0.12144E+00	0.12186E+00	-0.132E+01	-0.126E+01
484	yes	no	yes	yes	no	no	0.13566E+00	0.13561E+00	-0.776E+00	-0.787E+00
485	yes	no	yes	yes	no	no	0.14754E+00	0.14703E+00	0.441E+00	0.366E+00
486	yes	no	yes	yes	no	no	0.15534E+00	0.15502E+00	0.951E+00	0.902E+00
487	yes	no	yes	yes	no	no	0.15895E+00	0.15941E+00	0.174E+01	0.180E+01
488	yes	no	yes	yes	no	no	0.15992E+00	0.16107E+00	0.809E+00	0.918E+00
489	yes	no	yes	yes	no	no	0.98445E-01	0.97459E-01	0.133E+01	0.126E+01
490	yes	no	yes	yes	no	no	0.10614E+00	0.10579E+00	-0.211E+00	-0.249E+00
491	yes	no	yes	yes	no	no	0.11942E+00	0.11980E+00	-0.119E+01	-0.114E+01
492	yes	no	yes	yes	no	no	0.13538E+00	0.13588E+00	-0.876E+00	-0.823E+00
493	yes	no	yes	yes	no	no	0.15116E+00	0.15109E+00	-0.490E+00	-0.495E+00
494	yes	no	yes	yes	no	no	0.16414E+00	0.16353E+00	0.749E+00	0.694E+00
495	yes	no	yes	yes	no	no	0.17243E+00	0.17205E+00	0.343E+00	0.306E+00
496	yes	no	yes	yes	no	no	0.17603E+00	0.17657E+00	0.174E+01	0.179E+01
497	yes	no	yes	yes	no	no	0.17683E+00	0.17819E+00	0.755E+00	0.808E+00
498	yes	no	yes	yes	no	no	0.10086E+00	0.99743E-01	0.148E+01	0.141E+01
499	yes	no	yes	yes	no	no	0.10296E+00	0.10204E+00	0.976E+00	0.890E+00
500	yes	no	yes	yes	no	no	0.10699E+00	0.10642E+00	0.278E+01	0.272E+01
501	yes	no	yes	yes	no	no	0.11266E+00	0.11251E+00	0.236E+01	0.234E+01
502	yes	no	yes	yes	no	no	0.11960E+00	0.11985E+00	-0.939E+00	-0.917E+00
503	yes	no	yes	yes	no	no	0.12742E+00	0.12793E+00	0.511E+00	0.557E+00
504	yes	no	yes	yes	no	no	0.13572E+00	0.13630E+00	0.708E+00	0.765E+00
505	yes	no	yes	yes	no	no	0.14415E+00	0.14458E+00	-0.335E+00	-0.293E+00
506	yes	no	yes	yes	no	no	0.15234E+00	0.15246E+00	-0.802E+00	-0.792E+00
507	yes	no	yes	yes	no	no	0.15995E+00	0.15969E+00	-0.278E-01	-0.558E-01
508	yes	no	yes	yes	no	no	0.16665E+00	0.16609E+00	-0.125E+01	-0.130E+01
509	yes	no	yes	yes	no	no	0.17218E+00	0.17151E+00	-0.235E+01	-0.241E+01
510	yes	no	yes	yes	no	no	0.17640E+00	0.17585E+00	-0.130E+01	-0.134E+01
511	yes	no	yes	yes	no	no	0.17931E+00	0.17911E+00	-0.105E+01	-0.107E+01
512	yes	no	yes	yes	no	no	0.18106E+00	0.18136E+00	0.183E+00	0.207E+00
513	yes	no	yes	yes	no	no	0.18194E+00	0.18278E+00	-0.242E+00	-0.173E+00
514	yes	no	yes	yes	no	no	0.18228E+00	0.18356E+00	-0.397E+00	-0.306E+00
515	yes	no	yes	yes	no	no	0.18236E+00	0.18389E+00	0.220E+01	0.226E+01
516	yes	no	yes	yes	no	no	0.10571E+00	0.10487E+00	0.394E+01	0.378E+01
517	yes	no	yes	yes	no	no	0.11247E+00	0.11218E+00	-0.192E-01	-0.703E-01
518	yes	no	yes	yes	no	no	0.11890E+00	0.11901E+00	0.152E+01	0.155E+01
519	yes	no	yes	yes	no	no	0.12502E+00	0.12542E+00	-0.433E-01	0.344E-01
520	yes	no	yes	yes	no	no	0.13087E+00	0.13142E+00	0.105E+01	0.115E+01
521	yes	no	yes	yes	no	no	0.13648E+00	0.13707E+00	0.114E+01	0.124E+01
522	yes	no	yes	yes	no	no	0.14184E+00	0.14239E+00	-0.299E+00	-0.199E+00
523	yes	no	yes	yes	no	no	0.14698E+00	0.14740E+00	-0.199E+01	-0.191E+01
524	yes	no	yes	yes	no	no	0.15189E+00	0.15213E+00	-0.518E+00	-0.468E+00
525	yes	no	yes	yes	no	no	0.15656E+00	0.15660E+00	-0.119E+01	-0.118E+01
526	yes	no	yes	yes	no	no	0.16100E+00	0.16081E+00	-0.387E+00	-0.412E+00
527	yes	no	yes	yes	no	no	0.16516E+00	0.16477E+00	0.679E+00	0.613E+00
528	yes	no	yes	yes	no	no	0.16904E+00	0.16848E+00	-0.142E+01	-0.152E+01
529	yes	no	yes	yes	no	no	0.17260E+00	0.17193E+00	-0.919E+00	-0.104E+01
530	yes	no	yes	yes	no	no	0.17580E+00	0.17511E+00	-0.761E+00	-0.888E+00
531	yes	no	yes	yes	no	no	0.17861E+00	0.17801E+00	-0.369E+00	-0.482E+00
532	yes	no	yes	yes	no	no	0.18099E+00	0.18060E+00	0.142E+01	0.135E+01
533	yes	no	yes	yes	no	no	0.18288E+00	0.18285E+00	0.191E+00	0.194E+00
534	yes	no	yes	yes	no	no	0.18424E+00	0.18473E+00	0.375E+00	0.482E+00
535	yes	no	yes	yes	no	no	0.18500E+00	0.18618E+00	-0.621E+00	-0.381E+00
536	yes	no	yes	yes	no	no	0.10436E+00	0.10328E+00	0.944E+00	0.826E+00
537	yes	no	yes	yes	no	no	0.11260E+00	0.11222E+00	0.919E+00	0.855E+00
538	yes	no	yes	yes	no	no	0.12681E+00	0.12723E+00	-0.195E+01	-0.190E+01
539	yes	no	yes	yes	no	no	0.14381E+00	0.14436E+00	-0.130E+01	-0.123E+01
540	yes	no	yes	yes	no	no	0.16054E+00	0.16046E+00	-0.136E+01	-0.137E+01
541	yes	no	yes	yes	no	no	0.17417E+00	0.17350E+00	0.155E+01	0.146E+01
542	yes	no	yes	yes	no	no	0.18273E+00	0.18231E+00	0.121E+01	0.116E+01
543	yes	no	yes	yes	no	no	0.18629E+00	0.18689E+00	0.272E+00	0.342E+00
544	yes	no	yes	yes	no	no	0.18698E+00	0.18847E+00	0.259E+00	0.389E+00
545	yes	no	yes	yes	no	no	0.14451E+00	0.14513E+00	-0.650E+00	-0.641E+00
546	yes	no	yes	yes	no	no	0.15524E+00	0.15560E+00	-0.568E+00	-0.561E+00
547	yes	no	yes	yes	yes	no	0.16490E+00	0.16482E+00	-0.230E+01	-0.230E+01
548	yes	no	yes	yes	no	no	0.17347E+00	0.17296E+00	-0.235E+01	-0.236E+01
549	yes	no	yes	yes	no	no	0.18081E+00	0.18008E+00	-0.138E+01	-0.139E+01
550	yes	no	yes	yes	no	no	0.18653E+00	0.18599E+00	-0.245E+01	-0.246E+01
551	yes	no	yes	yes	yes	no	0.19029E+00	0.19051E+00	-0.236E+01	-0.236E+01
552	yes	no	yes	yes	no	no	0.10959E+00	0.10842E+00	0.145E+01	0.140E+01
553	yes	no	yes	yes	no	no	0.11833E+00	0.11792E+00	-0.710E+00	-0.746E+00
554	yes	no	yes	yes	no	no	0.13336E+00	0.13381E+00	-0.308E+00	-0.263E+00
555	yes	no	yes	yes	no	no	0.15130E+00	0.15190E+00	-0.786E+00	-0.734E+00
556	yes	no	yes	yes	no	no	0.16887E+00	0.16879E+00	-0.607E+00	-0.614E+00
557	yes	no	yes	yes	no	no	0.18307E+00	0.18235E+00	0.257E+01	0.251E+01
558	yes	no	yes	yes	no	no	0.19186E+00	0.19141E+00	0.826E+00	0.790E+00
559	yes	no	yes	yes	no	no	0.19537E+00	0.19602E+00	-0.483E+00	-0.435E+00
560	yes	no	yes	yes	no	no	0.19595E+00	0.19756E+00	0.822E+00	0.881E+00
561	yes	no	yes	yes	no	no	0.11982E+00	0.11847E+00	0.806E+00	0.663E+00
562	yes	no	yes	yes	no	no	0.12954E+00	0.12907E+00	-0.389E+00	-0.456E+00
563	yes	no	yes	yes	no	no	0.14622E+00	0.14675E+00	-0.103E+01	-0.969E+00
564	yes	no	yes	yes	no	no	0.16603E+00	0.16671E+00	-0.111E+01	-0.103E+01
565	yes	no	yes	yes	no	no	0.18525E+00	0.18515E+00	-0.374E+00	-0.392E+00
566	yes	no	yes	yes	no	no	0.20056E+00	0.19972E+00	0.527E+00	0.424E+00
567	yes	no	yes	yes	no	no	0.20975E+00	0.20923E+00	0.344E+00	0.277E+00
568	yes	no	yes	yes	no	no	0.21313E+00	0.21387E+00	0.136E+01	0.144E+01
569	yes	no	yes	yes	no	no	0.21345E+00	0.21531E+00	0.102E+01	0.117E+01
570	yes	no	yes	yes	no	no	0.12157E+00	0.12019E+00	-0.714E+00	-0.779E+00
571	yes	no	yes	yes	no	no	0.13146E+00	0.13098E+00	0.372E+00	0.325E+00
572	yes	no	yes	yes	no	no	0.14843E+00	0.14896E+00	-0.164E+01	-0.159E+01
573	yes	no	yes	yes	no	no	0.16856E+00	0.16926E+00	-0.525E+00	-0.462E+00
574	yes	no	yes	yes	no	no	0.18806E+00	0.18796E+00	-0.576E-01	-0.648E-01
575	yes	no	yes	yes	no	no	0.20356E+00	0.20270E+00	-0.145E+00	-0.209E+00
576	yes	no	yes	yes	no	no	0.21281E+00	0.21228E+00	0.781E+00	0.738E+00
577	yes	no	yes	yes	no	no	0.21616E+00	0.21692E+00	0.251E+01	0.257E+01
578	yes	no	yes	yes	no	no	0.21644E+00	0.21834E+00	-0.614E+00	-0.600E+00
579	yes	no	yes	yes	no	no	0.12981E+00	0.12814E+00	0.101E+01	0.927E+00
580	yes	no	yes	yes	no	no	0.13265E+00	0.13127E+00	0.117E+01	0.105E+01
581	yes	no	yes	yes	no	no	0.13809E+00	0.13724E+00	0.231E+01	0.224E+01
582	yes	no	yes	yes	no	no	0.14572E+00	0.14551E+00	0.231E+01	0.228E+01
583	yes	no	yes	yes	no	no	0.15503E+00	0.15540E+00	0.257E+01	0.261E+01
584	yes	no	yes	yes	no	no	0.16544E+00	0.16622E+00	-0.277E+00	-0.214E+00
585	yes	no	yes	yes	no	no	0.17643E+00	0.17729E+00	-0.782E+00	-0.711E+00
586	yes	no	yes	yes	no	no	0.18746E+00	0.18810E+00	-0.178E+01	-0.173E+01
587	yes	no	yes	yes	no	no	0.19805E+00	0.19822E+00	0.511E+00	0.524E+00
588	yes	no	yes	yes	no	no	0.20773E+00	0.20733E+00	-0.277E+01	-0.280E+01
589	yes	no	yes	yes	no	no	0.21605E+00	0.21521E+00	-0.141E+01	-0.148E+01
590	yes	no	yes	yes	no	no	0.22272E+00	0.22171E+00	0.573E-01	-0.276E-01
591	yes	no	yes	yes	no	no	0.22756E+00	0.22674E+00	0.389E-01	-0.250E-01
592	yes	no	yes	yes	no	no	0.23063E+00	0.23034E+00	-0.418E+00	-0.441E+00
593	yes	no	yes	yes	no	no	0.23222E+00	0.23268E+00	-0.528E+00	-0.493E+00
594	yes	no	yes	yes	no	no	0.23275E+00	0.23401E+00	-0.102E+00	-0.653E-02
595	yes	no	yes	yes	no	no	0.23273E+00	0.23465E+00	0.541E+00	0.660E+00
596	yes	no	yes	yes	no	no	0.23260E+00	0.23489E+00	0.421E+00	0.512E+00
597	yes	no	yes	yes	no	no	0.13296E+00	0.13136E+00	0.902E+00	0.810E+00
598	yes	no	yes	yes	no	no	0.14394E+00	0.14339E+00	0.152E+01	0.147E+01
599	yes	no	yes	yes	no	no	0.16274E+00	0.16337E+00	-0.905E+00	-0.853E+00
600	yes	no	yes	yes	no	no	0.18497E+00	0.18578E+00	-0.114E+00	-0.526E-01
601	yes	no	yes	yes	no	no	0.20638E+00	0.20626E+00	-0.124E+01	-0.126E+01
602	yes	no	yes	yes	no	no	0.22320E+00	0.22220E+00	0.612E-01	-0.113E-01
603	yes	no	yes	yes	no	no	0.23299E+00	0.23238E+00	-0.123E+00	-0.174E+00
604	yes	no	yes	yes	no	no	0.23625E+00	0.23714E+00	0.154E+01	0.160E+01
605	yes	no	yes	yes	no	no	0.23628E+00	0.23849E+00	0.793E+00	0.880E+00
606	yes	no	yes	yes	no	no	0.13505E+00	0.13341E+00	0.279E+00	0.120E+00
607	yes	no	yes	yes	no	no	0.14623E+00	0.14567E+00	0.624E+00	0.542E+00
608	yes	no	yes	yes	no	no	0.16538E+00	0.16602E+00	-0.565E+00	-0.494E+00
609	yes	no	yes	yes	no	no	0.18799E+00	0.18882E+00	-0.124E+01	-0.115E+01
610	yes	no	yes	yes	no	no	0.20976E+00	0.20963E+00	0.523E-01	0.335E-01
611	yes	no	yes	yes	no	no	0.22682E+00	0.22580E+00	0.179E+00	0.660E-01
612	yes	no	yes	yes	no	no	0.23671E+00	0.23608E+00	0.108E+00	0.360E-01
613	yes	no	yes	yes	no	no	0.23995E+00	0.24086E+00	0.448E+00	0.538E+00
614	yes	no	yes	yes	no	no	0.23992E+00	0.24219E+00	0.108E+01	0.126E+01
615	yes	no	yes	yes	no	no	0.13956E+00	0.13824E+00	0.365E+01	0.343E+01
616	yes	no	yes	yes	no	no	0.14892E+00	0.14847E+00	0.199E+01	0.192E+01
617	yes	no	yes	yes	no	no	0.15778E+00	0.15798E+00	0.147E+01	0.150E+01
618	yes	no	yes	yes	no	no	0.16619E+00	0.16682E+00	0.115E+01	0.125E+01
619	yes	no	yes	yes	no	no	0.17418E+00	0.17505E+00	0.164E+01	0.178E+01
620	yes	no	yes	yes	no	no	0.18180E+00	0.18274E+00	-0.707E+00	-0.565E+00
621	yes	no	yes	yes	no	no	0.18904E+00	0.18990E+00	-0.626E+00	-0.491E+00
622	yes	no	yes	yes	no	no	0.19593E+00	0.19659E+00	-0.130E+01	-0.120E+01
623	yes	no	yes	yes	no	no	0.20246E+00	0.20283E+00	-0.129E+01	-0.122E+01
624	yes	no	yes	yes	no	no	0.20862E+00	0.20866E+00	-0.920E+00	-0.906E+00
625	yes	no	yes	yes	no	no	0.21440E+00	0.21410E+00	-0.327E+01	-0.331E+01
626	yes	no	yes	yes	no	no	0.21976E+00	0.21914E+00	-0.218E+01	-0.227E+01
627	yes	no	yes	yes	no	no	0.22467E+00	0.22379E+00	-0.132E+01	-0.145E+01
628	yes	no	yes	yes	no	no	0.22909E+00	0.22804E+00	0.601E+00	0.436E+00
629	yes	no	yes	yes	no	no	0.23296E+00	0.23189E+00	-0.315E+00	-0.487E+00
630	yes	no	yes	yes	no	no	0.23624E+00	0.23530E+00	-0.721E+00	-0.873E+00
631	yes	no	yes	yes	no	no	0.23886E+00	0.23826E+00	0.768E+00	0.675E+00
632	yes	no	yes	yes	yes	no	0.24075E+00	0.24070E+00	0.102E+01	0.102E+01
633	yes	no	yes	yes	no	no	0.24183E+00	0.24260E+00	0.155E+01	0.169E+01
634	yes	no	yes	yes	no	no	0.24203E+00	0.24388E+00	0.814E+00	0.113E+01
635	yes	no	yes	yes	no	no	0.15210E+00	0.15009E+00	0.211E+01	0.192E+01
636	yes	no	yes	yes	no	no	0.16497E+00	0.16427E+00	0.160E+01	0.150E+01
637	yes	no	yes	yes	no	no	0.18694E+00	0.18772E+00	-0.202E+01	-0.193E+01
638	yes	no	yes	yes	no	no	0.21278E+00	0.21380E+00	-0.131E+01	-0.121E+01
639	yes	no	yes	yes	no	no	0.23747E+00	0.23731E+00	0.127E+01	0.125E+01
640	yes	no	yes	yes	no	no	0.25652E+00	0.25527E+00	-0.966E+00	-0.109E+01
641	yes	no	yes	yes	no	no	0.26717E+00	0.26640E+00	0.484E+00	0.401E+00
642	yes	no	yes	yes	no	no	0.27018E+00	0.27130E+00	0.577E+00	0.690E+00
643	yes	no	yes	yes	no	no	0.26971E+00	0.27248E+00	-0.404E+00	-0.206E+00
644	yes	no	yes	yes	no	no	0.15224E+00	0.15023E+00	0.290E+00	0.215E+00
645	yes	no	yes	yes	no	no	0.16512E+00	0.16443E+00	0.333E+00	0.266E+00
646	yes	no	yes	yes	no	no	0.18712E+00	0.18791E+00	-0.169E+01	-0.164E+01
647	yes	no	yes	yes	no	no	0.21300E+00	0.21401E+00	-0.151E+01	-0.145E+01
648	yes	no	yes	yes	no	no	0.23770E+00	0.23754E+00	0.368E-01	0.142E-01
649	yes	no	yes	yes	no	no	0.25678E+00	0.25552E+00	-0.964E+00	-0.105E+01
650	yes	no	yes	yes	no	no	0.26743E+00	0.26666E+00	0.281E+00	0.218E+00
651	yes	no	yes	yes	no	no	0.27044E+00	0.27156E+00	0.123E+01	0.130E+01
652	yes	no	yes	yes	no	no	0.26997E+00	0.27274E+00	0.245E+01	0.256E+01
653	yes	no	yes	yes	no	no	0.15803E+00	0.15569E+00	-0.142E+01	-0.153E+01
654	yes	no	yes	yes	no	no	0.16161E+00	0.15969E+00	0.348E+01	0.334E+01
655	yes	no	yes	yes	no	no	0.16848E+00	0.16729E+00	0.385E+01	0.375E+01
656	yes	no	yes	yes	no	no	0.17810E+00	0.17780E+00	0.215E+01	0.213E+01
657	yes	no	yes	yes	no	no	0.18979E+00	0.19032E+00	0.739E+00	0.781E+00
658	yes	no	yes	yes	no	no	0.20284E+00	0.20392E+00	0.191E+01	0.199E+01
659	yes	no	yes	yes	no	no	0.21656E+00	0.21776E+00	0.892E+00	0.980E+00
660	yes	no	yes	yes	no	no	0.23026E+00	0.23114E+00	-0.114E+01	-0.107E+01
661	yes	no	yes	yes	no	no	0.24331E+00	0.24352E+00	-0.281E+00	-0.262E+00
662	yes	no	yes	yes	no	no	0.25510E+00	0.25454E+00	-0.152E+01	-0.156E+01
663	yes	no	yes	yes	no	no	0.26510E+00	0.26392E+00	-0.190E+01	-0.199E+01
664	yes	no	yes	yes	no	no	0.27292E+00	0.27151E+00	0.779E-01	-0.211E-01
665	yes	no	yes	yes	no	no	0.27838E+00	0.27724E+00	-0.628E+00	-0.703E+00
666	yes	no	yes	yes	no	no	0.28159E+00	0.28119E+00	-0.128E+01	-0.130E+01
667	yes	no	yes	yes	no	no	0.28296E+00	0.28361E+00	-0.199E+01	-0.194E+01
668	yes	no	yes	yes	no	no	0.28309E+00	0.28486E+00	0.519E+00	0.632E+00
669	yes	no	yes	yes	no	no	0.28267E+00	0.28536E+00	-0.395E+00	-0.244E+00
670	yes	no	yes	yes	no	no	0.28230E+00	0.28550E+00	-0.142E+01	-0.131E+01
671	yes	no	yes	yes	no	no	0.16424E+00	0.16195E+00	0.454E+00	0.372E+00
672	yes	no	yes	yes	no	no	0.17834E+00	0.17755E+00	-0.102E+01	-0.108E+01
673	yes	no	yes	yes	no	no	0.20238E+00	0.20328E+00	-0.939E+00	-0.885E+00
674	yes	no	yes	yes	no	no	0.23059E+00	0.23175E+00	0.977E+00	0.104E+01
675	yes	no	yes	yes	no	no	0.25739E+00	0.25721E+00	0.575E+00	0.562E+00
676	yes	no	yes	yes	no	no	0.27787E+00	0.27644E+00	0.365E+00	0.288E+00
677	yes	no	yes	yes	no	no	0.28901E+00	0.28815E+00	0.812E+00	0.761E+00
678	yes	no	yes	yes	no	no	0.29181E+00	0.29309E+00	0.653E+00	0.720E+00
679	yes	no	yes	yes	no	no	0.29097E+00	0.29413E+00	0.168E+00	0.248E+00
680	yes	no	yes	yes	no	no	0.16825E+00	0.16586E+00	0.193E+01	0.172E+01
681	yes	no	yes	yes	no	no	0.18276E+00	0.18194E+00	-0.657E+00	-0.761E+00
682	yes	no	yes	yes	no	no	0.20750E+00	0.20844E+00	-0.135E+01	-0.126E+01
683	yes	no	yes	yes	no	no	0.23650E+00	0.23770E+00	-0.167E+01	-0.156E+01
684	yes	no	yes	yes	no	no	0.26401E+00	0.26381E+00	-0.487E+00	-0.512E+00
685	yes	no	yes	yes	no	no	0.28495E+00	0.28347E+00	0.102E+01	0.884E+00
686	yes	no	yes	yes	no	no	0.29625E+00	0.29535E+00	0.577E+00	0.483E+00
687	yes	no	yes	yes	no	no	0.29897E+00	0.30030E+00	0.213E+01	0.224E+01
688	yes	no	yes	yes	no	no	0.29800E+00	0.30130E+00	-0.400E+00	-0.187E+00
689	yes	no	yes	yes	no	no	0.17477E+00	0.17284E+00	0.342E+01	0.312E+01
690	yes	no	yes	yes	no	no	0.18698E+00	0.18633E+00	0.191E+01	0.183E+01
691	yes	no	yes	yes	no	no	0.19851E+00	0.19879E+00	0.292E+01	0.297E+01
692	yes	no	yes	yes	no	no	0.20941E+00	0.21033E+00	0.388E+00	0.521E+00
693	yes	no	yes	yes	no	no	0.21975E+00	0.22102E+00	0.120E+01	0.137E+01
694	yes	no	yes	yes	no	no	0.22957E+00	0.23093E+00	0.624E+00	0.809E+00
695	yes	no	yes	yes	no	no	0.23887E+00	0.24011E+00	-0.475E+00	-0.303E+00
696	yes	no	yes	yes	no	no	0.24767E+00	0.24862E+00	-0.225E-01	0.114E+00
697	yes	no	yes	yes	no	no	0.25598E+00	0.25652E+00	-0.136E+01	-0.128E+01
698	yes	no	yes	yes	no	no	0.26377E+00	0.26382E+00	-0.197E+01	-0.195E+01
699	yes	no	yes	yes	no	no	0.27102E+00	0.27057E+00	-0.204E+01	-0.209E+01
700	yes	no	yes	yes	no	no	0.27769E+00	0.27677E+00	-0.189E+01	-0.201E+01
701	yes	no	yes	yes	no	no	0.28372E+00	0.28242E+00	-0.207E+01	-0.224E+01
702	yes	no	yes	yes	no	no	0.28906E+00	0.28753E+00	-0.104E+01	-0.125E+01
703	yes	no	yes	yes	no	no	0.29364E+00	0.29207E+00	0.543E+00	0.322E+00
704	yes	no	yes	yes	no	no	0.29738E+00	0.29602E+00	0.334E+00	0.143E+00
705	yes	no	yes	yes	no	no	0.30021E+00	0.29933E+00	0.111E+01	0.994E+00
706	yes	no	yes	yes	no	no	0.30201E+00	0.30196E+00	0.307E+00	0.312E+00
707	yes	no	yes	yes	no	no	0.30270E+00	0.30384E+00	0.731E-01	0.248E+00
708	yes	no	yes	yes	no	no	0.30216E+00	0.30488E+00	0.996E+00	0.140E+01
709	yes	no	yes	yes	no	no	0.17665E+00	0.17406E+00	0.215E+01	0.203E+01
710	yes	no	yes	yes	no	no	0.19205E+00	0.19116E+00	0.620E+00	0.564E+00
711	yes	no	yes	yes	no	no	0.21826E+00	0.21928E+00	-0.250E+01	-0.243E+01
712	yes	no	yes	yes	no	no	0.24894E+00	0.25024E+00	-0.932E-01	-0.124E-01
713	yes	no	yes	yes	no	no	0.27794E+00	0.27772E+00	0.938E+00	0.930E+00
714	yes	no	yes	yes	no	no	0.29987E+00	0.29825E+00	-0.124E+01	-0.132E+01
715	yes	no	yes	yes	no	no	0.31149E+00	0.31051E+00	0.128E+01	0.123E+01
716	yes	no	yes	yes	no	no	0.31400E+00	0.31545E+00	0.298E+00	0.383E+00
717	yes	no	yes	yes	no	no	0.31276E+00	0.31634E+00	0.369E+00	0.450E+00
718	yes	no	yes	yes	no	no	0.18494E+00	0.18214E+00	-0.122E+01	-0.144E+01
719	yes	no	yes	yes	no	no	0.20120E+00	0.20025E+00	-0.326E+00	-0.457E+00
720	yes	no	yes	yes	no	no	0.22888E+00	0.22998E+00	-0.839E+00	-0.743E+00
721	yes	no	yes	yes	no	no	0.26122E+00	0.26263E+00	-0.711E+00	-0.599E+00
722	yes	no	yes	yes	no	no	0.29170E+00	0.29146E+00	-0.137E+01	-0.141E+01
723	yes	no	yes	yes	no	no	0.31459E+00	0.31284E+00	-0.157E+00	-0.313E+00
724	yes	no	yes	yes	no	no	0.32650E+00	0.32544E+00	0.139E+01	0.128E+01
725	yes	no	yes	yes	no	no	0.32880E+00	0.33037E+00	0.285E+01	0.297E+01
726	yes	no	yes	yes	no	no	0.32726E+00	0.33113E+00	-0.397E+00	-0.170E+00
727	yes	no	yes	yes	no	no	0.18913E+00	0.18623E+00	0.783E+00	0.694E+00
728	yes	no	yes	yes	no	no	0.20585E+00	0.20486E+00	0.167E+01	0.160E+01
729	yes	no	yes	yes	no	no	0.23428E+00	0.23542E+00	-0.852E+00	-0.783E+00
730	yes	no	yes	yes	no	no	0.26747E+00	0.26892E+00	-0.188E+01	-0.179E+01
731	yes	no	yes	yes	no	no	0.29869E+00	0.29844E+00	-0.722E+00	-0.733E+00
732	yes	no	yes	yes	no	no	0.32206E+00	0.32025E+00	0.110E+00	0.212E-01
733	yes	no	yes	yes	no	no	0.33412E+00	0.33302E+00	0.105E+01	0.991E+00
734	yes	no	yes	yes	no	no	0.33630E+00	0.33793E+00	0.116E+01	0.125E+01
735	yes	no	yes	yes	no	no	0.33461E+00	0.33862E+00	0.119E+01	0.126E+01
736	yes	no	yes	yes	no	no	0.18793E+00	0.18480E+00	0.244E+01	0.228E+01
737	yes	no	yes	yes	no	no	0.19235E+00	0.18978E+00	0.244E+01	0.225E+01
738	yes	no	yes	yes	no	no	0.20082E+00	0.19923E+00	0.189E+01	0.177E+01
739	yes	no	yes	yes	no	no	0.21266E+00	0.21227E+00	-0.352E+00	-0.383E+00
740	yes	no	yes	yes	no	no	0.22703E+00	0.22775E+00	0.213E+01	0.218E+01
741	yes	no	yes	yes	no	no	0.24303E+00	0.24448E+00	0.850E+00	0.946E+00
742	yes	no	yes	yes	no	no	0.25978E+00	0.26139E+00	-0.368E+00	-0.261E+00
743	yes	no	yes	yes	no	no	0.27643E+00	0.27760E+00	-0.135E+00	-0.523E-01
744	yes	no	yes	yes	no	no	0.29218E+00	0.29245E+00	-0.511E+00	-0.492E+00
745	yes	no	yes	yes	no	no	0.30627E+00	0.30551E+00	-0.122E+01	-0.128E+01
746	yes	no	yes	yes	no	no	0.31804E+00	0.31645E+00	0.450E-01	-0.616E-01
747	yes	no	yes	yes	no	no	0.32703E+00	0.32513E+00	-0.584E+00	-0.704E+00
748	yes	no	yes	yes	no	no	0.33304E+00	0.33151E+00	-0.327E+01	-0.337E+01
749	yes	no	yes	yes	no	no	0.33626E+00	0.33572E+00	-0.138E+01	-0.142E+01
750	yes	no	yes	yes	no	no	0.33724E+00	0.33812E+00	0.553E+00	0.607E+00
751	yes	no	yes	yes	no	no	0.33680E+00	0.33917E+00	0.244E-01	0.163E+00
752	yes	no	yes	yes	no	no	0.33585E+00	0.33945E+00	0.130E+00	0.318E+00
