row	angle_equal	predicted_equal	measured_equal	error_equal	dchi_equal	exact	typed_predicted	legacy_predicted	typed_dchi	legacy_dchi
245	yes	no	yes	yes	no	no	0.54168E-01	0.54225E-01	0.219E+00	0.248E+00
246	yes	no	yes	yes	no	no	0.55051E-01	0.55197E-01	-0.555E+00	-0.494E+00
247	yes	no	yes	yes	no	no	0.28590E-01	0.28453E-01	0.250E+01	0.248E+01
248	yes	no	yes	yes	no	no	0.30628E-01	0.30577E-01	-0.941E-01	-0.106E+00
249	yes	no	yes	yes	no	no	0.34281E-01	0.34330E-01	-0.651E+00	-0.637E+00
250	yes	no	yes	yes	no	no	0.38943E-01	0.39015E-01	-0.220E+01	-0.218E+01
251	yes	no	yes	yes	no	no	0.43970E-01	0.43967E-01	-0.150E+00	-0.149E+00
252	yes	no	yes	yes	no	no	0.48649E-01	0.48567E-01	-0.943E+00	-0.962E+00
253	yes	no	yes	yes	no	no	0.52301E-01	0.52246E-01	0.750E+00	0.738E+00
254	yes	no	yes	yes	no	no	0.54585E-01	0.54655E-01	0.272E+00	0.288E+00
255	yes	no	yes	yes	no	no	0.55603E-01	0.55787E-01	0.676E+00	0.701E+00
256	yes	no	yes	yes	no	no	0.30126E-01	0.29978E-01	-0.427E+00	-0.459E+00
257	yes	no	yes	yes	no	no	0.32272E-01	0.32216E-01	0.519E-01	0.362E-01
258	yes	no	yes	yes	no	no	0.36111E-01	0.36164E-01	-0.165E+01	-0.164E+01
259	yes	no	yes	yes	no	no	0.41000E-01	0.41079E-01	-0.423E+00	-0.396E+00
260	yes	no	yes	yes	no	no	0.46260E-01	0.46256E-01	0.117E+00	0.115E+00
261	yes	no	yes	yes	no	no	0.51139E-01	0.51050E-01	0.948E+00	0.923E+00
262	yes	no	yes	yes	no	no	0.54930E-01	0.54870E-01	-0.152E+01	-0.154E+01
263	yes	no	yes	yes	no	no	0.57284E-01	0.57362E-01	-0.501E+00	-0.485E+00
264	yes	no	yes	yes	no	no	0.58326E-01	0.58527E-01	-0.525E-01	-0.217E-01
265	yes	no	yes	yes	no	no	0.32273E-01	0.32096E-01	0.114E-01	-0.320E-02
266	yes	no	yes	yes	no	no	0.32874E-01	0.32726E-01	0.348E+00	0.328E+00
267	yes	no	yes	yes	no	no	0.34039E-01	0.33944E-01	0.172E+01	0.170E+01
268	yes	no	yes	yes	no	no	0.35701E-01	0.35673E-01	0.111E+00	0.106E+00
269	yes	no	yes	yes	no	no	0.37777E-01	0.37812E-01	-0.861E+00	-0.856E+00
270	yes	no	yes	yes	no	no	0.40176E-01	0.40256E-01	-0.194E+01	-0.193E+01
271	yes	no	yes	yes	no	no	0.42809E-01	0.42903E-01	-0.529E+00	-0.515E+00
272	yes	no	yes	yes	no	no	0.45584E-01	0.45657E-01	0.462E+00	0.472E+00
273	yes	no	yes	yes	yes	no	0.48405E-01	0.48430E-01	-0.125E+01	-0.125E+01
274	yes	no	yes	yes	yes	no	0.51172E-01	0.51136E-01	-0.127E+01	-0.127E+01
275	yes	no	yes	yes	no	no	0.53777E-01	0.53691E-01	-0.871E+00	-0.885E+00
276	yes	no	yes	yes	no	no	0.56123E-01	0.56015E-01	0.478E-01	0.333E-01
277	yes	no	yes	yes	no	no	0.58129E-01	0.58038E-01	-0.119E+01	-0.120E+01
278	yes	no	yes	yes	yes	no	0.59749E-01	0.59713E-01	-0.110E+01	-0.110E+01
279	yes	no	yes	yes	no	no	0.60976E-01	0.61020E-01	-0.435E+00	-0.430E+00
280	yes	no	yes	yes	no	no	0.61832E-01	0.61963E-01	-0.207E+01	-0.206E+01
281	yes	no	yes	yes	no	no	0.62364E-01	0.62566E-01	0.332E+00	0.355E+00
282	yes	no	yes	yes	no	no	0.62616E-01	0.62859E-01	-0.482E+00	-0.464E+00
283	yes	no	yes	yes	no	no	0.35291E-01	0.35101E-01	0.948E+00	0.921E+00
284	yes	no	yes	yes	no	no	0.37802E-01	0.37731E-01	-0.707E+00	-0.724E+00
285	yes	no	yes	yes	no	no	0.42275E-01	0.42344E-01	-0.827E+00	-0.809E+00
286	yes	no	yes	yes	no	no	0.47934E-01	0.48034E-01	-0.240E+01	-0.237E+01
287	yes	no	yes	yes	no	no	0.53972E-01	0.53966E-01	-0.299E+00	-0.300E+00
288	yes	no	yes	yes	no	no	0.59515E-01	0.59399E-01	0.820E+00	0.798E+00
289	yes	no	yes	yes	no	no	0.63755E-01	0.63678E-01	0.208E+01	0.206E+01
290	yes	no	yes	yes	no	no	0.66329E-01	0.66430E-01	0.396E+00	0.418E+00
291	yes	no	yes	yes	no	no	0.67437E-01	0.67698E-01	-0.406E+00	-0.390E+00
292	yes	no	yes	yes	no	no	0.40110E-01	0.39877E-01	-0.112E-01	-0.550E-01
293	yes	no	yes	yes	no	no	0.42971E-01	0.42885E-01	0.128E+01	0.126E+01
294	yes	no	yes	yes	no	no	0.48047E-01	0.48133E-01	0.456E+00	0.480E+00
295	yes	no	yes	yes	no	no	0.54433E-01	0.54556E-01	-0.554E-02	0.286E-01
296	yes	no	yes	yes	yes	no	0.61198E-01	0.61189E-01	-0.269E+01	-0.269E+01
297	yes	no	yes	yes	no	no	0.67349E-01	0.67206E-01	-0.711E+00	-0.743E+00
298	yes	no	yes	yes	no	no	0.71988E-01	0.71894E-01	-0.714E-01	-0.927E-01
299	yes	no	yes	yes	no	no	0.74744E-01	0.74868E-01	-0.138E+01	-0.136E+01
300	yes	no	yes	yes	no	no	0.75900E-01	0.76219E-01	-0.775E+00	-0.735E+00
301	yes	no	yes	yes	no	no	0.42532E-01	0.42275E-01	0.102E+01	0.991E+00
302	yes	no	yes	yes	no	no	0.45571E-01	0.45477E-01	-0.964E+00	-0.984E+00
303	yes	no	yes	yes	no	no	0.50954E-01	0.51049E-01	-0.187E+01	-0.185E+01
304	yes	no	yes	yes	no	no	0.57709E-01	0.57844E-01	-0.116E+01	-0.113E+01
305	yes	no	yes	yes	no	no	0.64840E-01	0.64829E-01	-0.744E+00	-0.748E+00
306	yes	no	yes	yes	no	no	0.71292E-01	0.71134E-01	0.234E+01	0.230E+01
307	yes	no	yes	yes	no	no	0.76125E-01	0.76022E-01	-0.883E-01	-0.107E+00
308	yes	no	yes	yes	no	no	0.78965E-01	0.79103E-01	0.548E+00	0.569E+00
309	yes	no	yes	yes	no	no	0.80140E-01	0.80492E-01	0.161E+01	0.164E+01
310	yes	no	yes	yes	no	no	0.45458E-01	0.45163E-01	0.529E+01	0.526E+01
311	yes	no	yes	yes	no	no	0.47657E-01	0.47491E-01	-0.328E+00	-0.341E+00
312	yes	no	yes	yes	no	no	0.51632E-01	0.51649E-01	-0.200E+01	-0.199E+01
313	yes	no	yes	yes	no	no	0.56863E-01	0.57010E-01	-0.391E+01	-0.388E+01
314	yes	no	yes	yes	no	no	0.62796E-01	0.62936E-01	-0.226E+01	-0.223E+01
315	yes	no	yes	yes	no	no	0.68879E-01	0.68882E-01	-0.253E+01	-0.252E+01
316	yes	no	yes	yes	no	no	0.74528E-01	0.74381E-01	0.113E+01	0.111E+01
317	yes	no	yes	yes	no	no	0.79191E-01	0.79012E-01	0.162E+01	0.160E+01
318	yes	no	yes	yes	yes	no	0.82518E-01	0.82477E-01	0.114E+01	0.114E+01
319	yes	no	yes	yes	no	no	0.84505E-01	0.84695E-01	0.381E+00	0.400E+00
320	yes	no	yes	yes	no	no	0.85424E-01	0.85805E-01	-0.384E+00	-0.369E+00
321	yes	no	yes	yes	no	no	0.49767E-01	0.49513E-01	0.879E+00	0.814E+00
322	yes	no	yes	yes	no	no	0.52688E-01	0.52596E-01	0.623E+00	0.599E+00
323	yes	no	yes	yes	no	no	0.55499E-01	0.55530E-01	-0.971E+00	-0.960E+00
324	yes	no	yes	yes	no	no	0.58218E-01	0.58333E-01	0.108E+01	0.111E+01
325	yes	no	yes	yes	no	no	0.60854E-01	0.61019E-01	0.148E+01	0.152E+01
326	yes	no	yes	yes	no	no	0.63423E-01	0.63604E-01	-0.311E+00	-0.262E+00
327	yes	no	yes	yes	no	no	0.65922E-01	0.66090E-01	-0.216E-01	0.202E-01
328	yes	no	yes	yes	no	no	0.68361E-01	0.68494E-01	-0.235E+00	-0.201E+00
329	yes	no	yes	yes	no	no	0.70739E-01	0.70819E-01	-0.153E+01	-0.151E+01
330	yes	no	yes	yes	no	no	0.73053E-01	0.73071E-01	-0.167E+01	-0.166E+01
331	yes	no	yes	yes	no	no	0.75303E-01	0.75254E-01	-0.358E+00	-0.367E+00
332	yes	no	yes	yes	no	no	0.77475E-01	0.77363E-01	-0.671E+00	-0.699E+00
333	yes	no	yes	yes	no	no	0.79564E-01	0.79399E-01	0.149E+01	0.145E+01
334	yes	no	yes	yes	no	no	0.81557E-01	0.81358E-01	-0.316E+01	-0.322E+01
335	yes	no	yes	yes	no	no	0.83440E-01	0.83232E-01	-0.301E+00	-0.364E+00
336	yes	no	yes	yes	no	no	0.85202E-01	0.85018E-01	0.968E+00	0.916E+00
337	yes	no	yes	yes	no	no	0.86819E-01	0.86698E-01	0.128E+00	0.933E-01
338	yes	no	yes	yes	yes	no	0.88277E-01	0.88263E-01	0.504E+00	0.504E+00
339	yes	no	yes	yes	no	no	0.89553E-01	0.89696E-01	-0.288E-01	0.179E-01
340	yes	no	yes	yes	no	no	0.90625E-01	0.90979E-01	0.464E-01	0.163E+00
341	yes	no	yes	yes	no	no	0.50378E-01	0.50041E-01	0.491E+00	0.459E+00
342	yes	no	yes	yes	no	no	0.54009E-01	0.53887E-01	0.186E+01	0.183E+01
343	yes	no	yes	yes	no	no	0.60409E-01	0.60536E-01	-0.155E+01	-0.153E+01
344	yes	no	yes	yes	no	no	0.68376E-01	0.68552E-01	-0.558E-01	-0.285E-01
345	yes	no	yes	yes	no	no	0.76694E-01	0.76678E-01	0.735E+00	0.733E+00
346	yes	no	yes	yes	no	no	0.84111E-01	0.83903E-01	0.451E-01	0.174E-01
347	yes	no	yes	yes	no	no	0.89541E-01	0.89406E-01	0.482E+00	0.464E+00
348	yes	no	yes	yes	no	no	0.92619E-01	0.92800E-01	-0.823E+00	-0.799E+00
349	yes	no	yes	yes	no	no	0.93832E-01	0.94293E-01	0.184E+01	0.186E+01
350	yes	no	yes	yes	no	no	0.50378E-01	0.50041E-01	0.145E+00	0.842E-01
351	yes	no	yes	yes	no	no	0.54009E-01	0.53887E-01	0.165E+00	0.139E+00
352	yes	no	yes	yes	no	no	0.60409E-01	0.60536E-01	-0.509E-01	-0.160E-01
353	yes	no	yes	yes	no	no	0.68376E-01	0.68552E-01	-0.131E+01	-0.127E+01
354	yes	no	yes	yes	no	no	0.76694E-01	0.76678E-01	-0.189E+01	-0.190E+01
355	yes	no	yes	yes	no	no	0.84111E-01	0.83903E-01	0.522E+00	0.477E+00
356	yes	no	yes	yes	no	no	0.89541E-01	0.89406E-01	-0.495E+00	-0.524E+00
357	yes	no	yes	yes	no	no	0.92619E-01	0.92800E-01	0.647E+00	0.680E+00
358	yes	no	yes	yes	no	no	0.93832E-01	0.94293E-01	-0.889E-01	-0.329E-01
359	yes	no	yes	yes	no	no	0.51985E-01	0.51601E-01	0.565E+00	0.536E+00
360	yes	no	yes	yes	no	no	0.52972E-01	0.52654E-01	-0.113E+01	-0.117E+01
361	yes	no	yes	yes	no	no	0.54880E-01	0.54679E-01	0.171E+01	0.168E+01
362	yes	no	yes	yes	no	no	0.57585E-01	0.57529E-01	-0.881E+00	-0.891E+00
363	yes	no	yes	yes	no	no	0.60936E-01	0.61017E-01	0.171E+00	0.181E+00
364	yes	no	yes	yes	no	no	0.64770E-01	0.64946E-01	-0.145E+01	-0.143E+01
365	yes	no	yes	yes	no	no	0.68928E-01	0.69130E-01	0.102E+00	0.127E+00
366	yes	no	yes	yes	no	no	0.73252E-01	0.73406E-01	-0.374E+00	-0.352E+00
367	yes	no	yes	yes	no	no	0.77582E-01	0.77629E-01	0.994E+00	0.999E+00
368	yes	no	yes	yes	no	no	0.81753E-01	0.81670E-01	-0.109E+01	-0.111E+01
369	yes	no	yes	yes	no	no	0.85600E-01	0.85411E-01	-0.107E+01	-0.110E+01
370	yes	no	yes	yes	no	no	0.88974E-01	0.88741E-01	-0.163E+01	-0.166E+01
371	yes	no	yes	yes	no	no	0.91767E-01	0.91573E-01	0.133E+01	0.130E+01
372	yes	no	yes	yes	no	no	0.93931E-01	0.93858E-01	-0.185E+01	-0.186E+01
373	yes	no	yes	yes	no	no	0.95486E-01	0.95586E-01	-0.102E+01	-0.100E+01
374	yes	no	yes	yes	no	no	0.96508E-01	0.96794E-01	-0.631E+00	-0.595E+00
375	yes	no	yes	yes	no	no	0.97104E-01	0.97543E-01	0.558E+00	0.603E+00
376	yes	no	yes	yes	no	no	0.97372E-01	0.97898E-01	0.591E+00	0.627E+00
377	yes	no	yes	yes	no	no	0.58922E-01	0.58488E-01	-0.370E+00	-0.402E+00
378	yes	no	yes	yes	no	no	0.63222E-01	0.63066E-01	-0.909E+00	-0.932E+00
379	yes	no	yes	yes	no	no	0.70764E-01	0.70929E-01	0.422E+00	0.449E+00
380	yes	no	yes	yes	no	no	0.80080E-01	0.80305E-01	-0.140E+00	-0.104E+00
381	yes	no	yes	yes	no	no	0.89700E-01	0.89677E-01	-0.562E+00	-0.563E+00
382	yes	no	yes	yes	no	no	0.98144E-01	0.97876E-01	0.984E+00	0.950E+00
383	yes	no	yes	yes	no	no	0.10418E+00	0.10401E+00	0.207E+01	0.205E+01
384	yes	no	yes	yes	no	no	0.10746E+00	0.10770E+00	-0.311E+00	-0.282E+00
385	yes	no	yes	yes	no	no	0.10868E+00	0.10927E+00	-0.129E+01	-0.127E+01
386	yes	no	yes	yes	no	no	0.62767E-01	0.62288E-01	0.257E+01	0.249E+01
387	yes	no	yes	yes	no	no	0.67375E-01	0.67205E-01	-0.567E+00	-0.600E+00
388	yes	no	yes	yes	no	no	0.75444E-01	0.75627E-01	-0.511E+00	-0.471E+00
389	yes	no	yes	yes	no	no	0.85376E-01	0.85625E-01	-0.272E+00	-0.218E+00
390	yes	no	yes	yes	no	no	0.95584E-01	0.95557E-01	-0.176E+00	-0.179E+00
391	yes	no	yes	yes	no	no	0.10448E+00	0.10419E+00	-0.624E+00	-0.672E+00
392	yes	no	yes	yes	no	no	0.11077E+00	0.11058E+00	0.129E+01	0.126E+01
393	yes	no	yes	yes	no	no	0.11413E+00	0.11439E+00	-0.112E+01	-0.108E+01
394	yes	no	yes	yes	no	no	0.11534E+00	0.11600E+00	-0.760E+00	-0.691E+00
395	yes	no	yes	yes	no	no	0.67727E-01	0.67185E-01	0.245E+01	0.240E+01
396	yes	no	yes	yes	no	no	0.72741E-01	0.72548E-01	-0.455E+00	-0.475E+00
397	yes	no	yes	yes	no	no	0.81499E-01	0.81705E-01	0.734E+00	0.762E+00
398	yes	no	yes	yes	no	no	0.92237E-01	0.92516E-01	0.731E+00	0.768E+00
399	yes	no	yes	yes	no	no	0.10321E+00	0.10318E+00	0.755E+00	0.756E+00
400	yes	no	yes	yes	no	no	0.11269E+00	0.11236E+00	0.777E+00	0.746E+00
401	yes	no	yes	yes	no	no	0.11930E+00	0.11909E+00	-0.324E-01	-0.505E-01
402	yes	no	yes	yes	no	no	0.12274E+00	0.12303E+00	-0.173E+00	-0.138E+00
403	yes	no	yes	yes	no	no	0.12392E+00	0.12467E+00	-0.154E+01	-0.151E+01
