call_id	energy_index	reaction	family	branch	legacy_l	selector	request_energy	w_cm	reconstructed_energy	born_reconstructed	opec_reconstructed	raw_real	raw_imag
1	1	1	1	1	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-3.3430110663175583E-002	-3.4039683640003204E-002	-3.6126498132944107E-002	-2.2000224930707191E-007
1	1	1	1	1	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-3.1072017736732960E-004	-3.1112346914596856E-004	-2.1265972463879734E-004	-7.4922958462342315E-012
1	1	1	1	2	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-4.9919290468096733E-003	-4.9880025908350945E-003	-5.3277392871677876E-003	4.7628809340949374E-008
1	1	1	1	2	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-9.9509925348684192E-005	-9.9505647085607052E-005	-8.1540652900002897E-005	-5.4218959183449655E-011
1	1	1	2	1	2	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-6.3281708955764771E-001	-8.1442856788635254E-001	-5.5032920837402344E-001	-2.2495814482681453E-004
1	1	1	2	1	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-3.4096855670213699E-003	-3.5516878124326468E-003	-2.9131907504051924E-003	-1.7758429393666120E-008
1	1	1	2	1	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-4.4505410187412053E-005	-4.4640590203925967E-005	2.1044312234153040E-005	7.1701460957820928E-013
1	1	1	2	2	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	1.8094787374138832E-003	1.7145569436252117E-003	2.2866765502840281E-003	-2.0440925396769671E-008
1	1	1	2	2	4	124	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000
1	1	1	3	1	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	1.7304234206676483E-002	1.7101045697927475E-002	1.1912978254258633E-002	1.4525441827117902E-007
1	1	1	3	1	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	2.1790726168546826E-004	2.1777283109258860E-004	3.4315345692448318E-004	1.2332651566637765E-010
1	1	1	3	2	2	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	1.9989088177680969E-001	2.0133812725543976E-001	1.8335294723510742E-001	4.5379518269328400E-005
1	1	1	3	2	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	3.3165866043418646E-003	3.3178953453898430E-003	3.6030064802616835E-003	7.4123043702911673E-008
1	1	1	3	2	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	6.6357097239233553E-005	6.6358523326925933E-005	6.5919135522563010E-005	-5.3775412942047573E-012
1	1	1	4	1	2	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	1.0800140351057053E-001	4.1935637593269348E-001	8.4725171327590942E-002	6.1489619838539511E-005
1	1	1	4	1	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	2.5258343666791916E-003	2.4785008281469345E-003	2.2877834271639585E-003	2.6543201414597206E-008
1	1	1	4	1	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	2.9616569008794613E-005	2.9571509003289975E-005	2.8835573175456375E-005	1.1778466223189010E-011
1	1	1	4	2	2	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-1.8655748665332794E-001	-2.3369030654430389E-001	-1.7208337783813477E-001	-4.2583586036926135E-005
1	1	1	4	2	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-1.5728970756754279E-003	-1.6045373631641269E-003	-1.8494001124054193E-003	-3.8047691219844637E-008
