row_id	family	branch	legacy_l	state_index	form_selector	dispatch	field	typed	forced_legacy	metadata_exact	value_exact
6	2	1	5	3	25	T	der	-6.8821998411294771E-007	-6.8821998411294771E-007	yes	yes
6	2	1	5	3	25	T	dei	-1.2631034745913323E-030	-1.2631034745913323E-030	yes	yes
7	2	1	6	3	25	T	z	6.2601625359093305E-006	6.2601625359093305E-006	yes	yes
7	2	1	6	3	25	T	qb	1.0294783115386963E+000	1.0294783115386963E+000	yes	yes
7	2	1	6	3	25	T	qk	8.1183714792132378E-003	8.1183714792132378E-003	yes	yes
7	2	1	6	3	25	T	zr	1.7031381250000000E+005	1.7031381250000000E+005	yes	yes
7	2	1	6	3	25	T	zb	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
7	2	1	6	3	25	T	born	-1.2466910170871870E-008	-1.2466910170871870E-008	yes	yes
7	2	1	6	3	25	T	ter	1.1768648455799790E-029	1.1768648455799790E-029	yes	yes
7	2	1	6	3	25	T	tei	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
7	2	1	6	3	25	T	der	-1.2466910170871870E-008	-1.2466910170871870E-008	yes	yes
7	2	1	6	3	25	T	dei	-1.4671868454941071E-037	-1.4671868454941071E-037	yes	yes
8	2	2	2	4	21	T	z	3.7086505471961573E-005	3.7086505471961573E-005	yes	yes
8	2	2	2	4	21	T	qb	1.0294783115386963E+000	1.0294783115386963E+000	yes	yes
8	2	2	2	4	21	T	qk	8.1183714792132378E-003	8.1183714792132378E-003	yes	yes
8	2	2	2	4	21	T	zr	8.7173087500000000E+005	8.7173087500000000E+005	yes	yes
8	2	2	2	4	21	T	zb	-2.8047889471054077E-002	-2.8047889471054077E-002	yes	yes
8	2	2	2	4	21	T	born	8.7687301635742188E-001	8.7687301635742188E-001	yes	yes
8	2	2	2	4	21	T	ter	8.4334089933690848E-008	8.4334089933690848E-008	yes	yes
8	2	2	2	4	21	T	tei	7.1122417376616627E-015	7.1122417376616627E-015	yes	yes
8	2	2	2	4	21	T	der	9.2234170436859131E-001	9.2234170436859131E-001	yes	yes
8	2	2	2	4	21	T	dei	7.7784854113360780E-008	7.7784854113360780E-008	yes	yes
9	2	2	5	4	25	T	z	6.2601625359093305E-006	6.2601625359093305E-006	yes	yes
9	2	2	5	4	25	T	qb	1.0294783115386963E+000	1.0294783115386963E+000	yes	yes
9	2	2	5	4	25	T	qk	8.1183714792132378E-003	8.1183714792132378E-003	yes	yes
9	2	2	5	4	25	T	zr	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
9	2	2	5	4	25	T	zb	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
9	2	2	5	4	25	T	born	5.4540737437491771E-007	5.4540737437491771E-007	yes	yes
9	2	2	5	4	25	T	ter	-7.6297261037534098E-025	-7.6297261037534098E-025	yes	yes
9	2	2	5	4	25	T	tei	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
9	2	2	5	4	25	T	der	5.4540737437491771E-007	5.4540737437491771E-007	yes	yes
9	2	2	5	4	25	T	dei	-4.1613087766284389E-031	-4.1613087766284389E-031	yes	yes
10	2	2	6	4	25	T	z	6.2601625359093305E-006	6.2601625359093305E-006	yes	yes
10	2	2	6	4	25	T	qb	1.0294783115386963E+000	1.0294783115386963E+000	yes	yes
10	2	2	6	4	25	T	qk	8.1183714792132378E-003	8.1183714792132378E-003	yes	yes
10	2	2	6	4	25	T	zr	-7.9341789062500000E+004	-7.9341789062500000E+004	yes	yes
10	2	2	6	4	25	T	zb	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
10	2	2	6	4	25	T	born	1.0407267936329845E-008	1.0407267936329845E-008	yes	yes
10	2	2	6	4	25	T	ter	2.2772108393734072E-029	2.2772108393734072E-029	yes	yes
10	2	2	6	4	25	T	tei	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
