row_id	family	branch	legacy_l	state_index	form_selector	dispatch	field	value
1	1	1	5	3	25	F	z	6.2601625359093305E-006
1	1	1	5	3	25	F	qb	0.0000000000000000E+000
1	1	1	5	3	25	F	qk	0.0000000000000000E+000
1	1	1	5	3	25	F	zr	0.0000000000000000E+000
1	1	1	5	3	25	F	zb	0.0000000000000000E+000
1	1	1	5	3	25	F	born	0.0000000000000000E+000
1	1	1	5	3	25	F	ter	0.0000000000000000E+000
1	1	1	5	3	25	F	tei	0.0000000000000000E+000
1	1	1	5	3	25	F	der	0.0000000000000000E+000
1	1	1	5	3	25	F	dei	0.0000000000000000E+000
2	1	1	6	3	25	T	z	6.2601625359093305E-006
2	1	1	6	3	25	T	qb	1.0294783115386963E+000
2	1	1	6	3	25	T	qk	8.1183714792132378E-003
2	1	1	6	3	25	T	zr	0.0000000000000000E+000
2	1	1	6	3	25	T	zb	0.0000000000000000E+000
2	1	1	6	3	25	T	born	-1.0865881705512948E-007
2	1	1	6	3	25	T	ter	1.1768648455799790E-029
2	1	1	6	3	25	T	tei	0.0000000000000000E+000
2	1	1	6	3	25	T	der	-1.0865881705512948E-007
2	1	1	6	3	25	T	dei	-1.2787674019915259E-036
3	1	2	2	4	21	T	z	3.7086505471961573E-005
3	1	2	2	4	21	T	qb	1.0294783115386963E+000
3	1	2	2	4	21	T	qk	8.1183714792132378E-003
3	1	2	2	4	21	T	zr	-7.2203710937500000E+004
3	1	2	2	4	21	T	zb	7.4916332960128784E-003
3	1	2	2	4	21	T	born	-3.0170518159866333E-001
3	1	2	2	4	21	T	ter	8.4334089933690848E-008
3	1	2	2	4	21	T	tei	7.1122417376616627E-015
3	1	2	2	4	21	T	der	-3.0030277371406555E-001
3	1	2	2	4	21	T	dei	-2.5325761043859529E-008
4	1	2	5	4	25	T	z	6.2601625359093305E-006
4	1	2	5	4	25	T	qb	1.0294783115386963E+000
4	1	2	5	4	25	T	qk	8.1183714792132378E-003
4	1	2	5	4	25	T	zr	0.0000000000000000E+000
4	1	2	5	4	25	T	zb	0.0000000000000000E+000
4	1	2	5	4	25	T	born	-2.2010408429196104E-006
4	1	2	5	4	25	T	ter	-7.6297261037534098E-025
4	1	2	5	4	25	T	tei	0.0000000000000000E+000
4	1	2	5	4	25	T	der	-2.2010408429196104E-006
4	1	2	5	4	25	T	dei	1.6793337990762557E-030
5	1	2	6	4	25	T	z	6.2601625359093305E-006
5	1	2	6	4	25	T	qb	1.0294783115386963E+000
5	1	2	6	4	25	T	qk	8.1183714792132378E-003
5	1	2	6	4	25	T	zr	0.0000000000000000E+000
5	1	2	6	4	25	T	zb	1.6045845977699112E-019
5	1	2	6	4	25	T	born	-5.1838863868169938E-008
5	1	2	6	4	25	T	ter	2.2772108393734072E-029
5	1	2	6	4	25	T	tei	0.0000000000000000E+000
5	1	2	6	4	25	T	der	-5.1838863868169938E-008
5	1	2	6	4	25	T	dei	-1.1804801931791306E-036
6	2	1	5	3	25	T	z	6.2601625359093305E-006
6	2	1	5	3	25	T	qb	1.0294783115386963E+000
6	2	1	5	3	25	T	qk	8.1183714792132378E-003
6	2	1	5	3	25	T	zr	0.0000000000000000E+000
6	2	1	5	3	25	T	zb	6.5835911111048352E-016
6	2	1	5	3	25	T	born	-6.8821998411294771E-007
6	2	1	5	3	25	T	ter	1.8353194086612874E-024
6	2	1	5	3	25	T	tei	0.0000000000000000E+000
6	2	1	5	3	25	T	der	-6.8821998411294771E-007
6	2	1	5	3	25	T	dei	-1.2631034745913323E-030
7	2	1	6	3	25	T	z	6.2601625359093305E-006
7	2	1	6	3	25	T	qb	1.0294783115386963E+000
7	2	1	6	3	25	T	qk	8.1183714792132378E-003
7	2	1	6	3	25	T	zr	1.7031381250000000E+005
7	2	1	6	3	25	T	zb	0.0000000000000000E+000
7	2	1	6	3	25	T	born	-1.2466910170871870E-008
7	2	1	6	3	25	T	ter	1.1768648455799790E-029
7	2	1	6	3	25	T	tei	0.0000000000000000E+000
7	2	1	6	3	25	T	der	-1.2466910170871870E-008
7	2	1	6	3	25	T	dei	-1.4671868454941071E-037
8	2	2	2	4	21	T	z	3.7086505471961573E-005
8	2	2	2	4	21	T	qb	1.0294783115386963E+000
8	2	2	2	4	21	T	qk	8.1183714792132378E-003
8	2	2	2	4	21	T	zr	8.7173087500000000E+005
8	2	2	2	4	21	T	zb	-2.8047889471054077E-002
8	2	2	2	4	21	T	born	8.7687301635742188E-001
8	2	2	2	4	21	T	ter	8.4334089933690848E-008
8	2	2	2	4	21	T	tei	7.1122417376616627E-015
8	2	2	2	4	21	T	der	9.2234170436859131E-001
8	2	2	2	4	21	T	dei	7.7784854113360780E-008
9	2	2	5	4	25	T	z	6.2601625359093305E-006
9	2	2	5	4	25	T	qb	1.0294783115386963E+000
9	2	2	5	4	25	T	qk	8.1183714792132378E-003
9	2	2	5	4	25	T	zr	0.0000000000000000E+000
9	2	2	5	4	25	T	zb	0.0000000000000000E+000
9	2	2	5	4	25	T	born	5.4540737437491771E-007
9	2	2	5	4	25	T	ter	-7.6297261037534098E-025
9	2	2	5	4	25	T	tei	0.0000000000000000E+000
9	2	2	5	4	25	T	der	5.4540737437491771E-007
9	2	2	5	4	25	T	dei	-4.1613087766284389E-031
10	2	2	6	4	25	T	z	6.2601625359093305E-006
10	2	2	6	4	25	T	qb	1.0294783115386963E+000
10	2	2	6	4	25	T	qk	8.1183714792132378E-003
10	2	2	6	4	25	T	zr	-7.9341789062500000E+004
10	2	2	6	4	25	T	zb	0.0000000000000000E+000
10	2	2	6	4	25	T	born	1.0407267936329845E-008
10	2	2	6	4	25	T	ter	2.2772108393734072E-029
10	2	2	6	4	25	T	tei	0.0000000000000000E+000
10	2	2	6	4	25	T	der	1.0407267936329845E-008
10	2	2	6	4	25	T	dei	2.3699544355801328E-037
11	3	1	5	1	25	T	z	6.2601625359093305E-006
11	3	1	5	1	25	T	qb	1.0294783115386963E+000
11	3	1	5	1	25	T	qk	8.1183714792132378E-003
11	3	1	5	1	25	T	zr	0.0000000000000000E+000
11	3	1	5	1	25	T	zb	0.0000000000000000E+000
11	3	1	5	1	25	T	born	3.5966309042123612E-006
11	3	1	5	1	25	T	ter	1.9637384698526685E-024
11	3	1	5	1	25	T	tei	0.0000000000000000E+000
11	3	1	5	1	25	T	der	3.5966309042123612E-006
11	3	1	5	1	25	T	dei	7.0628425144297858E-030
12	3	1	6	1	25	T	z	6.2601625359093305E-006
12	3	1	6	1	25	T	qb	1.0294783115386963E+000
12	3	1	6	1	25	T	qk	8.1183714792132378E-003
12	3	1	6	1	25	T	zr	0.0000000000000000E+000
12	3	1	6	1	25	T	zb	0.0000000000000000E+000
12	3	1	6	1	25	T	born	7.2520919047747157E-008
12	3	1	6	1	25	T	ter	1.8596925492381747E-029
12	3	1	6	1	25	T	tei	0.0000000000000000E+000
12	3	1	6	1	25	T	der	7.2520919047747157E-008
12	3	1	6	1	25	T	dei	1.3486661424202855E-036
13	3	2	5	2	25	T	z	6.2601625359093305E-006
13	3	2	5	2	25	T	qb	1.0294783115386963E+000
13	3	2	5	2	25	T	qk	8.1183714792132378E-003
13	3	2	5	2	25	T	zr	0.0000000000000000E+000
13	3	2	5	2	25	T	zb	0.0000000000000000E+000
13	3	2	5	2	25	T	born	1.4672871202492388E-006
13	3	2	5	2	25	T	ter	2.9041490212974993E-024
13	3	2	5	2	25	T	tei	0.0000000000000000E+000
13	3	2	5	2	25	T	der	1.4672871202492388E-006
13	3	2	5	2	25	T	dei	4.2612204361940936E-030
14	3	2	6	2	25	T	z	6.2601625359093305E-006
14	3	2	6	2	25	T	qb	1.0294783115386963E+000
14	3	2	6	2	25	T	qk	8.1183714792132378E-003
14	3	2	6	2	25	T	zr	0.0000000000000000E+000
14	3	2	6	2	25	T	zb	0.0000000000000000E+000
14	3	2	6	2	25	T	born	3.4559466399741723E-008
14	3	2	6	2	25	T	ter	9.8330926232725406E-030
14	3	2	6	2	25	T	tei	0.0000000000000000E+000
14	3	2	6	2	25	T	der	3.4559466399741723E-008
14	3	2	6	2	25	T	dei	3.3982642429811418E-037
15	4	1	5	1	25	T	z	6.2601625359093305E-006
15	4	1	5	1	25	T	qb	1.0294783115386963E+000
