call_id	energy_index	row_id	family	branch	orbital_l	legacy_l	state_index	form_selector	dispatch	dispatch_branch	formula_title	dispatch_title	previous_title	pre_reset_energy	post_reset_energy	input_energy	effective_energy	dither_before	z	qb	qk	zr	zb	born	ter	tei	der	dei	hadronic_real	hadronic_imag
1	1	1	1	1	4	5	3	25	F	0	____	____	____	5.0081615336239338E-003	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	6.2601625359093305E-006	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000
1	1	2	1	1	5	6	3	25	T	7	SP00	M05_	____	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	0.0000000000000000E+000	-1.0865881705512948E-007	1.1768648455799790E-029	0.0000000000000000E+000	-1.0865881705512948E-007	-1.2787674019915259E-036	1.1768648455799790E-029	0.0000000000000000E+000
1	1	3	1	2	1	2	4	21	T	7	SP00	SP00	M05_	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	-1.0000000474974513E-003	3.7086505471961573E-005	1.0294783115386963E+000	8.1183714792132378E-003	-7.2203710937500000E+004	7.4916332960128784E-003	-3.0170518159866333E-001	8.4334089933690848E-008	7.1122417376616627E-015	-3.0030277371406555E-001	-2.5325761043859529E-008	8.4334089933690848E-008	7.1122417376616627E-015
1	1	4	1	2	4	5	4	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	0.0000000000000000E+000	-2.2010408429196104E-006	-7.6297261037534098E-025	0.0000000000000000E+000	-2.2010408429196104E-006	1.6793337990762557E-030	-7.6297261037534098E-025	0.0000000000000000E+000
1	1	5	1	2	5	6	4	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	1.6045845977699112E-019	-5.1838863868169938E-008	2.2772108393734072E-029	0.0000000000000000E+000	-5.1838863868169938E-008	-1.1804801931791306E-036	2.2772108393734072E-029	0.0000000000000000E+000
1	1	6	2	1	4	5	3	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	6.5835911111048352E-016	-6.8821998411294771E-007	1.8353194086612874E-024	0.0000000000000000E+000	-6.8821998411294771E-007	-1.2631034745913323E-030	1.8353194086612874E-024	0.0000000000000000E+000
1	1	7	2	1	5	6	3	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	1.7031381250000000E+005	0.0000000000000000E+000	-1.2466910170871870E-008	1.1768648455799790E-029	0.0000000000000000E+000	-1.2466910170871870E-008	-1.4671868454941071E-037	1.1768648455799790E-029	0.0000000000000000E+000
1	1	8	2	2	1	2	4	21	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	3.7086505471961573E-005	1.0294783115386963E+000	8.1183714792132378E-003	8.7173087500000000E+005	-2.8047889471054077E-002	8.7687301635742188E-001	8.4334089933690848E-008	7.1122417376616627E-015	9.2234170436859131E-001	7.7784854113360780E-008	8.4334089933690848E-008	7.1122417376616627E-015
1	1	9	2	2	4	5	4	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	0.0000000000000000E+000	5.4540737437491771E-007	-7.6297261037534098E-025	0.0000000000000000E+000	5.4540737437491771E-007	-4.1613087766284389E-031	-7.6297261037534098E-025	0.0000000000000000E+000
1	1	10	2	2	5	6	4	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	-7.9341789062500000E+004	0.0000000000000000E+000	1.0407267936329845E-008	2.2772108393734072E-029	0.0000000000000000E+000	1.0407267936329845E-008	2.3699544355801328E-037	2.2772108393734072E-029	0.0000000000000000E+000
1	1	11	3	1	4	5	1	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	0.0000000000000000E+000	3.5966309042123612E-006	1.9637384698526685E-024	0.0000000000000000E+000	3.5966309042123612E-006	7.0628425144297858E-030	1.9637384698526685E-024	0.0000000000000000E+000
1	1	12	3	1	5	6	1	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	0.0000000000000000E+000	7.2520919047747157E-008	1.8596925492381747E-029	0.0000000000000000E+000	7.2520919047747157E-008	1.3486661424202855E-036	1.8596925492381747E-029	0.0000000000000000E+000
1	1	13	3	2	4	5	2	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	0.0000000000000000E+000	1.4672871202492388E-006	2.9041490212974993E-024	0.0000000000000000E+000	1.4672871202492388E-006	4.2612204361940936E-030	2.9041490212974993E-024	0.0000000000000000E+000
