path	row	angle	predicted_obs	measured_obs	error	dchi
typed	1	10.000	0.14356E-03	0.20000E-02	0.10000E-02	-0.185E+01
forced-legacy	1	10.000	0.14353E-03	0.20000E-02	0.10000E-02	-0.185E+01
