independent_variable	independent_value	observable	uncertainty	lab_angle_deg	lab_differential_cross_section
CosA	-1.000	0.4385E+01	0.0000E+00		
CosA	-0.500	0.5524E+01	0.0000E+00		
CosA	0.000	0.6593E+01	0.0000E+00		
CosA	0.500	0.1080E+02	0.0000E+00		
CosA	1.000	0.6164E+01	0.0000E+00		
