independent_variable	independent_value	a1_real_mfm	a1_imag_mfm	a2_real_mfm	a2_imag_mfm	a3_real_mfm	a3_imag_mfm	a4_real_mfm	a4_imag_mfm
Acm	0.0	0.00	0.00	12.92	-11.91	0.00	0.00	0.00	0.00
Acm	30.0	2.26	6.71	13.62	-9.86	-0.38	1.16	1.62	4.99
Acm	60.0	-8.99	8.88	8.99	-5.80	-0.92	4.10	-2.04	7.81
Acm	90.0	-15.93	7.05	-1.45	-3.11	-0.71	6.76	-6.83	9.08
Acm	120.0	-8.97	3.96	-5.32	-2.17	0.05	6.71	-8.86	10.54
Acm	150.0	-1.63	1.20	-1.63	-1.38	0.51	3.83	-8.35	12.26
Acm	180.0	-0.00	0.00	-0.00	-0.00	0.00	0.00	-7.87	13.08
