source_path	role	evidence	bytes	sha256
said/KCM.100330/cmmD33.dat	cm12_k_matrix_input	opened_not_read_proven	68200	0981be2724faf9585eaa7d2205fd543f638ff7175101219ad14974cfe0deacc7
said/KCM.100330/cmmD35.dat	cm12_k_matrix_input	opened_not_read_proven	68200	015f23c6f134548ebdff17abeea2be1cd7e040042868c6510832119e5b49eb36
said/KCM.100330/cmmF15.dat	cm12_k_matrix_input	opened_not_read_proven	68200	d96a6e235e70607b7ed594f674a4e2272bc51a619c6a803e7ab44b73e710a124
said/KCM.100330/cmmF17.dat	cm12_k_matrix_input	opened_not_read_proven	68200	e1538c29296ec7aa2ab78ae7a8f3cb66398c6463216dc4c8609266b102fc7f48
said/KCM.100330/cmmF35.dat	cm12_k_matrix_input	opened_not_read_proven	68200	02854cfd640d0dd3141a0a73ea7f2ddb686537764b1447e9508f26b749b30e57
said/KCM.100330/cmmF37.dat	cm12_k_matrix_input	opened_not_read_proven	68200	1132e5f13eb633941cd2e0565cb2b0396efcc60f3e81b4635946c5601f083d05
said/KCM.100330/cmmP11.dat	cm12_k_matrix_input	opened_not_read_proven	68200	7de9c00ae19d886fe7ac646bdabab50421ced0325de4ead209beaec4f0332243
said/KCM.100330/cmmP13.dat	cm12_k_matrix_input	opened_not_read_proven	68200	b2f2ec2509e0745df27821fe0fdfaa81f7bafd06de7ba9353bd38b187ded3f87
said/KCM.100330/cmmP31.dat	cm12_k_matrix_input	opened_not_read_proven	68200	6e15b81969d5deda7cebbabdb30c7b4b64664d8a33a1d688dfbb5510c8f8ab4c
said/KCM.100330/cmmP33.dat	cm12_k_matrix_input	opened_not_read_proven	68200	309d4715e4bd3993cbd8b4da52e1d63e052be131d72d7e15d4760b8fab363d19
said/KCM.100330/cmmS11.dat	cm12_k_matrix_input	opened_not_read_proven	68200	6e1a8e44a3a2033ade8846d8ec3422c280b8fe935702f974ba14e5d212eff37b
said/KCM.100330/cmmS31.dat	cm12_k_matrix_input	opened_not_read_proven	68200	3d867d184224c25d446afbedd4fdcd29fe0d3a39fc78c0606c35cfe10ff72fe9
said/KCM.100330/kcmD13.dat	cm12_k_matrix_input	opened_not_read_proven	35200	11d55a7f247337c4a7b145f458e4c97fc6be2a2e54817505e31218199c7628fc
said/KCM.100330/kcmD15.dat	cm12_k_matrix_input	opened_not_read_proven	35200	73ea7535ceb526ff58f4514af67d14af589cd404a29e80470fdcfa664bb9efff
