call_id	energy_index	row_id	family	branch	orbital_l	legacy_l	state_index	form_selector	dispatch	dispatch_branch	formula_title	dispatch_title	previous_title	pre_reset_energy	post_reset_energy	input_energy	effective_energy	dither_before	z	qb	qk	zr	zb	born	ter	tei	der	dei	hadronic_real	hadronic_imag
1	1	1	1	1	4	5	3	25	F	0	____	____	____	5.0081615336239338E-003	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	6.2601625359093305E-006	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000
1	1	2	1	1	5	6	3	25	T	7	SP00	M05_	____	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	0.0000000000000000E+000	-1.0865881705512948E-007	2.3886955916952238E-015	5.7058665060100354E-030	-1.0865881705512948E-007	-2.5955283257134293E-022	2.3886955916952238E-015	5.7058665060100354E-030
1	1	3	1	2	1	2	4	21	T	7	SP00	SP00	M05_	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	-1.0000000474974513E-003	3.7086505471961573E-005	1.0294783115386963E+000	8.1183714792132378E-003	-7.2203710937500000E+004	7.4916332960128784E-003	-3.0170518159866333E-001	6.7302415845915675E-004	4.5296175699149899E-007	-4.8889053344726562E+001	-3.2903533428907394E-002	6.7302415845915675E-004	4.5296175699149899E-007
1	1	4	1	2	4	5	4	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	0.0000000000000000E+000	-2.2010408429196104E-006	-3.8778539841050064E-013	1.5037750985222539E-025	-2.2010408429196104E-006	8.5353148494167006E-019	-3.8778539841050064E-013	1.5037750985222539E-025
1	1	5	1	2	5	6	4	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	1.6045845977699112E-019	-5.1838863868169938E-008	4.6220796456983727E-015	2.1363620153991231E-029	-5.1838863868169938E-008	-2.3960336069364497E-022	4.6220796456983727E-015	2.1363620153991231E-029
1	1	6	2	1	4	5	3	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	6.5835911111048352E-016	-6.8821998411294771E-007	9.3281209579548774E-013	8.7013842757729048E-025	-6.8821998411294771E-007	-6.4197993988365667E-019	9.3281209579548774E-013	8.7013842757729048E-025
1	1	7	2	1	5	6	3	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	1.7031381250000000E+005	0.0000000000000000E+000	-1.2466910170871870E-008	2.3886955916952238E-015	5.7058665060100354E-030	-1.2060082710263487E-008	-2.8807865506019717E-023	2.3886955916952238E-015	5.7058665060100354E-030
1	1	8	2	2	1	2	4	21	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	3.7086505471961573E-005	1.0294783115386963E+000	8.1183714792132378E-003	8.7173087500000000E+005	-2.8047889471054077E-002	8.7687301635742188E-001	6.7302415845915675E-004	4.5296175699149899E-007	5.8754473876953125E+002	3.9543202519416809E-001	6.7302415845915675E-004	4.5296175699149899E-007
1	1	9	2	2	4	5	4	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	0.0000000000000000E+000	5.4540737437491771E-007	-3.8778539841050064E-013	1.5037750985222539E-025	5.4540737437491771E-007	-2.1150102241716231E-019	-3.8778539841050064E-013	1.5037750985222539E-025
1	1	10	2	2	5	6	4	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	-7.9341789062500000E+004	0.0000000000000000E+000	1.0407267936329845E-008	4.6220796456983727E-015	2.1363620153991231E-029	1.0040543507727762E-008	4.6408191649503646E-023	4.6220796456983727E-015	2.1363620153991231E-029
1	1	11	3	1	4	5	1	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	0.0000000000000000E+000	3.5966309042123612E-006	9.9808193394085309E-013	9.9616753604869140E-025	3.5966309042123612E-006	3.5897322479086253E-018	9.9808193394085309E-013	9.9616753604869140E-025
1	1	12	3	1	5	6	1	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	0.0000000000000000E+000	7.2520919047747157E-008	3.7746384285634958E-015	1.4247895816260325E-029	7.2520919047747157E-008	2.7374023720536592E-022	3.7746384285634958E-015	1.4247895816260325E-029
1	1	13	3	2	4	5	2	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	0.0000000000000000E+000	1.4672871202492388E-006	1.4760511606384807E-012	2.1787271267830035E-024	1.4672871202492388E-006	2.1657908678256476E-018	1.4760511606384807E-012	2.1787271267830035E-024
1	1	14	3	2	5	6	2	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	0.0000000000000000E+000	3.4559466399741723E-008	1.9958336639456804E-015	3.9833520034111257E-030	3.4559466399741723E-008	6.8974949393987498E-023	1.9958336639456804E-015	3.9833520034111257E-030
1	1	15	4	1	4	5	1	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	9.7552215576171875E+002	-7.7661539257990611E-017	4.5938796233713219E-007	9.9808193394085309E-013	9.9616753604869140E-025	4.6036160483708954E-007	4.5947861604698761E-019	9.9808193394085309E-013	9.9616753604869140E-025
1	1	16	4	1	5	6	1	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	2.4470652343750000E+004	0.0000000000000000E+000	8.3103577352972025E-009	3.7746384285634958E-015	1.4247895816260325E-029	8.4027256264107564E-009	3.1717250788790847E-023	3.7746384285634958E-015	1.4247895816260325E-029
1	1	17	4	2	4	5	2	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	6.0587597656250000E+002	-4.7192652414510157E-017	-3.6704099670714641E-007	1.4760511606384807E-012	2.1787271267830035E-024	-3.6614667919820931E-007	-5.4045127451101520E-019	1.4760511606384807E-012	2.1787271267830035E-024
1	1	18	4	2	5	6	2	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	-1.4670905071043762E-019	-6.9265131408258185E-009	1.9958336639456804E-015	3.9833520034111257E-030	-6.9265131408258185E-009	-1.3824167319326728E-023	1.9958336639456804E-015	3.9833520034111257E-030
1	1	19	5	1	4	5	1	3	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	3.7086505471961573E-005	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	0.0000000000000000E+000	-3.6244962302589556E-006	9.9808193394085309E-013	9.9616753604869140E-025	-3.6244962302589556E-006	-3.6175441280541894E-018	9.9808193394085309E-013	9.9616753604869140E-025
1	1	20	5	1	5	6	1	3	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	3.7086505471961573E-005	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	0.0000000000000000E+000	-7.2437465803432133E-008	3.7746384285634958E-015	1.4247895816260325E-029	-7.2437465803432133E-008	-2.7342524820135479E-022	3.7746384285634958E-015	1.4247895816260325E-029
1	1	21	5	2	4	5	2	3	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	3.7086505471961573E-005	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	0.0000000000000000E+000	-1.4673553323518718E-006	1.4760511606384807E-012	2.1787271267830035E-024	-1.4673553323518718E-006	-2.1658915770652259E-018	1.4760511606384807E-012	2.1787271267830035E-024
1	1	22	5	2	5	6	2	3	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	3.7086505471961573E-005	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	0.0000000000000000E+000	-3.4559235473352601E-008	1.9958336639456804E-015	3.9833520034111257E-030	-3.4559235473352601E-008	-6.8974488699218849E-023	1.9958336639456804E-015	3.9833520034111257E-030
1	1	23	6	1	4	5	1	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	0.0000000000000000E+000	-4.5926930170026026E-007	9.9808193394085309E-013	9.9616753604869140E-025	-4.5926930170026026E-007	-4.5838839199964272E-019	9.9808193394085309E-013	9.9616753604869140E-025
1	1	24	6	1	5	6	1	3	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	3.7086505471961573E-005	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	0.0000000000000000E+000	-8.3106668213872581E-009	3.7746384285634958E-015	1.4247895816260325E-029	-8.3106668213872581E-009	-3.1369763870928233E-023	3.7746384285634958E-015	1.4247895816260325E-029
1	1	25	6	2	4	5	2	25	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	6.2601625359093305E-006	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	0.0000000000000000E+000	3.6593758068192983E-007	1.4760511606384807E-012	2.1787271267830035E-024	3.6593758068192983E-007	5.4014258104616807E-019	1.4760511606384807E-012	2.1787271267830035E-024
1	1	26	6	2	5	6	2	3	T	7	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	1.0000000474974513E-003	3.7086505471961573E-005	1.0294783115386963E+000	8.1183714792132378E-003	0.0000000000000000E+000	0.0000000000000000E+000	6.9301169247637517E-009	1.9958336639456804E-015	3.9833520034111257E-030	6.9301169247637517E-009	1.3831360153060533E-023	1.9958336639456804E-015	3.9833520034111257E-030
