independent_variable	independent_value	a1_real_mfm	a1_imag_mfm	a2_real_mfm	a2_imag_mfm	a3_real_mfm	a3_imag_mfm	a4_real_mfm	a4_imag_mfm
Elab	200.0	-15.40	-1.51	-22.59	-1.68	31.72	1.52	31.48	0.99
Elab	400.0	20.75	-19.62	1.24	-7.38	12.72	20.45	27.51	-7.53
Elab	600.0	17.89	3.81	-1.42	1.18	21.77	8.16	22.52	3.43
Elab	800.0	-10.33	15.17	2.06	-5.40	4.05	18.41	9.59	10.79
Elab	1000.0	-10.88	-4.52	2.38	-0.81	0.83	15.64	3.15	5.33
