independent_variable	independent_value	observable	uncertainty	lab_angle_deg	lab_differential_cross_section
Acm	0.000	0.7287E+00	0.0000E+00	0.00	0.2025E+01
Acm	30.000	0.2892E+01	0.0000E+00	18.25	0.7378E+01
Acm	60.000	0.4321E+01	0.0000E+00	38.12	0.8544E+01
Acm	90.000	0.4197E+01	0.0000E+00	61.61	0.5473E+01
Acm	120.000	0.5231E+01	0.0000E+00	91.50	0.3973E+01
Acm	150.000	0.6191E+01	0.0000E+00	131.02	0.2737E+01
Acm	180.000	0.6118E+01	0.0000E+00	180.00	0.2100E+01
