independent_variable	independent_value	observable	uncertainty	lab_angle_deg	lab_differential_cross_section
Elab	200.000	0.6975E+01	0.0000E+00		
Elab	300.000	0.8324E+01	0.0000E+00		
Elab	400.000	0.9150E+01	0.0000E+00		
Elab	500.000	0.9883E+01	0.0000E+00		
