engine	routine	source	sha256	decoder	pre_read_mutation	internal_read_line	current_evidence	classification
prsdd	PRRDX	said/pru.f	462395fee5d67538e49ddbef24a9b0c292a63f6183da1cb56dff9d391dfa89ba	PRREAD	none	4839	3740 reads; patched and unpatched IOSTAT all zero; both exit zero	captured-local-diagnostic
pnsd	PNRDX	said/pnu.f	fbadac901506aaade5de24b386b0a07cff31f047302fa6042f50919cf2f95f12	PNREAD	IF=XX; WRITE/READ CS3 mutates NVAR(2)	4569	prior modern fixture aborts at this read after seven displayed SP06 rows; not executed in this diagnostic	captured-prior-plus-static-reference
