independent_variable	independent_value	a1_real_mfm	a1_imag_mfm	a2_real_mfm	a2_imag_mfm	a3_real_mfm	a3_imag_mfm	a4_real_mfm	a4_imag_mfm
Acm	10.0	-5.26	9.60	-17.75	-18.38	12.73	1.23	0.38	1.23
Acm	30.0	-12.60	23.44	-2.62	-15.80	29.48	9.55	-1.06	3.37
Acm	50.0	-18.80	24.40	-2.22	-11.10	29.74	19.36	-1.72	4.69
Acm	70.0	-23.91	12.65	-3.00	-5.43	24.56	22.43	-1.88	5.22
Acm	90.0	-27.12	-4.09	-3.09	-0.44	17.63	15.46	-1.72	5.76
Acm	110.0	-26.50	-15.63	-3.68	2.49	12.21	2.39	0.12	7.57
Acm	130.0	-20.33	-16.26	-5.27	3.10	9.57	-8.72	5.57	11.23
Acm	150.0	-9.93	-8.60	-5.82	2.20	7.61	-11.45	14.32	15.76
Acm	170.0	-1.31	-1.14	-2.71	0.75	3.17	-5.10	21.68	18.96
