independent_variable	independent_value	a1_real_mfm	a1_imag_mfm	a2_real_mfm	a2_imag_mfm	a3_real_mfm	a3_imag_mfm	a4_real_mfm	a4_imag_mfm
Acm	0.0	0.00	0.00	46.05	-3.21	0.00	0.00	0.00	0.00
Acm	30.0	4.73	-1.43	17.21	-3.45	-29.79	-0.15	-7.83	-0.68
Acm	60.0	5.87	-2.35	6.00	-3.80	-42.88	-0.44	-11.58	-1.70
Acm	90.0	7.07	-2.35	3.84	-3.63	-45.88	-0.61	-18.65	-3.15
Acm	120.0	6.14	-1.49	4.47	-2.73	-41.44	-0.56	-32.91	-4.77
Acm	150.0	2.42	-0.45	3.95	-1.42	-26.24	-0.35	-51.38	-6.01
Acm	180.0	-0.00	-0.00	-0.00	-0.00	0.00	-0.00	-60.66	-6.48
