independent_variable	independent_value	a1_real_mfm	a1_imag_mfm	a2_real_mfm	a2_imag_mfm	a3_real_mfm	a3_imag_mfm	a4_real_mfm	a4_imag_mfm
Acm	0.0	0.00	0.00	-42.58	-16.25	0.00	0.00	0.00	0.00
Acm	30.0	-8.95	11.17	-11.67	-13.26	31.26	4.66	-0.29	2.61
Acm	60.0	-19.48	12.32	-5.37	-6.75	32.14	11.95	-0.69	5.38
Acm	90.0	-29.45	4.47	-2.87	-1.67	20.46	12.10	1.14	8.23
Acm	120.0	-27.52	-2.11	-4.28	-0.39	8.19	5.78	8.31	11.41
Acm	150.0	-11.14	-1.78	-5.81	-0.64	3.00	0.73	22.39	14.66
Acm	180.0	-0.00	-0.00	0.00	-0.00	-0.00	-0.00	31.13	16.17
