independent_variable	independent_value	a1_real_mfm	a1_imag_mfm	a2_real_mfm	a2_imag_mfm	a3_real_mfm	a3_imag_mfm	a4_real_mfm	a4_imag_mfm
Acm	0.0	0.00	0.00	-8.71	-4.76	0.00	0.00	0.00	0.00
Acm	30.0	10.39	0.35	-6.74	-4.56	-2.16	0.05	4.72	2.04
Acm	60.0	15.13	0.55	-1.79	-4.09	-7.21	0.10	5.87	4.00
Acm	90.0	13.50	0.55	3.81	-3.54	-12.39	-0.06	1.40	5.71
Acm	120.0	8.24	0.37	7.18	-2.82	-14.71	-0.32	-8.41	7.01
Acm	150.0	2.56	0.12	5.82	-1.64	-10.70	-0.34	-19.66	7.83
Acm	180.0	0.00	0.00	-0.00	-0.00	0.00	-0.00	-24.89	8.10
