context	service	requested_tz	expected_offset	observed_timestamp	observed_date	observed_offset	container_id	image_id
utc-plus-14	oracle	UTC-14	+1400	2026-08-27T20:10:28+1400	2026-08-27	+1400	8ad965b7cf066977346dc16adedd9bb12f1967bae7e35242288788a9c39ccae8	sha256:f61fb29091e25e4af9ad32118b738eddc0db7750764c42a2ff8c3f5c37df538f
utc-minus-12	oracle	UTC+12	-1200	2026-08-26T18:10:28-1200	2026-08-26	-1200	8ad965b7cf066977346dc16adedd9bb12f1967bae7e35242288788a9c39ccae8	sha256:f61fb29091e25e4af9ad32118b738eddc0db7750764c42a2ff8c3f5c37df538f
utc-plus-14	dev	UTC-14	+1400	2026-08-27T20:10:29+1400	2026-08-27	+1400	f4eb95eda98c33281a492ba61ac8644a070fa152433cea22bffe9ee4ba57c936	sha256:40a0a48c75425e9f1ee94485a271a636cdf1f4a5294235640886198ecf621c66
utc-minus-12	dev	UTC+12	-1200	2026-08-26T18:10:29-1200	2026-08-26	-1200	f4eb95eda98c33281a492ba61ac8644a070fa152433cea22bffe9ee4ba57c936	sha256:40a0a48c75425e9f1ee94485a271a636cdf1f4a5294235640886198ecf621c66
