line	field	left	right	class	relation
49	sha256:stdout.txt	f030aa6de9cae1a5ea4ac81de78243b245a7eb0c86ade8290938c5d99c11c33a	d3744e57a134c2b99132b76fb7362d8110900fb496011c1cd729742367ee52a9	execution_metadata	derived_hash
53	sha256:SAID.TMP	bf895466eff2348fba512e47e42bfd7f18436bba3ceee3622e671bb0220d4f38	299efed8c6874737c3ac42360db9ba0a1c2a3fcc876a41184bace3a268427eb4	execution_metadata	derived_hash
55	sha256:SAID.LOG	fda2b9ce295a21c25ef75bb6b072f7f924d9e133c8bfbb6878666681e073827e	61e5d9e452ea8523dc548a5329a42a0325ffddf168557c0132d0dbe7f36b2c37	execution_metadata	derived_hash
