line	field	left	right	class	relation
13	date_1	8/08/07	8/08/07	protected_date	exact
28	date_1	9/ 1/26	8/31/26	execution_metadata	measured_volatile
33	date_1	9/ 1/26	8/31/26	execution_metadata	measured_volatile
