independent_variable	independent_value	a1_real_mfm	a1_imag_mfm	a2_real_mfm	a2_imag_mfm	a3_real_mfm	a3_imag_mfm	a4_real_mfm	a4_imag_mfm
Acm	0.0	0.00	0.00	16.90	-34.87	0.00	0.00	0.00	0.00
Acm	30.0	-13.71	20.15	13.95	-27.80	5.65	-5.25	-8.93	16.06
Acm	60.0	-24.72	31.29	4.79	-10.61	16.58	-17.65	-10.88	22.82
Acm	90.0	-24.73	29.53	-6.23	7.11	24.14	-29.04	-7.79	16.35
Acm	120.0	-13.74	18.12	-10.08	16.00	24.72	-31.05	-3.21	0.49
Acm	150.0	-3.36	5.43	-5.86	12.38	16.27	-20.13	1.63	-15.41
Acm	180.0	-0.00	0.00	-0.00	0.00	0.00	-0.00	3.94	-22.00
