independent_variable	independent_value	a1_real_mfm	a1_imag_mfm	a2_real_mfm	a2_imag_mfm	a3_real_mfm	a3_imag_mfm	a4_real_mfm	a4_imag_mfm
CosA	-1.0	-0.00	-0.00	0.00	0.00	-0.00	-0.00	22.80	19.41
CosA	-0.5	-24.13	-17.34	-4.42	3.05	10.60	-3.91	2.32	9.19
CosA	0.0	-27.12	-4.09	-3.09	-0.44	17.63	15.46	-1.72	5.76
CosA	0.5	-21.51	19.77	-2.70	-8.28	27.58	22.11	-1.82	5.02
CosA	1.0	0.00	0.00	-30.17	-18.71	0.00	0.00	0.00	0.00
