independent_variable	independent_value	observable	uncertainty	lab_angle_deg	lab_differential_cross_section
Acm	0.000	0.2080E+02	0.0000E+00	0.00	0.4494E+02
Acm	30.000	0.1064E+02	0.0000E+00	20.65	0.2142E+02
Acm	60.000	0.9165E+01	0.0000E+00	42.76	0.1500E+02
Acm	90.000	0.7341E+01	0.0000E+00	68.04	0.8629E+01
Acm	120.000	0.6382E+01	0.0000E+00	98.54	0.4955E+01
Acm	150.000	0.7350E+01	0.0000E+00	136.14	0.3851E+01
Acm	180.000	0.8339E+01	0.0000E+00	180.00	0.3669E+01
