row_id	family	branch	legacy_l	state_index	form_selector	typed_dispatch	legacy_dispatch	typed_title	legacy_title	typed_previous	legacy_previous	typed_pre_reset	legacy_epx	typed_input	legacy_epxx	typed_effective	legacy_effective	typed_dither	legacy_dither	typed_hadronic_real	legacy_hadronic_real	typed_hadronic_imag	legacy_hadronic_imag	exact	first_field
1	1	1	5	3	25	F	T		M05		SP00	8.4995721435546875E+002	8.4995721435546875E+002	0.0000000000000000E+000	8.4995721435546875E+002	0.0000000000000000E+000	8.4995819091796875E+002	0.0000000000000000E+000	1.0000000474974513E-003	0.0000000000000000E+000	-2.1399578545242548E-003	0.0000000000000000E+000	3.1387135386466980E-003	no	dispatch
2	1	1	6	3	25	T	T	M05	M05		M05	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995819091796875E+002	8.4995721435546875E+002	1.0000000474974513E-003	-1.0000000474974513E-003	-1.4165281318128109E-003	-1.4165212633088231E-003	9.9192489869892597E-004	9.9191966000944376E-004	no	previous_title
3	1	2	2	4	21	T	T	SP00	M05	M05	M05	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995623779296875E+002	8.4995721435546875E+002	-1.0000000474974513E-003	-1.0000000474974513E-003	-6.7707888782024384E-002	-6.7707628011703491E-002	1.1722826957702637E-001	1.1722847074270248E-001	no	dispatch_title
4	1	2	5	4	25	T	T	SP00	M05	SP00	M05	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	-1.0000000474974513E-003	-1.2319184606894851E-003	-1.2319184606894851E-003	9.8886003252118826E-004	9.8886003252118826E-004	no	dispatch_title
5	1	2	6	4	25	T	T	SP00	M05	SP00	M05	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	-1.0000000474974513E-003	9.8042581230401993E-003	9.8042581230401993E-003	7.5485056731849909E-004	7.5485056731849909E-004	no	dispatch_title
6	2	1	5	3	25	T	T	SP00	M05	SP00	M05	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	-1.0000000474974513E-003	-2.1399506367743015E-003	-2.1399506367743015E-003	3.1386986374855042E-003	3.1386986374855042E-003	no	dispatch_title
7	2	1	6	3	25	T	T	SP00	M05	SP00	M05	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	-1.0000000474974513E-003	-1.4165212633088231E-003	-1.4165212633088231E-003	9.9191966000944376E-004	9.9191966000944376E-004	no	dispatch_title
8	2	2	2	4	21	T	T	SP00	M05	SP00	M05	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	-1.0000000474974513E-003	-6.7707628011703491E-002	-6.7707628011703491E-002	1.1722847074270248E-001	1.1722847074270248E-001	no	dispatch_title
9	2	2	5	4	25	T	T	SP00	M05	SP00	M05	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	-1.0000000474974513E-003	-1.2319184606894851E-003	-1.2319184606894851E-003	9.8886003252118826E-004	9.8886003252118826E-004	no	dispatch_title
10	2	2	6	4	25	T	T	SP00	M05	SP00	M05	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	-1.0000000474974513E-003	9.8042581230401993E-003	9.8042581230401993E-003	7.5485056731849909E-004	7.5485056731849909E-004	no	dispatch_title
