row	angle_equal	predicted_equal	measured_equal	error_equal	dchi_equal	exact
804	yes	no	yes	yes	no	no
805	yes	no	yes	yes	no	no
806	yes	no	yes	yes	no	no
807	yes	no	yes	yes	no	no
808	yes	no	yes	yes	no	no
809	yes	no	yes	yes	no	no
810	yes	no	yes	yes	no	no
811	yes	no	yes	yes	no	no
812	yes	no	yes	yes	no	no
813	yes	no	yes	yes	no	no
814	yes	no	yes	yes	no	no
815	yes	no	yes	yes	no	no
816	yes	no	yes	yes	no	no
817	yes	no	yes	yes	no	no
818	yes	no	yes	yes	no	no
819	yes	no	yes	yes	no	no
820	yes	no	yes	yes	no	no
821	yes	no	yes	yes	no	no
822	yes	no	yes	yes	no	no
823	yes	no	yes	yes	no	no
824	yes	no	yes	yes	no	no
825	yes	no	yes	yes	no	no
826	yes	no	yes	yes	no	no
827	yes	no	yes	yes	no	no
828	yes	no	yes	yes	no	no
829	yes	no	yes	yes	no	no
830	yes	no	yes	yes	no	no
831	yes	no	yes	yes	no	no
832	yes	no	yes	yes	no	no
833	yes	no	yes	yes	no	no
834	yes	no	yes	yes	no	no
835	yes	no	yes	yes	no	no
836	yes	no	yes	yes	no	no
837	yes	no	yes	yes	no	no
838	yes	no	yes	yes	no	no
839	yes	no	yes	yes	no	no
840	yes	no	yes	yes	no	no
841	yes	no	yes	yes	no	no
842	yes	no	yes	yes	no	no
843	yes	no	yes	yes	no	no
844	yes	no	yes	yes	no	no
845	yes	no	yes	yes	no	no
846	yes	no	yes	yes	no	no
847	yes	no	yes	yes	no	no
848	yes	no	yes	yes	no	no
849	yes	no	yes	yes	no	no
850	yes	no	yes	yes	no	no
851	yes	no	yes	yes	no	no
852	yes	no	yes	yes	no	no
853	yes	no	yes	yes	no	no
854	yes	no	yes	yes	no	no
855	yes	no	yes	yes	no	no
856	yes	no	yes	yes	no	no
857	yes	no	yes	yes	no	no
858	yes	no	yes	yes	no	no
859	yes	no	yes	yes	no	no
860	yes	no	yes	yes	no	no
861	yes	no	yes	yes	no	no
862	yes	no	yes	yes	no	no
863	yes	no	yes	yes	no	no
864	yes	no	yes	yes	no	no
865	yes	no	yes	yes	no	no
866	yes	no	yes	yes	no	no
867	yes	no	yes	yes	no	no
868	yes	no	yes	yes	no	no
869	yes	no	yes	yes	no	no
870	yes	no	yes	yes	no	no
871	yes	no	yes	yes	no	no
872	yes	no	yes	yes	no	no
873	yes	no	yes	yes	no	no
874	yes	no	yes	yes	no	no
875	yes	no	yes	yes	no	no
876	yes	no	yes	yes	no	no
877	yes	no	yes	yes	no	no
878	yes	no	yes	yes	no	no
879	yes	no	yes	yes	no	no
880	yes	no	yes	yes	no	no
881	yes	no	yes	yes	no	no
882	yes	no	yes	yes	no	no
883	yes	no	yes	yes	no	no
884	yes	no	yes	yes	no	no
885	yes	no	yes	yes	no	no
886	yes	no	yes	yes	no	no
887	yes	no	yes	yes	no	no
888	yes	no	yes	yes	no	no
889	yes	no	yes	yes	no	no
890	yes	no	yes	yes	no	no
891	yes	no	yes	yes	no	no
892	yes	no	yes	yes	no	no
893	yes	no	yes	yes	no	no
894	yes	no	yes	yes	no	no
895	yes	no	yes	yes	no	no
896	yes	no	yes	yes	no	no
897	yes	no	yes	yes	no	no
898	yes	no	yes	yes	no	no
899	yes	no	yes	yes	no	no
900	yes	no	yes	yes	no	no
901	yes	no	yes	yes	no	no
902	yes	no	yes	yes	no	no
903	yes	no	yes	yes	no	no
904	yes	no	yes	yes	no	no
905	yes	no	yes	yes	no	no
906	yes	no	yes	yes	no	no
907	yes	no	yes	yes	no	no
908	yes	no	yes	yes	no	no
909	yes	no	yes	yes	no	no
910	yes	no	yes	yes	no	no
911	yes	no	yes	yes	no	no
912	yes	no	yes	yes	no	no
913	yes	no	yes	yes	no	no
914	yes	no	yes	yes	no	no
915	yes	no	yes	yes	no	no
916	yes	no	yes	yes	no	no
917	yes	no	yes	yes	no	no
918	yes	no	yes	yes	no	no
919	yes	no	yes	yes	no	no
920	yes	no	yes	yes	no	no
921	yes	no	yes	yes	no	no
922	yes	no	yes	yes	no	no
923	yes	no	yes	yes	no	no
924	yes	no	yes	yes	no	no
925	yes	no	yes	yes	no	no
926	yes	no	yes	yes	no	no
927	yes	no	yes	yes	no	no
928	yes	no	yes	yes	no	no
929	yes	no	yes	yes	no	no
930	yes	no	yes	yes	no	no
931	yes	no	yes	yes	no	no
932	yes	no	yes	yes	no	no
933	yes	no	yes	yes	no	no
934	yes	no	yes	yes	no	no
935	yes	no	yes	yes	no	no
936	yes	no	yes	yes	no	no
937	yes	no	yes	yes	no	no
938	yes	no	yes	yes	no	no
939	yes	no	yes	yes	no	no
940	yes	no	yes	yes	no	no
941	yes	no	yes	yes	no	no
942	yes	no	yes	yes	no	no
943	yes	no	yes	yes	no	no
944	yes	no	yes	yes	no	no
945	yes	no	yes	yes	no	no
946	yes	no	yes	yes	no	no
947	yes	no	yes	yes	no	no
948	yes	no	yes	yes	no	no
949	yes	no	yes	yes	no	no
950	yes	no	yes	yes	no	no
951	yes	no	yes	yes	no	no
952	yes	no	yes	yes	no	no
953	yes	no	yes	yes	no	no
954	yes	no	yes	yes	no	no
955	yes	no	yes	yes	no	no
956	yes	no	yes	yes	no	no
957	yes	no	yes	yes	no	no
958	yes	no	yes	yes	no	no
959	yes	no	yes	yes	no	no
960	yes	no	yes	yes	no	no
961	yes	no	yes	yes	no	no
962	yes	no	yes	yes	no	no
963	yes	no	yes	yes	no	no
964	yes	no	yes	yes	no	no
965	yes	no	yes	yes	no	no
966	yes	no	yes	yes	no	no
967	yes	no	yes	yes	no	no
968	yes	no	yes	yes	no	no
969	yes	no	yes	yes	no	no
970	yes	no	yes	yes	no	no
971	yes	no	yes	yes	no	no
972	yes	no	yes	yes	no	no
973	yes	no	yes	yes	no	no
974	yes	no	yes	yes	no	no
975	yes	no	yes	yes	no	no
976	yes	no	yes	yes	no	no
977	yes	no	yes	yes	no	no
978	yes	no	yes	yes	no	no
979	yes	no	yes	yes	no	no
980	yes	no	yes	yes	no	no
981	yes	no	yes	yes	no	no
982	yes	no	yes	yes	no	no
983	yes	no	yes	yes	no	no
984	yes	no	yes	yes	no	no
985	yes	no	yes	yes	no	no
986	yes	no	yes	yes	no	no
987	yes	no	yes	yes	no	no
988	yes	no	yes	yes	no	no
989	yes	no	yes	yes	no	no
990	yes	no	yes	yes	no	no
991	yes	no	yes	yes	no	no
992	yes	no	yes	yes	no	no
993	yes	no	yes	yes	no	no
994	yes	no	yes	yes	no	no
995	yes	no	yes	yes	no	no
996	yes	no	yes	yes	no	no
997	yes	no	yes	yes	no	no
998	yes	no	yes	yes	no	no
999	yes	no	yes	yes	no	no
1000	yes	no	yes	yes	no	no
1001	yes	no	yes	yes	no	no
1002	yes	no	yes	yes	no	no
1003	yes	no	yes	yes	no	no
1004	yes	no	yes	yes	no	no
1005	yes	no	yes	yes	no	no
1006	yes	no	yes	yes	no	no
1007	yes	no	yes	yes	no	no
1008	yes	no	yes	yes	no	no
1009	yes	no	yes	yes	no	no
1010	yes	no	yes	yes	no	no
1011	yes	no	yes	yes	no	no
1012	yes	no	yes	yes	no	no
1013	yes	no	yes	yes	no	no
1014	yes	no	yes	yes	no	no
1015	yes	no	yes	yes	no	no
1016	yes	no	yes	yes	no	no
1017	yes	no	yes	yes	no	no
1018	yes	no	yes	yes	no	no
1019	yes	no	yes	yes	no	no
1020	yes	no	yes	yes	no	no
1021	yes	no	yes	yes	no	no
1022	yes	no	yes	yes	no	no
1023	yes	no	yes	yes	no	no
1024	yes	no	yes	yes	no	no
1025	yes	no	yes	yes	no	no
1026	yes	no	yes	yes	no	no
1027	yes	no	yes	yes	no	no
1028	yes	no	yes	yes	no	no
1029	yes	no	yes	yes	no	no
1030	yes	no	yes	yes	no	no
1031	yes	no	yes	yes	no	no
1032	yes	no	yes	yes	no	no
1033	yes	no	yes	yes	no	no
1034	yes	no	yes	yes	no	no
1035	yes	no	yes	yes	no	no
1036	yes	no	yes	yes	no	no
1037	yes	no	yes	yes	no	no
1038	yes	no	yes	yes	no	no
1039	yes	no	yes	yes	no	no
1040	yes	no	yes	yes	no	no
1041	yes	no	yes	yes	no	no
1042	yes	no	yes	yes	no	no
1043	yes	no	yes	yes	no	no
1044	yes	no	yes	yes	no	no
1045	yes	no	yes	yes	no	no
1046	yes	no	yes	yes	no	no
1047	yes	no	yes	yes	no	no
1048	yes	no	yes	yes	no	no
1049	yes	no	yes	yes	no	no
1050	yes	no	yes	yes	no	no
1051	yes	no	yes	yes	no	no
1052	yes	no	yes	yes	no	no
1053	yes	no	yes	yes	no	no
1054	yes	no	yes	yes	no	no
1055	yes	no	yes	yes	no	no
1056	yes	no	yes	yes	no	no
1057	yes	no	yes	yes	no	no
1058	yes	no	yes	yes	no	no
1059	yes	no	yes	yes	no	no
1060	yes	no	yes	yes	no	no
1061	yes	no	yes	yes	no	no
1062	yes	no	yes	yes	no	no
1063	yes	no	yes	yes	no	no
1064	yes	no	yes	yes	no	no
1065	yes	no	yes	yes	no	no
1066	yes	no	yes	yes	no	no
1067	yes	no	yes	yes	no	no
1068	yes	no	yes	yes	no	no
1069	yes	no	yes	yes	no	no
1070	yes	no	yes	yes	no	no
1071	yes	no	yes	yes	no	no
1072	yes	no	yes	yes	no	no
1073	yes	no	yes	yes	no	no
1074	yes	no	yes	yes	no	no
1075	yes	no	yes	yes	no	no
1076	yes	no	yes	yes	no	no
1077	yes	no	yes	yes	no	no
1078	yes	no	yes	yes	no	no
1079	yes	no	yes	yes	no	no
1080	yes	no	yes	yes	no	no
1081	yes	no	yes	yes	no	no
1082	yes	no	yes	yes	no	no
1083	yes	no	yes	yes	no	no
1084	yes	no	yes	yes	no	no
1085	yes	no	yes	yes	no	no
1086	yes	no	yes	yes	no	no
1087	yes	no	yes	yes	no	no
1088	yes	no	yes	yes	no	no
1089	yes	no	yes	yes	no	no
1090	yes	no	yes	yes	no	no
1091	yes	no	yes	yes	no	no
1092	yes	no	yes	yes	no	no
1093	yes	no	yes	yes	no	no
1094	yes	no	yes	yes	no	no
1095	yes	no	yes	yes	no	no
1096	yes	no	yes	yes	no	no
1097	yes	no	yes	yes	no	no
1098	yes	no	yes	yes	no	no
1099	yes	no	yes	yes	no	no
1100	yes	no	yes	yes	no	no
1101	yes	no	yes	yes	no	no
1102	yes	no	yes	yes	no	no
1103	yes	no	yes	yes	no	no
1104	yes	no	yes	yes	no	no
1105	yes	no	yes	yes	no	no
1106	yes	no	yes	yes	no	no
1107	yes	no	yes	yes	no	no
1108	yes	no	yes	yes	no	no
1109	yes	no	yes	yes	no	no
1110	yes	no	yes	yes	no	no
1111	yes	no	yes	yes	no	no
1112	yes	no	yes	yes	no	no
1113	yes	no	yes	yes	no	no
1114	yes	no	yes	yes	no	no
1115	yes	no	yes	yes	no	no
1116	yes	no	yes	yes	no	no
1117	yes	no	yes	yes	no	no
1118	yes	no	yes	yes	no	no
1119	yes	no	yes	yes	no	no
1120	yes	no	yes	yes	no	no
1121	yes	no	yes	yes	no	no
1122	yes	no	yes	yes	yes	no
1123	yes	no	yes	yes	no	no
1124	yes	no	yes	yes	no	no
1125	yes	no	yes	yes	no	no
1126	yes	no	yes	yes	no	no
1127	yes	no	yes	yes	no	no
1128	yes	no	yes	yes	no	no
1129	yes	no	yes	yes	no	no
1130	yes	no	yes	yes	no	no
1131	yes	no	yes	yes	no	no
1132	yes	no	yes	yes	no	no
1133	yes	no	yes	yes	no	no
1134	yes	no	yes	yes	no	no
1135	yes	no	yes	yes	no	no
1136	yes	no	yes	yes	no	no
1137	yes	no	yes	yes	no	no
1138	yes	no	yes	yes	no	no
1139	yes	no	yes	yes	no	no
1140	yes	no	yes	yes	no	no
1141	yes	no	yes	yes	no	no
1142	yes	no	yes	yes	no	no
1143	yes	no	yes	yes	no	no
1144	yes	no	yes	yes	no	no
1145	yes	no	yes	yes	no	no
1146	yes	no	yes	yes	no	no
1147	yes	no	yes	yes	no	no
1148	yes	no	yes	yes	no	no
1149	yes	no	yes	yes	no	no
1150	yes	no	yes	yes	no	no
1151	yes	no	yes	yes	no	no
1152	yes	no	yes	yes	no	no
1153	yes	no	yes	yes	no	no
1154	yes	no	yes	yes	no	no
1155	yes	no	yes	yes	no	no
1156	yes	no	yes	yes	no	no
1157	yes	no	yes	yes	no	no
1158	yes	no	yes	yes	no	no
1159	yes	no	yes	yes	no	no
1160	yes	no	yes	yes	no	no
1161	yes	no	yes	yes	no	no
1162	yes	no	yes	yes	no	no
1163	yes	no	yes	yes	no	no
1164	yes	no	yes	yes	no	no
1165	yes	no	yes	yes	no	no
1166	yes	no	yes	yes	no	no
1167	yes	no	yes	yes	no	no
1168	yes	no	yes	yes	no	no
1169	yes	no	yes	yes	no	no
1170	yes	no	yes	yes	no	no
1171	yes	no	yes	yes	no	no
1172	yes	no	yes	yes	no	no
1173	yes	no	yes	yes	no	no
1174	yes	no	yes	yes	no	no
1175	yes	no	yes	yes	yes	no
1176	yes	no	yes	yes	no	no
1177	yes	no	yes	yes	no	no
1178	yes	no	yes	yes	no	no
1179	yes	no	yes	yes	no	no
1180	yes	no	yes	yes	no	no
1181	yes	no	yes	yes	no	no
1182	yes	no	yes	yes	no	no
1183	yes	no	yes	yes	no	no
1184	yes	no	yes	yes	no	no
1185	yes	no	yes	yes	no	no
1186	yes	no	yes	yes	no	no
1187	yes	no	yes	yes	no	no
1188	yes	no	yes	yes	no	no
1189	yes	no	yes	yes	no	no
1190	yes	no	yes	yes	no	no
1191	yes	no	yes	yes	no	no
1192	yes	no	yes	yes	no	no
1193	yes	no	yes	yes	no	no
1194	yes	no	yes	yes	no	no
1195	yes	no	yes	yes	no	no
1196	yes	no	yes	yes	no	no
1197	yes	no	yes	yes	no	no
1198	yes	no	yes	yes	no	no
1199	yes	no	yes	yes	no	no
1200	yes	no	yes	yes	no	no
1201	yes	no	yes	yes	no	no
1202	yes	no	yes	yes	no	no
1203	yes	no	yes	yes	no	no
1204	yes	no	yes	yes	no	no
1205	yes	no	yes	yes	no	no
1206	yes	no	yes	yes	no	no
1207	yes	no	yes	yes	no	no
1208	yes	no	yes	yes	no	no
1209	yes	no	yes	yes	no	no
1210	yes	no	yes	yes	no	no
1211	yes	no	yes	yes	no	no
1212	yes	no	yes	yes	no	no
1213	yes	no	yes	yes	no	no
1214	yes	no	yes	yes	no	no
1215	yes	no	yes	yes	no	no
1216	yes	no	yes	yes	no	no
1217	yes	no	yes	yes	no	no
1218	yes	no	yes	yes	no	no
1219	yes	no	yes	yes	no	no
1220	yes	no	yes	yes	no	no
1221	yes	no	yes	yes	no	no
1222	yes	no	yes	yes	no	no
1223	yes	no	yes	yes	no	no
1224	yes	no	yes	yes	no	no
1225	yes	no	yes	yes	no	no
1226	yes	no	yes	yes	no	no
1227	yes	no	yes	yes	no	no
1228	yes	no	yes	yes	no	no
1229	yes	no	yes	yes	no	no
1230	yes	no	yes	yes	no	no
1231	yes	no	yes	yes	no	no
1232	yes	no	yes	yes	no	no
1233	yes	no	yes	yes	no	no
1234	yes	no	yes	yes	no	no
1235	yes	no	yes	yes	no	no
1236	yes	no	yes	yes	no	no
1237	yes	no	yes	yes	no	no
1238	yes	no	yes	yes	no	no
1239	yes	no	yes	yes	no	no
1240	yes	no	yes	yes	no	no
1241	yes	no	yes	yes	no	no
1242	yes	no	yes	yes	no	no
1243	yes	no	yes	yes	no	no
1244	yes	no	yes	yes	no	no
1245	yes	no	yes	yes	no	no
1246	yes	no	yes	yes	no	no
1247	yes	no	yes	yes	no	no
1248	yes	no	yes	yes	no	no
1249	yes	no	yes	yes	no	no
1250	yes	no	yes	yes	no	no
1251	yes	no	yes	yes	no	no
1252	yes	no	yes	yes	no	no
1253	yes	no	yes	yes	no	no
1254	yes	no	yes	yes	no	no
1255	yes	no	yes	yes	no	no
1256	yes	no	yes	yes	no	no
1257	yes	no	yes	yes	no	no
1258	yes	no	yes	yes	no	no
1259	yes	no	yes	yes	no	no
1260	yes	no	yes	yes	no	no
1261	yes	no	yes	yes	no	no
1262	yes	no	yes	yes	no	no
1263	yes	no	yes	yes	no	no
1264	yes	no	yes	yes	no	no
1265	yes	no	yes	yes	no	no
1266	yes	no	yes	yes	no	no
1267	yes	no	yes	yes	no	no
1268	yes	no	yes	yes	no	no
1269	yes	no	yes	yes	no	no
1270	yes	no	yes	yes	no	no
1271	yes	no	yes	yes	no	no
1272	yes	no	yes	yes	no	no
1273	yes	no	yes	yes	no	no
1274	yes	no	yes	yes	no	no
1275	yes	no	yes	yes	no	no
1276	yes	no	yes	yes	no	no
1277	yes	no	yes	yes	no	no
1278	yes	no	yes	yes	no	no
1279	yes	no	yes	yes	no	no
1280	yes	no	yes	yes	no	no
1281	yes	no	yes	yes	no	no
1282	yes	no	yes	yes	no	no
1283	yes	no	yes	yes	no	no
1284	yes	no	yes	yes	no	no
1285	yes	no	yes	yes	no	no
1286	yes	no	yes	yes	no	no
1287	yes	no	yes	yes	no	no
1288	yes	no	yes	yes	no	no
1289	yes	no	yes	yes	no	no
1290	yes	no	yes	yes	no	no
1291	yes	no	yes	yes	no	no
1292	yes	no	yes	yes	no	no
1293	yes	no	yes	yes	no	no
1294	yes	no	yes	yes	no	no
1295	yes	no	yes	yes	no	no
1296	yes	no	yes	yes	no	no
1297	yes	no	yes	yes	no	no
1298	yes	no	yes	yes	no	no
1299	yes	no	yes	yes	no	no
1300	yes	no	yes	yes	no	no
1301	yes	no	yes	yes	no	no
1302	yes	no	yes	yes	no	no
1303	yes	no	yes	yes	no	no
1304	yes	no	yes	yes	no	no
1305	yes	no	yes	yes	no	no
1306	yes	no	yes	yes	no	no
1307	yes	no	yes	yes	no	no
1308	yes	no	yes	yes	no	no
1309	yes	no	yes	yes	no	no
1310	yes	no	yes	yes	no	no
1311	yes	no	yes	yes	no	no
1312	yes	no	yes	yes	no	no
1313	yes	no	yes	yes	no	no
1314	yes	no	yes	yes	no	no
1315	yes	no	yes	yes	no	no
1316	yes	no	yes	yes	no	no
1317	yes	no	yes	yes	no	no
1318	yes	no	yes	yes	no	no
1319	yes	no	yes	yes	no	no
1320	yes	no	yes	yes	no	no
1321	yes	no	yes	yes	no	no
1322	yes	no	yes	yes	no	no
1323	yes	no	yes	yes	no	no
1324	yes	no	yes	yes	no	no
1325	yes	no	yes	yes	no	no
1326	yes	no	yes	yes	no	no
1327	yes	no	yes	yes	no	no
1328	yes	no	yes	yes	no	no
1329	yes	no	yes	yes	no	no
1330	yes	no	yes	yes	no	no
1331	yes	no	yes	yes	no	no
1332	yes	no	yes	yes	no	no
1333	yes	no	yes	yes	no	no
1334	yes	no	yes	yes	no	no
1335	yes	no	yes	yes	no	no
1336	yes	no	yes	yes	no	no
1337	yes	no	yes	yes	no	no
1338	yes	no	yes	yes	no	no
1339	yes	no	yes	yes	no	no
1340	yes	no	yes	yes	no	no
1341	yes	no	yes	yes	no	no
1342	yes	no	yes	yes	no	no
1343	yes	no	yes	yes	no	no
1344	yes	no	yes	yes	no	no
1345	yes	no	yes	yes	no	no
1346	yes	no	yes	yes	no	no
1347	yes	no	yes	yes	no	no
1348	yes	no	yes	yes	no	no
1349	yes	no	yes	yes	no	no
1350	yes	no	yes	yes	no	no
1351	yes	no	yes	yes	no	no
1352	yes	no	yes	yes	no	no
1353	yes	no	yes	yes	no	no
1354	yes	no	yes	yes	no	no
1355	yes	no	yes	yes	no	no
1356	yes	no	yes	yes	no	no
1357	yes	no	yes	yes	no	no
1358	yes	no	yes	yes	no	no
1359	yes	no	yes	yes	no	no
1360	yes	no	yes	yes	no	no
1361	yes	no	yes	yes	no	no
1362	yes	no	yes	yes	no	no
1363	yes	no	yes	yes	no	no
1364	yes	no	yes	yes	no	no
1365	yes	no	yes	yes	no	no
1366	yes	no	yes	yes	no	no
1367	yes	no	yes	yes	no	no
1368	yes	no	yes	yes	no	no
1369	yes	no	yes	yes	no	no
1370	yes	no	yes	yes	no	no
1371	yes	no	yes	yes	no	no
1372	yes	no	yes	yes	no	no
1373	yes	no	yes	yes	no	no
1374	yes	no	yes	yes	no	no
1375	yes	no	yes	yes	no	no
1376	yes	no	yes	yes	no	no
1377	yes	no	yes	yes	no	no
1378	yes	no	yes	yes	no	no
1379	yes	no	yes	yes	no	no
1380	yes	no	yes	yes	no	no
1381	yes	no	yes	yes	no	no
1382	yes	no	yes	yes	no	no
1383	yes	no	yes	yes	no	no
1384	yes	no	yes	yes	no	no
1385	yes	no	yes	yes	no	no
1386	yes	no	yes	yes	no	no
1387	yes	no	yes	yes	no	no
1388	yes	no	yes	yes	no	no
1389	yes	no	yes	yes	no	no
1390	yes	no	yes	yes	no	no
1391	yes	no	yes	yes	no	no
1392	yes	no	yes	yes	no	no
1393	yes	no	yes	yes	no	no
1394	yes	no	yes	yes	no	no
1395	yes	no	yes	yes	no	no
1396	yes	no	yes	yes	no	no
1397	yes	no	yes	yes	no	no
1398	yes	no	yes	yes	no	no
1399	yes	no	yes	yes	no	no
1400	yes	no	yes	yes	no	no
1401	yes	no	yes	yes	no	no
1402	yes	no	yes	yes	no	no
1403	yes	no	yes	yes	no	no
1404	yes	no	yes	yes	no	no
1405	yes	no	yes	yes	no	no
1406	yes	no	yes	yes	no	no
1407	yes	no	yes	yes	no	no
1408	yes	no	yes	yes	no	no
1409	yes	no	yes	yes	no	no
1410	yes	no	yes	yes	no	no
1411	yes	no	yes	yes	no	no
1412	yes	no	yes	yes	no	no
1413	yes	no	yes	yes	no	no
1414	yes	no	yes	yes	no	no
1415	yes	no	yes	yes	no	no
1416	yes	no	yes	yes	no	no
1417	yes	no	yes	yes	no	no
1418	yes	no	yes	yes	no	no
1419	yes	no	yes	yes	no	no
1420	yes	no	yes	yes	no	no
1421	yes	no	yes	yes	no	no
1422	yes	no	yes	yes	no	no
1423	yes	no	yes	yes	no	no
1424	yes	no	yes	yes	no	no
1425	yes	no	yes	yes	no	no
1426	yes	no	yes	yes	no	no
1427	yes	no	yes	yes	no	no
1428	yes	no	yes	yes	no	no
1429	yes	no	yes	yes	no	no
1430	yes	no	yes	yes	no	no
1431	yes	no	yes	yes	no	no
1432	yes	no	yes	yes	no	no
1433	yes	no	yes	yes	no	no
1434	yes	no	yes	yes	no	no
1435	yes	no	yes	yes	no	no
1436	yes	no	yes	yes	no	no
1437	yes	no	yes	yes	no	no
1438	yes	no	yes	yes	no	no
1439	yes	no	yes	yes	no	no
1440	yes	no	yes	yes	no	no
1441	yes	no	yes	yes	no	no
1442	yes	no	yes	yes	no	no
1443	yes	no	yes	yes	no	no
1444	yes	no	yes	yes	no	no
1445	yes	no	yes	yes	no	no
1446	yes	no	yes	yes	no	no
1447	yes	no	yes	yes	no	no
1448	yes	no	yes	yes	no	no
1449	yes	no	yes	yes	no	no
1450	yes	no	yes	yes	no	no
1451	yes	no	yes	yes	no	no
1452	yes	no	yes	yes	no	no
1453	yes	no	yes	yes	no	no
1454	yes	no	yes	yes	no	no
1455	yes	no	yes	yes	no	no
1456	yes	no	yes	yes	no	no
1457	yes	no	yes	yes	no	no
1458	yes	no	yes	yes	no	no
1459	yes	no	yes	yes	no	no
1460	yes	no	yes	yes	no	no
1461	yes	no	yes	yes	no	no
1462	yes	no	yes	yes	no	no
1463	yes	no	yes	yes	no	no
1464	yes	no	yes	yes	no	no
1465	yes	no	yes	yes	no	no
1466	yes	no	yes	yes	no	no
1467	yes	no	yes	yes	no	no
1468	yes	no	yes	yes	no	no
1469	yes	no	yes	yes	no	no
1470	yes	no	yes	yes	no	no
1471	yes	no	yes	yes	no	no
1472	yes	no	yes	yes	no	no
1473	yes	no	yes	yes	no	no
1474	yes	no	yes	yes	no	no
1475	yes	no	yes	yes	no	no
1476	yes	no	yes	yes	no	no
1477	yes	no	yes	yes	no	no
1478	yes	no	yes	yes	no	no
1479	yes	no	yes	yes	no	no
1480	yes	no	yes	yes	no	no
1481	yes	no	yes	yes	yes	no
1482	yes	no	yes	yes	no	no
1483	yes	no	yes	yes	no	no
1484	yes	no	yes	yes	no	no
1485	yes	no	yes	yes	no	no
1486	yes	no	yes	yes	no	no
1487	yes	no	yes	yes	no	no
1488	yes	no	yes	yes	no	no
1489	yes	no	yes	yes	no	no
1490	yes	no	yes	yes	no	no
1491	yes	no	yes	yes	no	no
1492	yes	no	yes	yes	no	no
1493	yes	no	yes	yes	no	no
1494	yes	no	yes	yes	no	no
1495	yes	no	yes	yes	no	no
1496	yes	no	yes	yes	no	no
1497	yes	no	yes	yes	no	no
1498	yes	no	yes	yes	no	no
1499	yes	no	yes	yes	no	no
1500	yes	no	yes	yes	no	no
1501	yes	no	yes	yes	no	no
1502	yes	no	yes	yes	no	no
1503	yes	no	yes	yes	no	no
1504	yes	no	yes	yes	no	no
1505	yes	no	yes	yes	no	no
1506	yes	no	yes	yes	no	no
1507	yes	no	yes	yes	no	no
1508	yes	no	yes	yes	no	no
1509	yes	no	yes	yes	no	no
1510	yes	no	yes	yes	no	no
1511	yes	no	yes	yes	no	no
1512	yes	no	yes	yes	no	no
1513	yes	no	yes	yes	no	no
1514	yes	no	yes	yes	no	no
1515	yes	no	yes	yes	no	no
1516	yes	no	yes	yes	no	no
1517	yes	no	yes	yes	no	no
1518	yes	no	yes	yes	no	no
1519	yes	no	yes	yes	no	no
1520	yes	no	yes	yes	no	no
1521	yes	no	yes	yes	no	no
1522	yes	no	yes	yes	no	no
1523	yes	no	yes	yes	no	no
1524	yes	no	yes	yes	no	no
1525	yes	no	yes	yes	no	no
1526	yes	no	yes	yes	no	no
1527	yes	no	yes	yes	no	no
1528	yes	no	yes	yes	no	no
1529	yes	no	yes	yes	no	no
1530	yes	no	yes	yes	no	no
1531	yes	no	yes	yes	no	no
1532	yes	no	yes	yes	no	no
1533	yes	no	yes	yes	no	no
