row	angle_equal	predicted_equal	measured_equal	error_equal	dchi_equal	exact
185	yes	no	yes	yes	no	no
186	yes	no	yes	yes	no	no
187	yes	no	yes	yes	no	no
188	yes	no	yes	yes	no	no
189	yes	no	yes	yes	no	no
190	yes	no	yes	yes	no	no
191	yes	no	yes	yes	yes	no
192	yes	no	yes	yes	yes	no
193	yes	no	yes	yes	no	no
194	yes	no	yes	yes	no	no
195	yes	no	yes	yes	no	no
196	yes	no	yes	yes	no	no
197	yes	no	yes	yes	no	no
198	yes	no	yes	yes	no	no
199	yes	no	yes	yes	no	no
200	yes	no	yes	yes	no	no
201	yes	no	yes	yes	no	no
202	yes	no	yes	yes	no	no
203	yes	no	yes	yes	no	no
204	yes	no	yes	yes	no	no
205	yes	no	yes	yes	no	no
206	yes	no	yes	yes	no	no
207	yes	no	yes	yes	no	no
208	yes	no	yes	yes	no	no
209	yes	no	yes	yes	no	no
210	yes	no	yes	yes	no	no
211	yes	no	yes	yes	no	no
212	yes	no	yes	yes	no	no
213	yes	no	yes	yes	no	no
214	yes	no	yes	yes	no	no
215	yes	no	yes	yes	no	no
216	yes	no	yes	yes	no	no
217	yes	no	yes	yes	no	no
218	yes	no	yes	yes	no	no
219	yes	no	yes	yes	no	no
220	yes	no	yes	yes	no	no
221	yes	no	yes	yes	yes	no
222	yes	no	yes	yes	no	no
223	yes	no	yes	yes	no	no
224	yes	no	yes	yes	yes	no
225	yes	no	yes	yes	no	no
226	yes	no	yes	yes	no	no
227	yes	no	yes	yes	no	no
228	yes	no	yes	yes	no	no
229	yes	no	yes	yes	no	no
230	yes	no	yes	yes	no	no
231	yes	no	yes	yes	no	no
232	yes	no	yes	yes	no	no
233	yes	no	yes	yes	no	no
234	yes	no	yes	yes	no	no
235	yes	no	yes	yes	no	no
236	yes	no	yes	yes	yes	no
237	yes	no	yes	yes	yes	no
238	yes	no	yes	yes	no	no
239	yes	no	yes	yes	no	no
240	yes	no	yes	yes	no	no
241	yes	no	yes	yes	no	no
242	yes	no	yes	yes	no	no
243	yes	no	yes	yes	no	no
244	yes	no	yes	yes	yes	no
245	yes	no	yes	yes	no	no
246	yes	no	yes	yes	no	no
247	yes	no	yes	yes	no	no
248	yes	no	yes	yes	no	no
249	yes	no	yes	yes	no	no
250	yes	no	yes	yes	no	no
251	yes	no	yes	yes	no	no
252	yes	no	yes	yes	no	no
253	yes	no	yes	yes	no	no
254	yes	no	yes	yes	no	no
255	yes	no	yes	yes	no	no
256	yes	no	yes	yes	no	no
257	yes	no	yes	yes	no	no
258	yes	no	yes	yes	no	no
259	yes	no	yes	yes	no	no
260	yes	no	yes	yes	no	no
261	yes	no	yes	yes	no	no
262	yes	no	yes	yes	no	no
263	yes	no	yes	yes	no	no
264	yes	no	yes	yes	no	no
265	yes	no	yes	yes	no	no
266	yes	no	yes	yes	no	no
267	yes	no	yes	yes	no	no
268	yes	no	yes	yes	no	no
269	yes	no	yes	yes	no	no
270	yes	no	yes	yes	no	no
271	yes	no	yes	yes	no	no
272	yes	no	yes	yes	no	no
273	yes	no	yes	yes	yes	no
274	yes	no	yes	yes	yes	no
275	yes	no	yes	yes	no	no
276	yes	no	yes	yes	no	no
277	yes	no	yes	yes	no	no
278	yes	no	yes	yes	yes	no
279	yes	no	yes	yes	no	no
280	yes	no	yes	yes	no	no
281	yes	no	yes	yes	no	no
282	yes	no	yes	yes	no	no
283	yes	no	yes	yes	no	no
284	yes	no	yes	yes	no	no
285	yes	no	yes	yes	no	no
286	yes	no	yes	yes	no	no
287	yes	no	yes	yes	no	no
288	yes	no	yes	yes	no	no
289	yes	no	yes	yes	no	no
290	yes	no	yes	yes	no	no
291	yes	no	yes	yes	no	no
292	yes	no	yes	yes	no	no
293	yes	no	yes	yes	no	no
294	yes	no	yes	yes	no	no
295	yes	no	yes	yes	no	no
296	yes	no	yes	yes	yes	no
297	yes	no	yes	yes	no	no
298	yes	no	yes	yes	no	no
