line	field	left	right	class	relation
27	sha256:stdout.txt	caef081fa45c4e7c435a342127116d0e8c526f8fa30b4be94f18b2855db1cad2	2b058a68fa70e379d927d91b8f4ff183379e2f8b2dc8e24d5153520989dfe2ce	execution_metadata	derived_hash
33	sha256:SAID.LOG	3ec2c06de0780259d14c77165e80fd74c22f7a29fc4fe6b6fd2491d6491182d5	96626f82616ed3b5d99a5c7f0fc3f036ea41ee13666a177c3242ad1f02914868	execution_metadata	derived_hash
