line	field	left	right	class	relation
49	sha256:stdout.txt	82fa3ab8862159521581d56b10ffd31e91024416cb5da9da7d258f6ee2b5bcad	ea425fc3820fd4f9537e26db1b020c6936c0913906295051e45e3b86944d6c15	execution_metadata	derived_hash
55	sha256:SAID.LOG	3ec2c06de0780259d14c77165e80fd74c22f7a29fc4fe6b6fd2491d6491182d5	96626f82616ed3b5d99a5c7f0fc3f036ea41ee13666a177c3242ad1f02914868	execution_metadata	derived_hash
