call_id	energy_index	reaction	family	branch	legacy_l	selector	request_energy	spw	sopw	opec_original	raw_real	raw_imag
1	1	1	1	1	3	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-3.4046296030282974E-002	-3.6126498132944107E-002	-2.2000224930707191E-007
1	1	1	1	1	4	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-3.1121427309699357E-004	-2.1265972463879734E-004	-7.4922958462342315E-012
1	1	1	1	2	1	135	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.4650480651855469E+002	-2.8064674377441406E+001	-1.8098434805870056E-001
1	1	1	1	2	3	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-4.9889734946191311E-003	-5.3277392871677876E-003	4.7628809340949374E-008
1	1	1	1	2	4	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-9.9534692708402872E-005	-8.1540652900002897E-005	-5.4218959183449655E-011
1	1	1	2	1	2	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-8.1450778245925903E-001	-5.5032920837402344E-001	-2.2495814482681453E-004
1	1	1	2	1	3	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-3.5523800179362297E-003	-2.9131907504051924E-003	-1.7758429393666120E-008
1	1	1	2	1	4	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-4.4653628719970584E-005	2.1044312234153040E-005	7.1701460957820928E-013
1	1	1	2	2	3	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.7148911720141768E-003	2.2866765502840281E-003	-2.0440925396769671E-008
1	1	1	2	2	4	124	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	3.5246110201114789E-005	0.0000000000000000E+000	0.0000000000000000E+000
1	1	1	3	1	3	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.7104366794228554E-002	1.1912978254258633E-002	1.4525441827117902E-007
1	1	1	3	1	4	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	2.1783639385830611E-004	3.4315345692448318E-004	1.2332651566637765E-010
1	1	1	3	2	1	135	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.0698340415954590E+001	1.8348829269409180E+001	-2.2353601455688477E-001
1	1	1	3	2	2	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	2.0135767757892609E-001	1.8335294723510742E-001	4.5379518269328400E-005
1	1	1	3	2	3	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	3.3185405191034079E-003	3.6030064802616835E-003	7.4123043702911673E-008
1	1	1	3	2	4	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	6.6377884650137275E-005	6.5919135522563010E-005	-5.3775412942047573E-012
1	1	1	4	1	2	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	4.1939717531204224E-001	8.4725171327590942E-002	6.1489619838539511E-005
1	1	1	4	1	3	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	2.4789834860712290E-003	2.2877834271639585E-003	2.6543201414597206E-008
1	1	1	4	1	4	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	2.9580143745988607E-005	2.8835573175456375E-005	1.1778466223189010E-011
1	1	1	4	2	2	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-2.3371306061744690E-001	-1.7208337783813477E-001	-4.2583586036926135E-005
1	1	1	4	2	3	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.6048498218879104E-003	-1.8494001124054193E-003	-3.8047691219844637E-008
1	1	1	4	2	4	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-2.2313583031063899E-005	3.6243833164917305E-005	-2.9566444778583723E-012
1	1	1	5	1	3	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-2.3095928132534027E-002	-2.3856816813349724E-002	-2.8757449399563484E-007
1	1	1	5	1	4	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-2.0700029563158751E-004	-2.1110194211360067E-004	-8.0431647453416133E-011
1	1	1	5	2	1	135	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-3.8096515655517578E+001	-2.4152700424194336E+001	2.9522484540939331E-001
1	1	1	5	2	2	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.9824130833148956E-001	-1.8047349154949188E-001	-4.4669312046607956E-005
1	1	1	5	2	3	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-3.3259831834584475E-003	-3.6326798144727945E-003	-7.4734892052674695E-008
1	1	1	5	2	4	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-6.6356456954963505E-005	-6.5897853346541524E-005	5.3758048360053046E-012
1	1	1	6	1	2	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-4.5405817031860352E-001	-1.9330404698848724E-001	-1.4030878082849085E-004
1	1	1	6	1	3	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-2.4479336570948362E-003	-2.5010188110172749E-003	-3.0557128383179588E-008
1	1	1	6	1	4	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-2.9633127269335091E-005	-1.8650709534995258E-004	-7.1767265741318198E-011
1	1	1	6	2	2	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	3.1241643428802490E-001	2.4237926304340363E-001	5.9990477893734351E-005
