call_id	energy_index	reaction	family	branch	legacy_l	selector	request_energy	w_cm	reconstructed_energy	born_argument	opec_original	raw_real	raw_imag	return_real	return_imag
1	1	1	1	1	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-3.3436603844165802E-002	-3.4046296030282974E-002	-3.6133203655481339E-002	-2.2004306288181397E-007	-2.0869076251983643E-003	-2.2004306288181397E-007
1	1	1	1	1	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-3.1081086490303278E-004	-3.1121427309699357E-004	-2.1275068866088986E-004	-7.4954712575570070E-012	9.8463584436103702E-005	-7.4954712575570070E-012
1	1	1	1	2	1	135	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-3.0123981475830078E+001	-1.4650480651855469E+002	-2.8064640045166016E+001	-1.8098412454128265E-001	1.1844017028808594E+002	-1.8098412454128265E-001
1	1	1	1	2	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-4.9929004162549973E-003	-4.9889734946191311E-003	-5.3286673501133919E-003	4.7637104927389373E-008	-3.3969385549426079E-004	4.7637104927389373E-008
1	1	1	1	2	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-9.9538970971480012E-005	-9.9534692708402872E-005	-8.1571248301770538E-005	-5.4239321367610671E-011	1.7963444406632334E-005	-5.4239321367610671E-011
1	1	1	2	1	2	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-6.3287866115570068E-001	-8.1450778245925903E-001	-5.5038160085678101E-001	-2.2497956524603069E-004	2.6412618160247803E-001	-2.2497956524603069E-004
1	1	1	2	1	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-3.4103500656783581E-003	-3.5523800179362297E-003	-2.9138769023120403E-003	-1.7762605608595550E-008	6.3850311562418938E-004	-1.7762605608595550E-008
1	1	1	2	1	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-4.4518408685689792E-005	-4.4653628719970584E-005	2.1031273718108423E-005	7.1655951571630849E-013	6.5684900619089603E-005	7.1655951571630849E-013
1	1	1	2	2	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	1.8098314758390188E-003	1.7148911720141768E-003	2.2870134562253952E-003	-2.0443938097969294E-008	5.7212228421121836E-004	-2.0443938097969294E-008
1	1	1	2	2	4	124	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	3.5337634471943602E-005	3.5246110201114789E-005	0.0000000000000000E+000	0.0000000000000000E+000	-3.5246110201114789E-005	0.0000000000000000E+000
1	1	1	3	1	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	1.7307594418525696E-002	1.7104366794228554E-002	1.1916444636881351E-002	1.4529490499626263E-007	-5.1879221573472023E-003	1.4529490499626263E-007
1	1	1	3	1	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	2.1797086810693145E-004	2.1783639385830611E-004	3.4321844577789307E-004	1.2335100996185844E-010	1.2538205191958696E-004	1.2335100996185844E-010
1	1	1	3	2	1	135	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	1.7116769790649414E+001	1.0698340415954590E+001	1.8348823547363281E+001	-2.2353595495223999E-001	7.6504831314086914E+000	-2.2353595495223999E-001
1	1	1	3	2	2	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	1.9991031289100647E-001	2.0135767757892609E-001	1.8337062001228333E-001	4.5383894757833332E-005	-1.7987057566642761E-002	4.5383894757833332E-005
1	1	1	3	2	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	3.3172315452247858E-003	3.3185405191034079E-003	3.6037196405231953E-003	7.4137716410405119E-008	2.8517912141978741E-004	7.4137716410405119E-008
1	1	1	3	2	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	6.6376458562444896E-005	6.6377884650137275E-005	6.5938373154494911E-005	-5.3791103515887784E-012	-4.3951149564236403E-007	-5.3791103515887784E-012
1	1	1	4	1	2	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	1.0801189392805099E-001	4.1939717531204224E-001	8.4733217954635620E-002	6.1495455156546086E-005	-3.3466395735740662E-001	6.1495455156546086E-005
1	1	1	4	1	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	2.5263263378292322E-003	2.4789834860712290E-003	2.2882909979671240E-003	2.6549127341013445E-008	-1.9069248810410500E-004	2.6549127341013445E-008
