call_id	energy_index	reaction	family	branch	legacy_l	selector	request_energy	spw	sopw	opec_original	storage_real	storage_imag	return_real	return_imag
1	1	1	1	1	3	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-3.4046296030282974E-002	-3.6126498132944107E-002	-2.2000224930707191E-007	-2.0802021026611328E-003	-2.2000224930707191E-007
1	1	1	1	1	4	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-3.1121427309699357E-004	-2.1265972463879734E-004	-7.4922958462342315E-012	9.8554548458196223E-005	-7.4922958462342315E-012
1	1	1	1	2	1	135	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.4650480651855469E+002	-2.8064674377441406E+001	-1.8098434805870056E-001	1.1844013214111328E+002	-1.8098434805870056E-001
1	1	1	1	2	3	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-4.9889734946191311E-003	-5.3277392871677876E-003	4.7628809340949374E-008	-3.3876579254865646E-004	4.7628809340949374E-008
1	1	1	1	2	4	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-9.9534692708402872E-005	-8.1540652900002897E-005	-5.4218959183449655E-011	1.7994039808399975E-005	-5.4218959183449655E-011
1	1	1	2	1	2	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-8.1450778245925903E-001	-5.5032920837402344E-001	-2.2495814482681453E-004	2.6417857408523560E-001	-2.2495814482681453E-004
1	1	1	2	1	3	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-3.5523800179362297E-003	-2.9131907504051924E-003	-1.7758429393666120E-008	6.3918926753103733E-004	-1.7758429393666120E-008
1	1	1	2	1	4	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-4.4653628719970584E-005	2.1044312234153040E-005	7.1701460957820928E-013	6.5697939135134220E-005	7.1701460957820928E-013
1	1	1	2	2	3	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.7148911720141768E-003	2.2866765502840281E-003	-2.0440925396769671E-008	5.7178537826985121E-004	-2.0440925396769671E-008
1	1	1	2	2	4	124	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	3.5246110201114789E-005	0.0000000000000000E+000	0.0000000000000000E+000	-3.5246110201114789E-005	0.0000000000000000E+000
1	1	1	3	1	3	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.7104366794228554E-002	1.1912978254258633E-002	1.4525441827117902E-007	-5.1913885399699211E-003	1.4525441827117902E-007
1	1	1	3	1	4	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	2.1783639385830611E-004	3.4315345692448318E-004	1.2332651566637765E-010	1.2531706306617707E-004	1.2332651566637765E-010
1	1	1	3	2	1	135	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.0698340415954590E+001	1.8348829269409180E+001	-2.2353601455688477E-001	7.6504888534545898E+000	-2.2353601455688477E-001
1	1	1	3	2	2	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	2.0135767757892609E-001	1.8335294723510742E-001	4.5379518269328400E-005	-1.8004730343818665E-002	4.5379518269328400E-005
1	1	1	3	2	3	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	3.3185405191034079E-003	3.6030064802616835E-003	7.4123043702911673E-008	2.8446596115827560E-004	7.4123043702911673E-008
1	1	1	3	2	4	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	6.6377884650137275E-005	6.5919135522563010E-005	-5.3775412942047573E-012	-4.5874912757426500E-007	-5.3775412942047573E-012
1	1	1	4	1	2	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	4.1939717531204224E-001	8.4725171327590942E-002	6.1489619838539511E-005	-3.3467200398445129E-001	6.1489619838539511E-005
1	1	1	4	1	3	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	2.4789834860712290E-003	2.2877834271639585E-003	2.6543201414597206E-008	-1.9120005890727043E-004	2.6543201414597206E-008
1	1	1	4	1	4	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	2.9580143745988607E-005	2.8835573175456375E-005	1.1778466223189010E-011	-7.4457057053223252E-007	1.1778466223189010E-011
1	1	1	4	2	2	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-2.3371306061744690E-001	-1.7208337783813477E-001	-4.2583586036926135E-005	6.1629682779312134E-002	-4.2583586036926135E-005
1	1	1	4	2	3	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.6048498218879104E-003	-1.8494001124054193E-003	-3.8047691219844637E-008	-2.4455029051750898E-004	-3.8047691219844637E-008
1	1	1	4	2	4	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-2.2313583031063899E-005	3.6243833164917305E-005	-2.9566444778583723E-012	5.8557416195981205E-005	-2.9566444778583723E-012
2	1	1	1	1	3	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-5.3855326026678085E-002	-5.7153530418872833E-002	-3.2928838322732190E-007	-3.2982043921947479E-003	-3.2928838322732190E-007
2	1	1	1	1	4	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-6.1927695060148835E-004	-4.6354948426596820E-004	-1.5532054808975460E-011	1.5572746633552015E-004	-1.5532054808975460E-011
2	1	1	1	2	1	135	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.4646565246582031E+002	-2.8030536651611328E+001	-1.6411961615085602E-001	1.1843511962890625E+002	-1.6411961615085602E-001
2	1	1	1	2	3	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-7.8892288729548454E-003	-8.4277857095003128E-003	7.1273483115419367E-008	-5.3855683654546738E-004	7.1273483115419367E-008
