call_id	energy_index	reaction	family	branch	legacy_l	selector	typed_request_energy	typed_w_cm	typed_reconstructed_energy	typed_born_argument	typed_opec_original	typed_raw_real	typed_raw_imag	typed_return_real	typed_return_imag	forced_request_energy	forced_w_cm	forced_reconstructed_energy	forced_born_reconstructed	forced_opec_reconstructed	forced_opec_original	forced_raw_real	forced_raw_imag	forced_return_real	forced_return_imag	return_evaluated	request_exact	w_exact	reconstructed_energy_exact	typed_roundtrip_exact	forced_roundtrip_exact	born_exact	original_opec_exact	raw_real_exact	raw_imag_exact	return_real_exact	return_imag_exact
1	1	1	1	1	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-3.3436603844165802E-002	-3.4046296030282974E-002	-3.6133203655481339E-002	-2.2004306288181397E-007	-2.0869076251983643E-003	-2.2004306288181397E-007	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-3.3430110663175583E-002	-3.4039683640003204E-002	-3.4046296030282974E-002	-3.6126498132944107E-002	-2.2000224930707191E-007	-2.0802021026611328E-003	-2.2000224930707191E-007	yes	yes	yes	yes	no	no	no	yes	no	no	no	no
1	1	1	1	1	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-3.1081086490303278E-004	-3.1121427309699357E-004	-2.1275068866088986E-004	-7.4954712575570070E-012	9.8463584436103702E-005	-7.4954712575570070E-012	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-3.1072017736732960E-004	-3.1112346914596856E-004	-3.1121427309699357E-004	-2.1265972463879734E-004	-7.4922958462342315E-012	9.8554548458196223E-005	-7.4922958462342315E-012	yes	yes	yes	yes	no	no	no	yes	no	no	no	no
1	1	1	1	2	1	135	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-3.0123981475830078E+001	-1.4650480651855469E+002	-2.8064640045166016E+001	-1.8098412454128265E-001	1.1844017028808594E+002	-1.8098412454128265E-001	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-3.0124019622802734E+001	-1.4650483703613281E+002	-1.4650480651855469E+002	-2.8064674377441406E+001	-1.8098434805870056E-001	1.1844013214111328E+002	-1.8098434805870056E-001	yes	yes	yes	yes	no	no	no	yes	no	no	no	no
1	1	1	1	2	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-4.9929004162549973E-003	-4.9889734946191311E-003	-5.3286673501133919E-003	4.7637104927389373E-008	-3.3969385549426079E-004	4.7637104927389373E-008	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-4.9919290468096733E-003	-4.9880025908350945E-003	-4.9889734946191311E-003	-5.3277392871677876E-003	4.7628809340949374E-008	-3.3876579254865646E-004	4.7628809340949374E-008	yes	yes	yes	yes	no	no	no	yes	no	no	no	no
1	1	1	1	2	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-9.9538970971480012E-005	-9.9534692708402872E-005	-8.1571248301770538E-005	-5.4239321367610671E-011	1.7963444406632334E-005	-5.4239321367610671E-011	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-9.9509925348684192E-005	-9.9505647085607052E-005	-9.9534692708402872E-005	-8.1540652900002897E-005	-5.4218959183449655E-011	1.7994039808399975E-005	-5.4218959183449655E-011	yes	yes	yes	yes	no	no	no	yes	no	no	no	no
1	1	1	2	1	2	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-6.3287866115570068E-001	-8.1450778245925903E-001	-5.5038160085678101E-001	-2.2497956524603069E-004	2.6412618160247803E-001	-2.2497956524603069E-004	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-6.3281708955764771E-001	-8.1442856788635254E-001	-8.1450778245925903E-001	-5.5032920837402344E-001	-2.2495814482681453E-004	2.6417857408523560E-001	-2.2495814482681453E-004	yes	yes	yes	yes	no	no	no	yes	no	no	no	no
1	1	1	2	1	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-3.4103500656783581E-003	-3.5523800179362297E-003	-2.9138769023120403E-003	-1.7762605608595550E-008	6.3850311562418938E-004	-1.7762605608595550E-008	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-3.4096855670213699E-003	-3.5516878124326468E-003	-3.5523800179362297E-003	-2.9131907504051924E-003	-1.7758429393666120E-008	6.3918926753103733E-004	-1.7758429393666120E-008	yes	yes	yes	yes	no	no	no	yes	no	no	no	no
1	1	1	2	1	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-4.4518408685689792E-005	-4.4653628719970584E-005	2.1031273718108423E-005	7.1655951571630849E-013	6.5684900619089603E-005	7.1655951571630849E-013	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-4.4505410187412053E-005	-4.4640590203925967E-005	-4.4653628719970584E-005	2.1044312234153040E-005	7.1701460957820928E-013	6.5697939135134220E-005	7.1701460957820928E-013	yes	yes	yes	yes	no	no	no	yes	no	no	no	no
1	1	1	2	2	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	1.8098314758390188E-003	1.7148911720141768E-003	2.2870134562253952E-003	-2.0443938097969294E-008	5.7212228421121836E-004	-2.0443938097969294E-008	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	1.8094787374138832E-003	1.7145569436252117E-003	1.7148911720141768E-003	2.2866765502840281E-003	-2.0440925396769671E-008	5.7178537826985121E-004	-2.0440925396769671E-008	yes	yes	yes	yes	no	no	no	yes	no	no	no	no
1	1	1	2	2	4	124	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	3.5337634471943602E-005	3.5246110201114789E-005	0.0000000000000000E+000	0.0000000000000000E+000	-3.5246110201114789E-005	0.0000000000000000E+000	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	0.0000000000000000E+000	0.0000000000000000E+000	3.5246110201114789E-005	0.0000000000000000E+000	0.0000000000000000E+000	-3.5246110201114789E-005	0.0000000000000000E+000	yes	yes	yes	yes	no	no	not-used	yes	yes	yes	yes	yes
