row_id	family	branch	legacy_l	state_index	form_selector	field	value
1	1	1	5	3	25	z	6.2601625359093305E-006
1	1	1	5	3	25	qb	0.0000000000000000E+000
1	1	1	5	3	25	qk	0.0000000000000000E+000
1	1	1	5	3	25	zr	0.0000000000000000E+000
1	1	1	5	3	25	zb	0.0000000000000000E+000
1	1	1	5	3	25	born	0.0000000000000000E+000
1	1	1	5	3	25	ter	0.0000000000000000E+000
1	1	1	5	3	25	tei	0.0000000000000000E+000
1	1	1	5	3	25	der	0.0000000000000000E+000
1	1	1	5	3	25	dei	0.0000000000000000E+000
2	1	1	6	3	25	z	6.2601625359093305E-006
2	1	1	6	3	25	qb	1.0294783115386963E+000
2	1	1	6	3	25	qk	8.1183714792132378E-003
2	1	1	6	3	25	zr	0.0000000000000000E+000
2	1	1	6	3	25	zb	0.0000000000000000E+000
2	1	1	6	3	25	born	-1.0865881705512948E-007
2	1	1	6	3	25	ter	1.1768648455799790E-029
2	1	1	6	3	25	tei	0.0000000000000000E+000
2	1	1	6	3	25	der	-1.0865881705512948E-007
2	1	1	6	3	25	dei	-1.2787674019915259E-036
3	1	2	2	4	21	z	3.7086505471961573E-005
3	1	2	2	4	21	qb	1.0294783115386963E+000
3	1	2	2	4	21	qk	8.1183714792132378E-003
3	1	2	2	4	21	zr	-7.2203710937500000E+004
3	1	2	2	4	21	zb	7.4916332960128784E-003
3	1	2	2	4	21	born	-3.0170518159866333E-001
3	1	2	2	4	21	ter	8.4334089933690848E-008
3	1	2	2	4	21	tei	7.1122417376616627E-015
3	1	2	2	4	21	der	-3.0030277371406555E-001
3	1	2	2	4	21	dei	-2.5325761043859529E-008
4	1	2	5	4	25	z	6.2601625359093305E-006
4	1	2	5	4	25	qb	1.0294783115386963E+000
4	1	2	5	4	25	qk	8.1183714792132378E-003
4	1	2	5	4	25	zr	0.0000000000000000E+000
4	1	2	5	4	25	zb	0.0000000000000000E+000
4	1	2	5	4	25	born	-2.2010408429196104E-006
4	1	2	5	4	25	ter	-7.6297261037534098E-025
4	1	2	5	4	25	tei	0.0000000000000000E+000
4	1	2	5	4	25	der	-2.2010408429196104E-006
4	1	2	5	4	25	dei	1.6793337990762557E-030
5	1	2	6	4	25	z	6.2601625359093305E-006
5	1	2	6	4	25	qb	1.0294783115386963E+000
5	1	2	6	4	25	qk	8.1183714792132378E-003
5	1	2	6	4	25	zr	0.0000000000000000E+000
5	1	2	6	4	25	zb	1.6045845977699112E-019
5	1	2	6	4	25	born	-5.1838863868169938E-008
5	1	2	6	4	25	ter	2.2772108393734072E-029
5	1	2	6	4	25	tei	0.0000000000000000E+000
5	1	2	6	4	25	der	-5.1838863868169938E-008
5	1	2	6	4	25	dei	-1.1804801931791306E-036
6	2	1	5	3	25	z	6.2601625359093305E-006
6	2	1	5	3	25	qb	1.0294783115386963E+000
6	2	1	5	3	25	qk	8.1183714792132378E-003
6	2	1	5	3	25	zr	0.0000000000000000E+000
6	2	1	5	3	25	zb	6.5835911111048352E-016
