independent_variable	independent_value	a1_real_mfm	a1_imag_mfm	a2_real_mfm	a2_imag_mfm	a3_real_mfm	a3_imag_mfm	a4_real_mfm	a4_imag_mfm
Acm	0.0	0.00	0.00	-54.98	-14.97	0.00	0.00	0.00	0.00
Acm	30.0	0.68	11.19	-22.91	-12.30	27.92	4.79	7.23	2.10
Acm	60.0	-1.75	12.07	-9.30	-6.51	21.43	12.16	8.56	4.59
Acm	90.0	-12.62	4.20	2.95	-2.09	4.64	12.21	5.78	7.79
Acm	120.0	-18.27	-2.15	4.96	-1.14	-8.61	5.98	5.87	11.70
Acm	150.0	-8.54	-1.74	0.46	-1.26	-9.70	1.00	10.72	15.59
Acm	180.0	-0.00	-0.00	0.00	-0.00	-0.00	0.00	14.29	17.35
