independent_variable	independent_value	a1_real_mfm	a1_imag_mfm	a2_real_mfm	a2_imag_mfm	a3_real_mfm	a3_imag_mfm	a4_real_mfm	a4_imag_mfm
CosA	-1.0	0.00	-0.00	0.00	0.00	-0.00	-0.00	5.84	20.45
CosA	-0.5	-14.67	-17.39	4.70	2.36	-6.37	-3.60	0.05	9.50
CosA	0.0	-10.22	-4.52	2.77	-0.81	1.49	15.64	2.76	5.33
CosA	0.5	-3.57	19.36	-6.72	-8.10	16.85	22.45	7.30	4.25
CosA	1.0	0.00	0.00	-41.91	-17.43	0.00	0.00	0.00	0.00
