independent_variable	independent_value	a1_real_mfm	a1_imag_mfm	a2_real_mfm	a2_imag_mfm	a3_real_mfm	a3_imag_mfm	a4_real_mfm	a4_imag_mfm
Acm	10.0	-2.06	9.68	-29.51	-17.14	12.36	1.26	3.21	1.11
Acm	30.0	-2.71	23.49	-13.69	-14.87	26.28	9.76	6.51	2.96
Acm	50.0	-2.81	24.15	-9.46	-10.67	21.64	19.70	7.78	3.98
Acm	70.0	-5.15	12.15	-3.42	-5.46	11.49	22.72	6.10	4.47
Acm	90.0	-10.22	-4.52	2.77	-0.81	1.49	15.64	2.76	5.33
Acm	110.0	-14.38	-15.80	5.22	1.88	-4.88	2.63	0.36	7.64
Acm	130.0	-13.38	-16.23	3.37	2.37	-6.79	-8.32	0.39	11.76
Acm	150.0	-7.16	-8.55	0.27	1.56	-5.13	-11.01	2.72	16.62
Acm	170.0	-0.98	-1.13	-0.53	0.50	-1.80	-4.91	5.39	19.98
