call_id	energy_index	angle_index	reaction	energy_mev	angle_cm_deg	a1_real	a1_imag	a2_real	a2_imag	a3_real	a3_imag	a4_real	a4_imag	dsg
1	1	1	1	1.4510000610351562E+002	1.0000000000000000E+001	1.6424684226512909E-001	-3.2475360058015212E-005	-4.1086515784263611E-001	4.8465508222579956E-001	-1.5032066963613033E-002	2.8522097181848949E-006	1.9325997680425644E-002	-4.2411748319864273E-002	1.4352821744978428E-004
1	1	2	1	1.4510000610351562E+002	3.0000000000000000E+001	4.5854651927947998E-001	-9.0572262706700712E-005	-3.0598089098930359E-001	4.6995228528976440E-001	-1.2860968708992004E-001	2.4362647309317254E-005	3.1028024852275848E-002	-1.2595281004905701E-001	1.8496703705750406E-004
1	1	3	1	1.4510000610351562E+002	5.0000000000000000E+001	6.5919160842895508E-001	-1.2994171993341297E-004	-1.2435984611511230E-001	4.4098708033561707E-001	-3.2211783528327942E-001	6.0827522247564048E-005	-3.0193954706192017E-002	-2.0568382740020752E-001	2.6229766081087291E-004
1	1	4	1	1.4510000610351562E+002	7.0000000000000000E+001	7.3101282119750977E-001	-1.4368268602993339E-004	8.5476905107498169E-002	3.9862886071205139E-001	-5.3718405961990356E-001	1.0099801147589460E-004	-1.8874466419219971E-001	-2.7918830513954163E-001	3.6546157207340002E-004
1	1	5	1	1.4510000610351562E+002	9.0000000000000000E+001	6.7184793949127197E-001	-1.3158617366570979E-004	2.6803550124168396E-001	3.4415221214294434E-001	-7.0621788501739502E-001	1.3209758617449552E-004	-4.3998691439628601E-001	-3.4423270821571350E-001	4.8137869453057647E-004
1	1	6	1	1.4510000610351562E+002	1.1000000000000000E+002	5.1249271631240845E-001	-9.9993070762138814E-005	3.7524971365928650E-001	2.7920189499855042E-001	-7.7053093910217285E-001	1.4336075400933623E-004	-7.5037813186645508E-001	-3.9883434772491455E-001	5.9564335970208049E-004
1	1	7	1	1.4510000610351562E+002	1.3000000000000000E+002	3.0810120701789856E-001	-5.9899299230892211E-005	3.7910670042037964E-001	2.0574550330638885E-001	-6.9646853208541870E-001	1.2895477993879467E-004	-1.0652040243148804E+000	-4.4132354855537415E-001	6.9447315763682127E-004
1	1	8	1	1.4510000610351562E+002	1.5000000000000000E+002	1.2325467914342880E-001	-2.3895729100331664E-005	2.7900427579879761E-001	1.2601515650749207E-001	-4.8531082272529602E-001	8.9526831288821995E-005	-1.3218755722045898E+000	-4.7039717435836792E-001	7.6658785110339522E-004
1	1	9	1	1.4510000610351562E+002	1.7000000000000000E+002	1.4423065818846226E-002	-2.7919611511606490E-006	1.0238276422023773E-001	4.2439609766006470E-002	-1.7400044202804565E-001	3.2034411560744047E-005	-1.4659975767135620E+000	-4.8516166210174561E-001	8.0444500781595707E-004
1	1	1	1	1.4510000610351562E+002	1.0000000000000000E+001	1.6424684226512909E-001	-3.2475360058015212E-005	-4.1086515784263611E-001	4.8465508222579956E-001	-1.5032066963613033E-002	2.8522097181848949E-006	1.9325997680425644E-002	-4.2411748319864273E-002	1.4352821744978428E-004
1	1	2	1	1.4510000610351562E+002	3.0000000000000000E+001	4.5854651927947998E-001	-9.0572262706700712E-005	-3.0598089098930359E-001	4.6995228528976440E-001	-1.2860968708992004E-001	2.4362647309317254E-005	3.1028024852275848E-002	-1.2595281004905701E-001	1.8496703705750406E-004
