call_id	energy_index	angle_index	reaction	occurrence	exact_duplicate
21	1	18	1	2	yes
21	1	19	1	2	yes
21	1	20	1	2	yes
22	1	1	1	2	yes
22	1	2	1	2	yes
22	1	3	1	2	yes
22	1	4	1	2	yes
22	1	5	1	2	yes
22	1	6	1	2	yes
22	1	7	1	2	yes
22	1	8	1	2	yes
22	1	9	1	2	yes
23	1	1	1	2	yes
23	1	2	1	2	yes
23	1	3	1	2	yes
23	1	4	1	2	yes
23	1	5	1	2	yes
23	1	6	1	2	yes
23	1	7	1	2	yes
23	1	8	1	2	yes
23	1	9	1	2	yes
24	1	1	1	2	yes
24	1	2	1	2	yes
24	1	3	1	2	yes
24	1	4	1	2	yes
24	1	5	1	2	yes
24	1	6	1	2	yes
24	1	7	1	2	yes
24	1	8	1	2	yes
24	1	9	1	2	yes
24	1	10	1	2	yes
24	1	11	1	2	yes
24	1	12	1	2	yes
24	1	13	1	2	yes
24	1	14	1	2	yes
24	1	15	1	2	yes
24	1	16	1	2	yes
24	1	17	1	2	yes
24	1	18	1	2	yes
25	1	1	1	2	yes
25	1	2	1	2	yes
25	1	3	1	2	yes
25	1	4	1	2	yes
25	1	5	1	2	yes
25	1	6	1	2	yes
25	1	7	1	2	yes
25	1	8	1	2	yes
25	1	9	1	2	yes
26	1	1	1	2	yes
26	1	2	1	2	yes
26	1	3	1	2	yes
26	1	4	1	2	yes
26	1	5	1	2	yes
26	1	6	1	2	yes
26	1	7	1	2	yes
26	1	8	1	2	yes
26	1	9	1	2	yes
27	1	1	1	2	yes
27	1	2	1	2	yes
27	1	3	1	2	yes
27	1	4	1	2	yes
27	1	5	1	2	yes
27	1	6	1	2	yes
27	1	7	1	2	yes
27	1	8	1	2	yes
27	1	9	1	2	yes
28	1	1	1	2	yes
28	1	2	1	2	yes
28	1	3	1	2	yes
28	1	4	1	2	yes
28	1	5	1	2	yes
28	1	6	1	2	yes
28	1	7	1	2	yes
28	1	8	1	2	yes
28	1	9	1	2	yes
28	1	10	1	2	yes
28	1	11	1	2	yes
29	1	1	1	2	yes
29	1	2	1	2	yes
29	1	3	1	2	yes
29	1	4	1	2	yes
29	1	5	1	2	yes
29	1	6	1	2	yes
29	1	7	1	2	yes
29	1	8	1	2	yes
29	1	9	1	2	yes
29	1	10	1	2	yes
29	1	11	1	2	yes
29	1	12	1	2	yes
29	1	13	1	2	yes
29	1	14	1	2	yes
29	1	15	1	2	yes
29	1	16	1	2	yes
29	1	17	1	2	yes
29	1	18	1	2	yes
29	1	19	1	2	yes
29	1	20	1	2	yes
30	1	1	1	2	yes
30	1	2	1	2	yes
30	1	3	1	2	yes
30	1	4	1	2	yes
30	1	5	1	2	yes
30	1	6	1	2	yes
30	1	7	1	2	yes
30	1	8	1	2	yes
30	1	9	1	2	yes
31	1	1	1	2	yes
31	1	2	1	2	yes
31	1	3	1	2	yes
31	1	4	1	2	yes
31	1	5	1	2	yes
31	1	6	1	2	yes
31	1	7	1	2	yes
31	1	8	1	2	yes
31	1	9	1	2	yes
32	1	1	1	2	yes
32	1	2	1	2	yes
32	1	3	1	2	yes
32	1	4	1	2	yes
32	1	5	1	2	yes
32	1	6	1	2	yes
32	1	7	1	2	yes
32	1	8	1	2	yes
32	1	9	1	2	yes
32	1	10	1	2	yes
32	1	11	1	2	yes
32	1	12	1	2	yes
32	1	13	1	2	yes
32	1	14	1	2	yes
32	1	15	1	2	yes
32	1	16	1	2	yes
32	1	17	1	2	yes
32	1	18	1	2	yes
33	1	1	1	2	yes
33	1	2	1	2	yes
33	1	3	1	2	yes
33	1	4	1	2	yes
33	1	5	1	2	yes
33	1	6	1	2	yes
33	1	7	1	2	yes
33	1	8	1	2	yes
33	1	9	1	2	yes
34	1	1	1	2	yes
34	1	2	1	2	yes
34	1	3	1	2	yes
34	1	4	1	2	yes
34	1	5	1	2	yes
34	1	6	1	2	yes
34	1	7	1	2	yes
34	1	8	1	2	yes
34	1	9	1	2	yes
35	1	1	1	2	yes
35	1	2	1	2	yes
35	1	3	1	2	yes
35	1	4	1	2	yes
35	1	5	1	2	yes
35	1	6	1	2	yes
35	1	7	1	2	yes
35	1	8	1	2	yes
35	1	9	1	2	yes
36	1	1	1	2	yes
36	1	2	1	2	yes
36	1	3	1	2	yes
36	1	4	1	2	yes
36	1	5	1	2	yes
36	1	6	1	2	yes
36	1	7	1	2	yes
36	1	8	1	2	yes
36	1	9	1	2	yes
36	1	10	1	2	yes
36	1	11	1	2	yes
37	1	1	1	2	yes
37	1	2	1	2	yes
37	1	3	1	2	yes
37	1	4	1	2	yes
37	1	5	1	2	yes
37	1	6	1	2	yes
37	1	7	1	2	yes
37	1	8	1	2	yes
37	1	9	1	2	yes
37	1	10	1	2	yes
37	1	11	1	2	yes
37	1	12	1	2	yes
37	1	13	1	2	yes
37	1	14	1	2	yes
37	1	15	1	2	yes
37	1	16	1	2	yes
37	1	17	1	2	yes
37	1	18	1	2	yes
37	1	19	1	2	yes
37	1	20	1	2	yes
38	1	1	1	2	yes
38	1	2	1	2	yes
38	1	3	1	2	yes
38	1	4	1	2	yes
38	1	5	1	2	yes
38	1	6	1	2	yes
38	1	7	1	2	yes
38	1	8	1	2	yes
38	1	9	1	2	yes
38	1	10	1	2	yes
38	1	11	1	2	yes
38	1	12	1	2	yes
38	1	13	1	2	yes
38	1	14	1	2	yes
38	1	15	1	2	yes
38	1	16	1	2	yes
38	1	17	1	2	yes
38	1	18	1	2	yes
39	1	1	1	2	yes
39	1	2	1	2	yes
39	1	3	1	2	yes
39	1	4	1	2	yes
39	1	5	1	2	yes
39	1	6	1	2	yes
39	1	7	1	2	yes
39	1	8	1	2	yes
39	1	9	1	2	yes
40	1	1	1	2	yes
40	1	2	1	2	yes
40	1	3	1	2	yes
40	1	4	1	2	yes
40	1	5	1	2	yes
40	1	6	1	2	yes
40	1	7	1	2	yes
40	1	8	1	2	yes
40	1	9	1	2	yes
41	1	1	1	2	yes
41	1	2	1	2	yes
41	1	3	1	2	yes
41	1	4	1	2	yes
41	1	5	1	2	yes
41	1	6	1	2	yes
41	1	7	1	2	yes
41	1	8	1	2	yes
41	1	9	1	2	yes
42	1	1	1	2	yes
42	1	2	1	2	yes
42	1	3	1	2	yes
42	1	4	1	2	yes
42	1	5	1	2	yes
42	1	6	1	2	yes
42	1	7	1	2	yes
42	1	8	1	2	yes
42	1	9	1	2	yes
43	1	1	1	2	yes
43	1	2	1	2	yes
43	1	3	1	2	yes
43	1	4	1	2	yes
43	1	5	1	2	yes
43	1	6	1	2	yes
43	1	7	1	2	yes
43	1	8	1	2	yes
43	1	9	1	2	yes
44	1	1	1	2	yes
44	1	2	1	2	yes
44	1	3	1	2	yes
44	1	4	1	2	yes
44	1	5	1	2	yes
44	1	6	1	2	yes
44	1	7	1	2	yes
44	1	8	1	2	yes
44	1	9	1	2	yes
44	1	10	1	2	yes
44	1	11	1	2	yes
44	1	12	1	2	yes
44	1	13	1	2	yes
44	1	14	1	2	yes
44	1	15	1	2	yes
44	1	16	1	2	yes
44	1	17	1	2	yes
44	1	18	1	2	yes
45	1	1	1	2	yes
45	1	2	1	2	yes
45	1	3	1	2	yes
45	1	4	1	2	yes
45	1	5	1	2	yes
45	1	6	1	2	yes
45	1	7	1	2	yes
45	1	8	1	2	yes
45	1	9	1	2	yes
45	1	10	1	2	yes
45	1	11	1	2	yes
45	1	12	1	2	yes
45	1	13	1	2	yes
45	1	14	1	2	yes
45	1	15	1	2	yes
45	1	16	1	2	yes
45	1	17	1	2	yes
45	1	18	1	2	yes
45	1	19	1	2	yes
45	1	20	1	2	yes
46	1	1	1	2	yes
46	1	2	1	2	yes
46	1	3	1	2	yes
46	1	4	1	2	yes
46	1	5	1	2	yes
46	1	6	1	2	yes
46	1	7	1	2	yes
46	1	8	1	2	yes
46	1	9	1	2	yes
47	1	1	1	2	yes
47	1	2	1	2	yes
47	1	3	1	2	yes
47	1	4	1	2	yes
47	1	5	1	2	yes
47	1	6	1	2	yes
47	1	7	1	2	yes
48	1	1	1	2	yes
48	1	2	1	2	yes
48	1	3	1	2	yes
48	1	4	1	2	yes
48	1	5	1	2	yes
48	1	6	1	2	yes
48	1	7	1	2	yes
48	1	8	1	2	yes
48	1	9	1	2	yes
49	1	1	1	2	yes
49	1	2	1	2	yes
49	1	3	1	2	yes
49	1	4	1	2	yes
49	1	5	1	2	yes
49	1	6	1	2	yes
49	1	7	1	2	yes
49	1	8	1	2	yes
49	1	9	1	2	yes
50	1	1	1	2	yes
50	1	2	1	2	yes
50	1	3	1	2	yes
50	1	4	1	2	yes
50	1	5	1	2	yes
50	1	6	1	2	yes
50	1	7	1	2	yes
50	1	8	1	2	yes
50	1	9	1	2	yes
51	1	1	1	2	yes
51	1	2	1	2	yes
51	1	3	1	2	yes
51	1	4	1	2	yes
51	1	5	1	2	yes
51	1	6	1	2	yes
51	1	7	1	2	yes
51	1	8	1	2	yes
51	1	9	1	2	yes
51	1	10	1	2	yes
51	1	11	1	2	yes
51	1	12	1	2	yes
51	1	13	1	2	yes
51	1	14	1	2	yes
51	1	15	1	2	yes
51	1	16	1	2	yes
51	1	17	1	2	yes
51	1	18	1	2	yes
52	1	1	1	2	yes
52	1	2	1	2	yes
52	1	3	1	2	yes
52	1	4	1	2	yes
52	1	5	1	2	yes
52	1	6	1	2	yes
52	1	7	1	2	yes
52	1	8	1	2	yes
52	1	9	1	2	yes
53	1	1	1	2	yes
53	1	2	1	2	yes
53	1	3	1	2	yes
53	1	4	1	2	yes
53	1	5	1	2	yes
53	1	6	1	2	yes
53	1	7	1	2	yes
53	1	8	1	2	yes
53	1	9	1	2	yes
54	1	1	1	2	yes
54	1	2	1	2	yes
54	1	3	1	2	yes
54	1	4	1	2	yes
54	1	5	1	2	yes
54	1	6	1	2	yes
54	1	7	1	2	yes
54	1	8	1	2	yes
54	1	9	1	2	yes
54	1	10	1	2	yes
54	1	11	1	2	yes
54	1	12	1	2	yes
54	1	13	1	2	yes
54	1	14	1	2	yes
54	1	15	1	2	yes
54	1	16	1	2	yes
54	1	17	1	2	yes
54	1	18	1	2	yes
54	1	19	1	2	yes
54	1	20	1	2	yes
55	1	1	1	2	yes
55	1	2	1	2	yes
55	1	3	1	2	yes
55	1	4	1	2	yes
55	1	5	1	2	yes
55	1	6	1	2	yes
55	1	7	1	2	yes
55	1	8	1	2	yes
55	1	9	1	2	yes
56	1	1	1	2	yes
56	1	2	1	2	yes
56	1	3	1	2	yes
56	1	4	1	2	yes
56	1	5	1	2	yes
56	1	6	1	2	yes
56	1	7	1	2	yes
56	1	8	1	2	yes
56	1	9	1	2	yes
57	1	1	1	2	yes
57	1	2	1	2	yes
57	1	3	1	2	yes
57	1	4	1	2	yes
57	1	5	1	2	yes
57	1	6	1	2	yes
57	1	7	1	2	yes
57	1	8	1	2	yes
57	1	9	1	2	yes
57	1	10	1	2	yes
57	1	11	1	2	yes
57	1	12	1	2	yes
57	1	13	1	2	yes
57	1	14	1	2	yes
57	1	15	1	2	yes
57	1	16	1	2	yes
57	1	17	1	2	yes
57	1	18	1	2	yes
58	1	1	1	2	yes
58	1	2	1	2	yes
58	1	3	1	2	yes
58	1	4	1	2	yes
58	1	5	1	2	yes
58	1	6	1	2	yes
58	1	7	1	2	yes
58	1	8	1	2	yes
58	1	9	1	2	yes
59	1	1	1	2	yes
59	1	2	1	2	yes
59	1	3	1	2	yes
59	1	4	1	2	yes
59	1	5	1	2	yes
59	1	6	1	2	yes
59	1	7	1	2	yes
59	1	8	1	2	yes
59	1	9	1	2	yes
60	1	1	1	2	yes
60	1	2	1	2	yes
60	1	3	1	2	yes
60	1	4	1	2	yes
60	1	5	1	2	yes
60	1	6	1	2	yes
60	1	7	1	2	yes
60	1	8	1	2	yes
60	1	9	1	2	yes
60	1	10	1	2	yes
60	1	11	1	2	yes
60	1	12	1	2	yes
60	1	13	1	2	yes
