call_id	energy_index	family	branch	legacy_l	form_selector	energy_mev	multipole_real	multipole_imag
1	1	1	1	1	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	1	1	2	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	1	1	3	134	1.4510000610351562E+002	-3.6126498132944107E-002	-2.2000224930707191E-007
1	1	1	1	4	134	1.4510000610351562E+002	-2.1265972463879734E-004	-7.4922958462342315E-012
1	1	1	1	5	25	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	1	1	6	25	1.4510000610351562E+002	-1.0865881705512948E-007	-1.2787674019915259E-036
1	1	1	2	1	135	1.4510000610351562E+002	-2.8064674377441406E+001	-1.8098434805870056E-001
1	1	1	2	2	21	1.4510000610351562E+002	-3.0030277371406555E-001	-2.5325761043859529E-008
1	1	1	2	3	134	1.4510000610351562E+002	-5.3277392871677876E-003	4.7628809340949374E-008
1	1	1	2	4	134	1.4510000610351562E+002	-8.1540652900002897E-005	-5.4218959183449655E-011
1	1	1	2	5	25	1.4510000610351562E+002	-2.2010408429196104E-006	1.6793337990762557E-030
1	1	1	2	6	25	1.4510000610351562E+002	-5.1838863868169938E-008	-1.1804801931791306E-036
1	1	2	1	1	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	2	1	2	134	1.4510000610351562E+002	-5.5032920837402344E-001	-2.2495814482681453E-004
1	1	2	1	3	134	1.4510000610351562E+002	-2.9131907504051924E-003	-1.7758429393666120E-008
1	1	2	1	4	134	1.4510000610351562E+002	2.1044312234153040E-005	7.1701460957820928E-013
1	1	2	1	5	25	1.4510000610351562E+002	-6.8821998411294771E-007	-1.2631034745913323E-030
1	1	2	1	6	25	1.4510000610351562E+002	-1.2466910170871870E-008	-1.4671868454941071E-037
1	1	2	2	1	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	2	2	2	21	1.4510000610351562E+002	9.2234170436859131E-001	7.7784854113360780E-008
1	1	2	2	3	134	1.4510000610351562E+002	2.2866765502840281E-003	-2.0440925396769671E-008
1	1	2	2	4	124	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	2	2	5	25	1.4510000610351562E+002	5.4540737437491771E-007	-4.1613087766284389E-031
1	1	2	2	6	25	1.4510000610351562E+002	1.0407267936329845E-008	2.3699544355801328E-037
1	1	3	1	1	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	3	1	2	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	3	1	3	134	1.4510000610351562E+002	1.1912978254258633E-002	1.4525441827117902E-007
1	1	3	1	4	134	1.4510000610351562E+002	3.4315345692448318E-004	1.2332651566637765E-010
1	1	3	1	5	25	1.4510000610351562E+002	3.5966309042123612E-006	7.0628425144297858E-030
1	1	3	1	6	25	1.4510000610351562E+002	7.2520919047747157E-008	1.3486661424202855E-036
1	1	3	2	1	135	1.4510000610351562E+002	1.8348829269409180E+001	-2.2353601455688477E-001
1	1	3	2	2	134	1.4510000610351562E+002	1.8335294723510742E-001	4.5379518269328400E-005
1	1	3	2	3	134	1.4510000610351562E+002	3.6030064802616835E-003	7.4123043702911673E-008
1	1	3	2	4	134	1.4510000610351562E+002	6.5919135522563010E-005	-5.3775412942047573E-012
1	1	3	2	5	25	1.4510000610351562E+002	1.4672871202492388E-006	4.2612204361940936E-030
1	1	3	2	6	25	1.4510000610351562E+002	3.4559466399741723E-008	3.3982642429811418E-037
1	1	4	1	1	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	4	1	2	134	1.4510000610351562E+002	8.4725171327590942E-002	6.1489619838539511E-005
1	1	4	1	3	134	1.4510000610351562E+002	2.2877834271639585E-003	2.6543201414597206E-008
1	1	4	1	4	134	1.4510000610351562E+002	2.8835573175456375E-005	1.1778466223189010E-011
1	1	4	1	5	25	1.4510000610351562E+002	4.5938796233713219E-007	9.0211781109222983E-031
1	1	4	1	6	25	1.4510000610351562E+002	8.3103577352972025E-009	1.5454710007749373E-037
1	1	4	2	1	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	4	2	2	134	1.4510000610351562E+002	-1.7208337783813477E-001	-4.2583586036926135E-005
1	1	4	2	3	134	1.4510000610351562E+002	-1.8494001124054193E-003	-3.8047691219844637E-008
1	1	4	2	4	134	1.4510000610351562E+002	3.6243833164917305E-005	-2.9566444778583723E-012
1	1	4	2	5	25	1.4510000610351562E+002	-3.6704099670714641E-007	-1.0659417567889287E-030
1	1	4	2	6	25	1.4510000610351562E+002	-6.9265131408258185E-009	-6.8109046871674847E-038
1	1	5	1	1	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	5	1	2	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	5	1	3	134	1.4510000610351562E+002	-2.3856816813349724E-002	-2.8757449399563484E-007
1	1	5	1	4	134	1.4510000610351562E+002	-2.1110194211360067E-004	-8.0431647453416133E-011
1	1	5	1	5	3	1.4510000610351562E+002	-3.6244962302589556E-006	-7.1175629989746882E-030
1	1	5	1	6	3	1.4510000610351562E+002	-7.2437465803432133E-008	-1.3471141763450765E-036
1	1	5	2	1	135	1.4510000610351562E+002	-2.4152700424194336E+001	2.9522484540939331E-001
1	1	5	2	2	134	1.4510000610351562E+002	-1.8047349154949188E-001	-4.4669312046607956E-005
1	1	5	2	3	134	1.4510000610351562E+002	-3.6326798144727945E-003	-7.4734892052674695E-008
1	1	5	2	4	134	1.4510000610351562E+002	-6.5897853346541524E-005	5.3758048360053046E-012
1	1	5	2	5	3	1.4510000610351562E+002	-1.4673553323518718E-006	-4.2614186715614163E-030
1	1	5	2	6	3	1.4510000610351562E+002	-3.4559235473352601E-008	-3.3982415979979583E-037
1	1	6	1	1	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	6	1	2	134	1.4510000610351562E+002	-1.9330404698848724E-001	-1.4030878082849085E-004
1	1	6	1	3	134	1.4510000610351562E+002	-2.5010188110172749E-003	-3.0557128383179588E-008
1	1	6	1	4	134	1.4510000610351562E+002	-1.8650709534995258E-004	-7.1767265741318198E-011
1	1	6	1	5	25	1.4510000610351562E+002	-4.5926930170026026E-007	-9.0188478109212282E-031
1	1	6	1	6	3	1.4510000610351562E+002	-8.3106668213872581E-009	-1.5455285100639132E-037
1	1	6	2	1	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	6	2	2	134	1.4510000610351562E+002	2.4237926304340363E-001	5.9990477893734351E-005
1	1	6	2	3	134	1.4510000610351562E+002	1.5811719931662083E-003	3.2529634097500093E-008
1	1	6	2	4	134	1.4510000610351562E+002	2.2495085431728512E-005	-1.8351006478289911E-012
1	1	6	2	5	25	1.4510000610351562E+002	3.6593758068192983E-007	1.0627372651490391E-030
1	1	6	2	6	3	1.4510000610351562E+002	6.9301169247637517E-009	6.8144482907240693E-038
2	1	1	1	1	0	1.4530000305175781E+002	0.0000000000000000E+000	0.0000000000000000E+000
2	1	1	1	2	0	1.4530000305175781E+002	0.0000000000000000E+000	0.0000000000000000E+000
2	1	1	1	3	134	1.4530000305175781E+002	-5.7153530418872833E-002	-3.2928838322732190E-007
2	1	1	1	4	134	1.4530000305175781E+002	-4.6354948426596820E-004	-1.5532054808975460E-011
2	1	1	1	5	25	1.4530000305175781E+002	-1.3608295375888702E-005	-1.5733660309833002E-027
2	1	1	1	6	25	1.4530000305175781E+002	-3.4234477652717032E-007	-6.3731226205555014E-034
2	1	1	2	1	135	1.4530000305175781E+002	-2.8030536651611328E+001	-1.6411961615085602E-001
2	1	1	2	2	21	1.4530000305175781E+002	-3.7700575590133667E-001	-1.2650933456370694E-007
2	1	1	2	3	134	1.4530000305175781E+002	-8.4277857095003128E-003	7.1273483115419367E-008
2	1	1	2	4	134	1.4530000305175781E+002	-1.7172898515127599E-004	-1.0897509977736419E-010
2	1	1	2	5	25	1.4530000305175781E+002	-5.5108339438447729E-006	2.6487478229202928E-028
2	1	1	2	6	25	1.4530000305175781E+002	-1.6331973995420412E-007	-5.8830686684247863E-034
2	1	2	1	1	0	1.4530000305175781E+002	0.0000000000000000E+000	0.0000000000000000E+000
2	1	2	1	2	134	1.4530000305175781E+002	-6.9596320390701294E-001	-2.7880273410119116E-004
2	1	2	1	3	134	1.4530000305175781E+002	-4.6113124117255211E-003	-2.6594623392384165E-008
2	1	2	1	4	134	1.4530000305175781E+002	1.5028737834654748E-005	4.7382491810341043E-013
2	1	2	1	5	25	1.4530000305175781E+002	-1.7250109749511466E-006	-1.9944258836006109E-028
2	1	2	1	6	25	1.4530000305175781E+002	-3.9321204070574822E-008	-7.3200725153684974E-035
2	1	2	2	1	0	1.4530000305175781E+002	0.0000000000000000E+000	0.0000000000000000E+000
2	1	2	2	2	21	1.4530000305175781E+002	1.1760900020599365E+000	3.9465282952733105E-007
2	1	2	2	3	134	1.4530000305175781E+002	3.6195083521306515E-003	-3.0607871792653896E-008
2	1	2	2	4	124	1.4530000305175781E+002	0.0000000000000000E+000	0.0000000000000000E+000
2	1	2	2	5	25	1.4530000305175781E+002	1.3670238558916026E-006	-6.5705146353336463E-029
2	1	2	2	6	25	1.4530000305175781E+002	3.2825173690298470E-008	1.1824213875031146E-034
2	1	3	1	1	0	1.4530000305175781E+002	0.0000000000000000E+000	0.0000000000000000E+000
2	1	3	1	2	0	1.4530000305175781E+002	0.0000000000000000E+000	0.0000000000000000E+000
2	1	3	1	3	134	1.4530000305175781E+002	1.8852522596716881E-002	2.1794573967781616E-007
2	1	3	1	4	134	1.4530000305175781E+002	6.3348794355988503E-004	2.1878378275719257E-010
2	1	3	1	5	25	1.4530000305175781E+002	9.0055309556191787E-006	1.1140568726327187E-027
2	1	3	1	6	25	1.4530000305175781E+002	2.2848794856145105E-007	6.7215037894732066E-034
