independent_variable	independent_value	observable	uncertainty	lab_angle_deg	lab_differential_cross_section
Acm	0.000	0.1582E+02	0.0000E+00	0.00	0.4711E+02
Acm	30.000	0.8091E+01	0.0000E+00	17.64	0.2204E+02
Acm	60.000	0.4770E+01	0.0000E+00	36.92	0.9958E+01
Acm	90.000	0.2215E+01	0.0000E+00	59.89	0.2986E+01
Acm	120.000	0.3144E+01	0.0000E+00	89.54	0.2386E+01
Acm	150.000	0.2585E+01	0.0000E+00	129.52	0.1094E+01
Acm	180.000	0.2461E+01	0.0000E+00	180.00	0.7884E+00
