independent_variable	independent_value	a1_real_mfm	a1_imag_mfm	a2_real_mfm	a2_imag_mfm	a3_real_mfm	a3_imag_mfm	a4_real_mfm	a4_imag_mfm
Acm	0.0	0.00	0.00	65.25	-12.67	0.00	0.00	0.00	0.00
Acm	30.0	-10.62	3.20	32.76	-10.76	-24.58	-1.40	-18.08	3.73
Acm	60.0	-19.98	4.85	10.96	-5.86	-27.32	-4.61	-24.17	4.22
Acm	90.0	-17.84	4.45	-3.73	-0.28	-22.35	-7.39	-25.55	0.19
Acm	120.0	-7.94	2.66	-8.50	3.18	-15.96	-7.77	-29.01	-6.81
Acm	150.0	-1.28	0.78	-4.84	2.99	-8.50	-4.99	-35.38	-13.32
Acm	180.0	-0.00	0.00	-0.00	0.00	0.00	-0.00	-38.95	-15.95
