independent_variable	independent_value	a1_real_mfm	a1_imag_mfm	a2_real_mfm	a2_imag_mfm	a3_real_mfm	a3_imag_mfm	a4_real_mfm	a4_imag_mfm
Wcm	1100.0	-12.00	-0.34	-26.93	-1.35	22.56	0.34	35.62	1.20
Wcm	1300.0	21.86	-13.09	2.79	-5.08	13.99	14.49	27.09	-5.29
Wcm	1500.0	6.33	20.46	-2.88	-6.56	17.58	22.46	16.95	11.79
Wcm	1700.0	-3.72	-5.20	3.20	0.17	-5.71	13.87	2.37	3.09
Wcm	1900.0	-3.46	3.01	1.33	4.30	-5.22	-1.51	0.61	0.79
