independent_variable	independent_value	a1_real_mfm	a1_imag_mfm	a2_real_mfm	a2_imag_mfm	a3_real_mfm	a3_imag_mfm	a4_real_mfm	a4_imag_mfm
Elab	200.0	-15.40	-1.51	-22.59	-1.68	31.72	1.52	31.48	0.99
Elab	400.0	21.31	-19.62	1.57	-7.38	13.28	20.45	27.18	-7.53
Elab	600.0	18.57	3.81	-1.01	1.18	22.45	8.16	22.11	3.43
Elab	800.0	-9.64	15.17	2.48	-5.40	4.74	18.41	9.18	10.79
Elab	1000.0	-10.22	-4.52	2.77	-0.81	1.49	15.64	2.76	5.33
