family	branch	orbital_l	selector	classification	disposition	legacy_real	legacy_imag	kernel_real	kernel_imag	multipole_exact	delta_exact
5	1	2	134	cm12-1xx	channel-skip	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	T	T
5	1	3	134	cm12-1xx	channel-skip	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	T	T
5	1	4	3	non-1xx	channel-skip	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	T	T
5	1	5	3	non-1xx	channel-skip	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	T	T
5	2	0	135	cm12-1xx	channel-skip	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	T	T
5	2	1	134	cm12-1xx	channel-skip	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	T	T
5	2	2	134	cm12-1xx	channel-skip	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	T	T
5	2	3	134	cm12-1xx	channel-skip	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	T	T
5	2	4	3	non-1xx	channel-skip	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	T	T
5	2	5	3	non-1xx	channel-skip	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	T	T
6	1	1	134	cm12-1xx	channel-skip	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	T	T
6	1	2	134	cm12-1xx	channel-skip	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	T	T
6	1	3	134	cm12-1xx	channel-skip	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	T	T
6	1	4	25	non-1xx	channel-skip	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	T	T
6	1	5	3	non-1xx	channel-skip	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	T	T
6	2	1	134	cm12-1xx	channel-skip	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	T	T
6	2	2	134	cm12-1xx	channel-skip	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	T	T
6	2	3	134	cm12-1xx	channel-skip	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	T	T
6	2	4	25	non-1xx	channel-skip	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	T	T
6	2	5	3	non-1xx	channel-skip	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	T	T
