independent_variable	independent_value	a1_real_mfm	a1_imag_mfm	a2_real_mfm	a2_imag_mfm	a3_real_mfm	a3_imag_mfm	a4_real_mfm	a4_imag_mfm
Wcm	1100.0	-12.00	-0.34	-26.93	-1.35	22.56	0.34	35.62	1.20
Wcm	1300.0	21.26	-13.09	2.43	-5.08	13.40	14.49	27.45	-5.29
Wcm	1500.0	5.64	20.46	-3.30	-6.55	16.89	22.46	17.36	11.79
Wcm	1700.0	-4.36	-5.20	2.81	0.18	-6.36	13.87	2.75	3.09
Wcm	1900.0	-4.01	3.02	1.00	4.30	-5.78	-1.50	0.94	0.79
